id,country,county,municipality,civilparish,city,citygenitive,street
1,LIETUVOS RESPUBLIKA,Marijampolės apskritis,Kazlų Rūdos savivaldybė,,Kazlų Rūda,Kazlų Rūdos miestas,Algirdo gatvė
2,LIETUVOS RESPUBLIKA,Marijampolės apskritis,Kazlų Rūdos savivaldybė,,Kazlų Rūda,Kazlų Rūdos miestas,Alyvų gatvė
3,LIETUVOS RESPUBLIKA,Marijampolės apskritis,Kazlų Rūdos savivaldybė,,Kazlų Rūda,Kazlų Rūdos miestas,Ateities gatvė
4,LIETUVOS RESPUBLIKA,Marijampolės apskritis,Kazlų Rūdos savivaldybė,,Kazlų Rūda,Kazlų Rūdos miestas,Atgimimo gatvė
5,LIETUVOS RESPUBLIKA,Marijampolės apskritis,Kazlų Rūdos savivaldybė,,Kazlų Rūda,Kazlų Rūdos miestas,Beržų gatvė
6,LIETUVOS RESPUBLIKA,Marijampolės apskritis,Kazlų Rūdos savivaldybė,,Kazlų Rūda,Kazlų Rūdos miestas,Birutės gatvė
7,LIETUVOS RESPUBLIKA,Marijampolės apskritis,Kazlų Rūdos savivaldybė,,Kazlų Rūda,Kazlų Rūdos miestas,Dariaus ir Girėno gatvė
8,LIETUVOS RESPUBLIKA,Marijampolės apskritis,Kazlų Rūdos savivaldybė,,Kazlų Rūda,Kazlų Rūdos miestas,Daumanto gatvė
9,LIETUVOS RESPUBLIKA,Marijampolės apskritis,Kazlų Rūdos savivaldybė,,Kazlų Rūda,Kazlų Rūdos miestas,Eglių gatvė
10,LIETUVOS RESPUBLIKA,Marijampolės apskritis,Kazlų Rūdos savivaldybė,,Kazlų Rūda,Kazlų Rūdos miestas,Esperanto gatvė
11,LIETUVOS RESPUBLIKA,Marijampolės apskritis,Kazlų Rūdos savivaldybė,,Kazlų Rūda,Kazlų Rūdos miestas,Gedimino gatvė
12,LIETUVOS RESPUBLIKA,Marijampolės apskritis,Kazlų Rūdos savivaldybė,,Kazlų Rūda,Kazlų Rūdos miestas,J. Basanavičiaus gatvė
13,LIETUVOS RESPUBLIKA,Marijampolės apskritis,Kazlų Rūdos savivaldybė,,Kazlų Rūda,Kazlų Rūdos miestas,J. Z. Paltanavičiaus gatvė
14,LIETUVOS RESPUBLIKA,Marijampolės apskritis,Kazlų Rūdos savivaldybė,,Kazlų Rūda,Kazlų Rūdos miestas,Jaunimo gatvė
15,LIETUVOS RESPUBLIKA,Marijampolės apskritis,Kazlų Rūdos savivaldybė,,Kazlų Rūda,Kazlų Rūdos miestas,K. Donelaičio gatvė
16,LIETUVOS RESPUBLIKA,Marijampolės apskritis,Kazlų Rūdos savivaldybė,,Kazlų Rūda,Kazlų Rūdos miestas,Kęstučio gatvė
17,LIETUVOS RESPUBLIKA,Marijampolės apskritis,Kazlų Rūdos savivaldybė,,Kazlų Rūda,Kazlų Rūdos miestas,Liepų gatvė
18,LIETUVOS RESPUBLIKA,Marijampolės apskritis,Kazlų Rūdos savivaldybė,,Kazlų Rūda,Kazlų Rūdos miestas,Lietuvaičio gatvė
19,LIETUVOS RESPUBLIKA,Marijampolės apskritis,Kazlų Rūdos savivaldybė,,Kazlų Rūda,Kazlų Rūdos miestas,Lietuvos Partizanų gatvė
20,LIETUVOS RESPUBLIKA,Marijampolės apskritis,Kazlų Rūdos savivaldybė,,Kazlų Rūda,Kazlų Rūdos miestas,M. Daukšos gatvė
21,LIETUVOS RESPUBLIKA,Marijampolės apskritis,Kazlų Rūdos savivaldybė,,Kazlų Rūda,Kazlų Rūdos miestas,M. K. Čiurlionio gatvė
