id,country,county,municipality,civilparish,city,citygenitive,street
1,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Klaipėdos miesto savivaldybė,,Klaipėda,Klaipėdos miestas,Agluonos gatvė
2,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Klaipėdos miesto savivaldybė,,Klaipėda,Klaipėdos miestas,Aguonų gatvė
3,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Klaipėdos miesto savivaldybė,,Klaipėda,Klaipėdos miestas,Ajerų gatvė
4,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Klaipėdos miesto savivaldybė,,Klaipėda,Klaipėdos miestas,Akmenų gatvė
5,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Klaipėdos miesto savivaldybė,,Klaipėda,Klaipėdos miestas,Alytaus gatvė
6,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Klaipėdos miesto savivaldybė,,Klaipėda,Klaipėdos miestas,Alyvų gatvė
7,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Klaipėdos miesto savivaldybė,,Klaipėda,Klaipėdos miestas,Alksnynės gatvė
8,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Klaipėdos miesto savivaldybė,,Klaipėda,Klaipėdos miestas,Anykščių gatvė
9,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Klaipėdos miesto savivaldybė,,Klaipėda,Klaipėdos miestas,Antrosios Melnragės gatvė
10,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Klaipėdos miesto savivaldybė,,Klaipėda,Klaipėdos miestas,Apynių gatvė
11,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Klaipėdos miesto savivaldybė,,Klaipėda,Klaipėdos miestas,Arimų gatvė
12,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Klaipėdos miesto savivaldybė,,Klaipėda,Klaipėdos miestas,Artojo gatvė
13,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Klaipėdos miesto savivaldybė,,Klaipėda,Klaipėdos miestas,Atgimimo aikštė
14,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Klaipėdos miesto savivaldybė,,Klaipėda,Klaipėdos miestas,Audėjų gatvė
15,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Klaipėdos miesto savivaldybė,,Klaipėda,Klaipėdos miestas,Audros gatvė
16,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Klaipėdos miesto savivaldybė,,Klaipėda,Klaipėdos miestas,Aukštaičių gatvė
17,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Klaipėdos miesto savivaldybė,,Klaipėda,Klaipėdos miestas,Aukštoji gatvė
18,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Klaipėdos miesto savivaldybė,,Klaipėda,Klaipėdos miestas,Aušrinės gatvė
19,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Klaipėdos miesto savivaldybė,,Klaipėda,Klaipėdos miestas,Aušros gatvė
20,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Klaipėdos miesto savivaldybė,,Klaipėda,Klaipėdos miestas,Austėjos gatvė
21,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Klaipėdos miesto savivaldybė,,Klaipėda,Klaipėdos miestas,Ąžuolų gatvė
22,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Klaipėdos miesto savivaldybė,,Klaipėda,Klaipėdos miestas,Viliaus Bajoro gatvė
23,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Klaipėdos miesto savivaldybė,,Klaipėda,Klaipėdos miestas,Balandžių gatvė
24,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Klaipėdos miesto savivaldybė,,Klaipėda,Klaipėdos miestas,Baltijos prospektas
25,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Klaipėdos miesto savivaldybė,,Klaipėda,Klaipėdos miestas,Baltijos 1-oji gatvė
26,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Klaipėdos miesto savivaldybė,,Klaipėda,Klaipėdos miestas,Baltijos 10-oji gatvė
27,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Klaipėdos miesto savivaldybė,,Klaipėda,Klaipėdos miestas,Baltijos 11-oji gatvė
28,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Klaipėdos miesto savivaldybė,,Klaipėda,Klaipėdos miestas,Baltijos 12-oji gatvė
29,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Klaipėdos miesto savivaldybė,,Klaipėda,Klaipėdos miestas,Baltijos 13-oji gatvė
30,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Klaipėdos miesto savivaldybė,,Klaipėda,Klaipėdos miestas,Baltijos 14-oji gatvė
31,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Klaipėdos miesto savivaldybė,,Klaipėda,Klaipėdos miestas,Baltijos 2-oji gatvė
32,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Klaipėdos miesto savivaldybė,,Klaipėda,Klaipėdos miestas,Baltijos 3-oji gatvė
33,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Klaipėdos miesto savivaldybė,,Klaipėda,Klaipėdos miestas,Baltijos 4-oji gatvė
34,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Klaipėdos miesto savivaldybė,,Klaipėda,Klaipėdos miestas,Baltijos 5-oji gatvė
35,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Klaipėdos miesto savivaldybė,,Klaipėda,Klaipėdos miestas,Baltijos 6-oji gatvė
