id,country,county,municipality,civilparish,city,citygenitive,street
1,LIETUVOS RESPUBLIKA,Utenos apskritis,Molėtų rajono savivaldybė,,Molėtai,Molėtų miestas,Akmenų gatvė
2,LIETUVOS RESPUBLIKA,Utenos apskritis,Molėtų rajono savivaldybė,,Molėtai,Molėtų miestas,Algirdo gatvė
3,LIETUVOS RESPUBLIKA,Utenos apskritis,Molėtų rajono savivaldybė,,Molėtai,Molėtų miestas,Alyvų gatvė
4,LIETUVOS RESPUBLIKA,Utenos apskritis,Molėtų rajono savivaldybė,,Molėtai,Molėtų miestas,Amatų gatvė
5,LIETUVOS RESPUBLIKA,Utenos apskritis,Molėtų rajono savivaldybė,,Molėtai,Molėtų miestas,Architektų gatvė
6,LIETUVOS RESPUBLIKA,Utenos apskritis,Molėtų rajono savivaldybė,,Molėtai,Molėtų miestas,Ažubalių gatvė
7,LIETUVOS RESPUBLIKA,Utenos apskritis,Molėtų rajono savivaldybė,,Molėtai,Molėtų miestas,Bajorų gatvė
8,LIETUVOS RESPUBLIKA,Utenos apskritis,Molėtų rajono savivaldybė,,Molėtai,Molėtų miestas,Braškių gatvė
9,LIETUVOS RESPUBLIKA,Utenos apskritis,Molėtų rajono savivaldybė,,Molėtai,Molėtų miestas,Darbo gatvė
10,LIETUVOS RESPUBLIKA,Utenos apskritis,Molėtų rajono savivaldybė,,Molėtai,Molėtų miestas,Daubos gatvė
11,LIETUVOS RESPUBLIKA,Utenos apskritis,Molėtų rajono savivaldybė,,Molėtai,Molėtų miestas,Dvaro gatvė
12,LIETUVOS RESPUBLIKA,Utenos apskritis,Molėtų rajono savivaldybė,,Molėtai,Molėtų miestas,Gandro gatvė
13,LIETUVOS RESPUBLIKA,Utenos apskritis,Molėtų rajono savivaldybė,,Molėtai,Molėtų miestas,Graužinių gatvė
14,LIETUVOS RESPUBLIKA,Utenos apskritis,Molėtų rajono savivaldybė,,Molėtai,Molėtų miestas,Gėlių gatvė
15,LIETUVOS RESPUBLIKA,Utenos apskritis,Molėtų rajono savivaldybė,,Molėtai,Molėtų miestas,Inturkės gatvė
16,LIETUVOS RESPUBLIKA,Utenos apskritis,Molėtų rajono savivaldybė,,Molėtai,Molėtų miestas,Inturkės skersgatvis
17,LIETUVOS RESPUBLIKA,Utenos apskritis,Molėtų rajono savivaldybė,,Molėtai,Molėtų miestas,J. Janonio gatvė
18,LIETUVOS RESPUBLIKA,Utenos apskritis,Molėtų rajono savivaldybė,,Molėtai,Molėtų miestas,Jaunimo aikštė
19,LIETUVOS RESPUBLIKA,Utenos apskritis,Molėtų rajono savivaldybė,,Molėtai,Molėtų miestas,Jaunimo gatvė
20,LIETUVOS RESPUBLIKA,Utenos apskritis,Molėtų rajono savivaldybė,,Molėtai,Molėtų miestas,Jono Pauliaus II gatvė
21,LIETUVOS RESPUBLIKA,Utenos apskritis,Molėtų rajono savivaldybė,,Molėtai,Molėtų miestas,Kalno gatvė
22,LIETUVOS RESPUBLIKA,Utenos apskritis,Molėtų rajono savivaldybė,,Molėtai,Molėtų miestas,Kamino gatvė
23,LIETUVOS RESPUBLIKA,Utenos apskritis,Molėtų rajono savivaldybė,,Molėtai,Molėtų miestas,Kauno gatvė
24,LIETUVOS RESPUBLIKA,Utenos apskritis,Molėtų rajono savivaldybė,,Molėtai,Molėtų miestas,Kauno skersgatvis
25,LIETUVOS RESPUBLIKA,Utenos apskritis,Molėtų rajono savivaldybė,,Molėtai,Molėtų miestas,Kiemo gatvė
26,LIETUVOS RESPUBLIKA,Utenos apskritis,Molėtų rajono savivaldybė,,Molėtai,Molėtų miestas,Klonio gatvė
27,LIETUVOS RESPUBLIKA,Utenos apskritis,Molėtų rajono savivaldybė,,Molėtai,Molėtų miestas,Kranto gatvė
28,LIETUVOS RESPUBLIKA,Utenos apskritis,Molėtų rajono savivaldybė,,Molėtai,Molėtų miestas,Kreivoji gatvė
29,LIETUVOS RESPUBLIKA,Utenos apskritis,Molėtų rajono savivaldybė,,Molėtai,Molėtų miestas,L. Giros gatvė
30,LIETUVOS RESPUBLIKA,Utenos apskritis,Molėtų rajono savivaldybė,,Molėtai,Molėtų miestas,L. Giros skersgatvis
31,LIETUVOS RESPUBLIKA,Utenos apskritis,Molėtų rajono savivaldybė,,Molėtai,Molėtų miestas,Lakajų gatvė
32,LIETUVOS RESPUBLIKA,Utenos apskritis,Molėtų rajono savivaldybė,,Molėtai,Molėtų miestas,Lakštingalos gatvė
33,LIETUVOS RESPUBLIKA,Utenos apskritis,Molėtų rajono savivaldybė,,Molėtai,Molėtų miestas,Liepų gatvė
34,LIETUVOS RESPUBLIKA,Utenos apskritis,Molėtų rajono savivaldybė,,Molėtai,Molėtų miestas,M. Apeikytės gatvė
35,LIETUVOS RESPUBLIKA,Utenos apskritis,Molėtų rajono savivaldybė,,Molėtai,Molėtų miestas,Malūno gatvė
36,LIETUVOS RESPUBLIKA,Utenos apskritis,Molėtų rajono savivaldybė,,Molėtai,Molėtų miestas,Mechanizatorių gatvė
37,LIETUVOS RESPUBLIKA,Utenos apskritis,Molėtų rajono savivaldybė,,Molėtai,Molėtų miestas,Medžiotojų skersgatvis
38,LIETUVOS RESPUBLIKA,Utenos apskritis,Molėtų rajono savivaldybė,,Molėtai,Molėtų miestas,Melioratorių gatvė
39,LIETUVOS RESPUBLIKA,Utenos apskritis,Molėtų rajono savivaldybė,,Molėtai,Molėtų miestas,Moletūno gatvė
40,LIETUVOS RESPUBLIKA,Utenos apskritis,Molėtų rajono savivaldybė,,Molėtai,Molėtų miestas,Obelų gatvė
41,LIETUVOS RESPUBLIKA,Utenos apskritis,Molėtų rajono savivaldybė,,Molėtai,Molėtų miestas,P. Cvirkos gatvė
42,LIETUVOS RESPUBLIKA,Utenos apskritis,Molėtų rajono savivaldybė,,Molėtai,Molėtų miestas,Paluokesos gatvė
43,LIETUVOS RESPUBLIKA,Utenos apskritis,Molėtų rajono savivaldybė,,Molėtai,Molėtų miestas,Parko gatvė
44,LIETUVOS RESPUBLIKA,Utenos apskritis,Molėtų rajono savivaldybė,,Molėtai,Molėtų miestas,Pastovio gatvė
