id,country,county,municipality,civilparish,city,citygenitive,street
1,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Neringos savivaldybė,,Neringa,Neringos miestas,Alksnynės gatvė
2,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Neringos savivaldybė,,Neringa,Neringos miestas,G. D. Kuverto gatvė
3,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Neringos savivaldybė,,Neringa,Neringos miestas,Gintaro Įlankos gatvė
4,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Neringos savivaldybė,,Neringa,Neringos miestas,Ievos kalno gatvė
5,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Neringos savivaldybė,,Neringa,Neringos miestas,Kalno gatvė
6,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Neringos savivaldybė,,Neringa,Neringos miestas,Kopų gatvė
7,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Neringos savivaldybė,,Neringa,Neringos miestas,Kuršių gatvė
8,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Neringos savivaldybė,,Neringa,Neringos miestas,L. Rėzos gatvė
9,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Neringos savivaldybė,,Neringa,Neringos miestas,Lotmiškio gatvė
10,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Neringos savivaldybė,,Neringa,Neringos miestas,Miško gatvė
11,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Neringos savivaldybė,,Neringa,Neringos miestas,Naglių gatvė
12,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Neringos savivaldybė,,Neringa,Neringos miestas,Nidos-Smiltynės plentas
13,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Neringos savivaldybė,,Neringa,Neringos miestas,Pamario gatvė
14,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Neringos savivaldybė,,Neringa,Neringos miestas,Pervalkos gatvė
15,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Neringos savivaldybė,,Neringa,Neringos miestas,Preilos gatvė
16,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Neringos savivaldybė,,Neringa,Neringos miestas,Purvynės gatvė
17,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Neringos savivaldybė,,Neringa,Neringos miestas,Skruzdynės gatvė
18,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Neringos savivaldybė,,Neringa,Neringos miestas,Taikos gatvė
19,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Neringos savivaldybė,,Neringa,Neringos miestas,Žaliasis kelias
