id,country,county,municipality,civilparish,city,citygenitive,street
1,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Palangos miesto savivaldybė,,Palanga,Palangos miestas,A. Mickevičiaus gatvė
2,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Palangos miesto savivaldybė,,Palanga,Palangos miestas,Aguonų takas
3,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Palangos miesto savivaldybė,,Palanga,Palangos miestas,Aido takas
4,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Palangos miesto savivaldybė,,Palanga,Palangos miestas,Aitvarų gatvė
5,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Palangos miesto savivaldybė,,Palanga,Palangos miestas,Ajerų gatvė
6,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Palangos miesto savivaldybė,,Palanga,Palangos miestas,Akacijų gatvė
7,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Palangos miesto savivaldybė,,Palanga,Palangos miestas,Aklinoji gatvė
8,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Palangos miesto savivaldybė,,Palanga,Palangos miestas,Alksnių gatvė
9,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Palangos miesto savivaldybė,,Palanga,Palangos miestas,Alyvų takas
10,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Palangos miesto savivaldybė,,Palanga,Palangos miestas,Anaičių gatvė
11,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Palangos miesto savivaldybė,,Palanga,Palangos miestas,Arklių gatvė
12,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Palangos miesto savivaldybė,,Palanga,Palangos miestas,Audronašų gatvė
13,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Palangos miesto savivaldybė,,Palanga,Palangos miestas,Audros gatvė
14,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Palangos miesto savivaldybė,,Palanga,Palangos miestas,Aukštaičių gatvė
15,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Palangos miesto savivaldybė,,Palanga,Palangos miestas,Austrinio gatvė
16,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Palangos miesto savivaldybė,,Palanga,Palangos miestas,Austėjos gatvė
17,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Palangos miesto savivaldybė,,Palanga,Palangos miestas,Aušros gatvė
18,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Palangos miesto savivaldybė,,Palanga,Palangos miestas,Aušros takas
19,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Palangos miesto savivaldybė,,Palanga,Palangos miestas,Aviečių takas
20,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Palangos miesto savivaldybė,,Palanga,Palangos miestas,Ašaralio gatvė
21,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Palangos miesto savivaldybė,,Palanga,Palangos miestas,B. Oškinio gatvė
22,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Palangos miesto savivaldybė,,Palanga,Palangos miestas,Baltijos aikštė
23,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Palangos miesto savivaldybė,,Palanga,Palangos miestas,Baltų gatvė
24,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Palangos miesto savivaldybė,,Palanga,Palangos miestas,Bangų gatvė
25,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Palangos miesto savivaldybė,,Palanga,Palangos miestas,Bartų gatvė
26,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Palangos miesto savivaldybė,,Palanga,Palangos miestas,Bebrų gatvė
27,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Palangos miesto savivaldybė,,Palanga,Palangos miestas,Bendrovių gatvė
28,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Palangos miesto savivaldybė,,Palanga,Palangos miestas,Beržų takas
29,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Palangos miesto savivaldybė,,Palanga,Palangos miestas,Bijūnų takas
30,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Palangos miesto savivaldybė,,Palanga,Palangos miestas,Birutės alėja
31,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Palangos miesto savivaldybė,,Palanga,Palangos miestas,Bruknių takas
32,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Palangos miesto savivaldybė,,Palanga,Palangos miestas,Brukšvos gatvė
33,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Palangos miesto savivaldybė,,Palanga,Palangos miestas,Būtingės gatvė
34,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Palangos miesto savivaldybė,,Palanga,Palangos miestas,Darbėnų kelias
35,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Palangos miesto savivaldybė,,Palanga,Palangos miestas,Debesų gatvė
36,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Palangos miesto savivaldybė,,Palanga,Palangos miestas,Didžioji gatvė
37,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Palangos miesto savivaldybė,,Palanga,Palangos miestas,Diemedžių takas
38,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Palangos miesto savivaldybė,,Palanga,Palangos miestas,Dobilų gatvė
39,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Palangos miesto savivaldybė,,Palanga,Palangos miestas,Draugystės takas
40,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Palangos miesto savivaldybė,,Palanga,Palangos miestas,Drebulių gatvė
41,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Palangos miesto savivaldybė,,Palanga,Palangos miestas,Druskininkų gatvė
42,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Palangos miesto savivaldybė,,Palanga,Palangos miestas,Dzūkų gatvė
43,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Palangos miesto savivaldybė,,Palanga,Palangos miestas,Eglių gatvė
44,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Palangos miesto savivaldybė,,Palanga,Palangos miestas,Elijos gatvė
45,LIETUVOS RESPUBLIKA,Klaipėdos apskritis,Palangos miesto savivaldybė,,Palanga,Palangos miestas,Gabijos gatvė
