id,country,county,municipality,civilparish,city,citygenitive,street
1,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Vilniaus miesto savivaldybė,,Vilnius,Vilniaus miestas,Adutiškio gatvė
2,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Vilniaus miesto savivaldybė,,Vilnius,Vilniaus miestas,Agrastų gatvė
3,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Vilniaus miesto savivaldybė,,Vilnius,Vilniaus miestas,Aguonų gatvė
4,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Vilniaus miesto savivaldybė,,Vilnius,Vilniaus miestas,Aido gatvė
5,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Vilniaus miesto savivaldybė,,Vilnius,Vilniaus miestas,Aidukaičių gatvė
6,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Vilniaus miesto savivaldybė,,Vilnius,Vilniaus miestas,Airių gatvė
7,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Vilniaus miesto savivaldybė,,Vilnius,Vilniaus miestas,Aismarių gatvė
8,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Vilniaus miesto savivaldybė,,Vilnius,Vilniaus miestas,Aitvarų gatvė
9,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Vilniaus miesto savivaldybė,,Vilnius,Vilniaus miestas,Ajerų gatvė
10,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Vilniaus miesto savivaldybė,,Vilnius,Vilniaus miestas,Akacijų gatvė
11,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Vilniaus miesto savivaldybė,,Vilnius,Vilniaus miestas,Akademijos gatvė
12,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Vilniaus miesto savivaldybė,,Vilnius,Vilniaus miestas,Akmenės gatvė
13,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Vilniaus miesto savivaldybė,,Vilnius,Vilniaus miestas,Akmenų gatvė
14,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Vilniaus miesto savivaldybė,,Vilnius,Vilniaus miestas,Alantos gatvė
15,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Vilniaus miesto savivaldybė,,Vilnius,Vilniaus miestas,Algirdo gatvė
16,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Vilniaus miesto savivaldybė,,Vilnius,Vilniaus miestas,Alytaus gatvė
17,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Vilniaus miesto savivaldybė,,Vilnius,Vilniaus miestas,Alko gatvė
18,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Vilniaus miesto savivaldybė,,Vilnius,Vilniaus miestas,Alksnyno gatvė
19,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Vilniaus miesto savivaldybė,,Vilnius,Vilniaus miestas,Alkūnės gatvė
20,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Vilniaus miesto savivaldybė,,Vilnius,Vilniaus miestas,Alnos gatvė
21,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Vilniaus miesto savivaldybė,,Vilnius,Vilniaus miestas,Povilo Alšėniškio gatvė
22,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Vilniaus miesto savivaldybė,,Vilnius,Vilniaus miestas,Alšėnų gatvė
23,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Vilniaus miesto savivaldybė,,Vilnius,Vilniaus miestas,Aludarių gatvė
24,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Vilniaus miesto savivaldybė,,Vilnius,Vilniaus miestas,Amatų gatvė
25,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Vilniaus miesto savivaldybė,,Vilnius,Vilniaus miestas,Anapilio gatvė
