"id","country","county","municipality","civilparish","city","citygenitive","street"
1,"LIETUVOS RESPUBLIKA","Vilniaus apskritis","Vilniaus miesto savivaldybė",,"Grigiškės","Grigiškių miestas","Adutiškio gatvė"
2,"LIETUVOS RESPUBLIKA","Vilniaus apskritis","Vilniaus miesto savivaldybė",,"Grigiškės","Grigiškių miestas"," Afindevičių gatvė"
3,"LIETUVOS RESPUBLIKA","Vilniaus apskritis","Vilniaus miesto savivaldybė",,"Grigiškės","Grigiškių miestas"," gatvėėlių gatvė"
4,"LIETUVOS RESPUBLIKA","Vilniaus apskritis","Vilniaus miesto savivaldybė",,"Grigiškės","Grigiškių miestas"," Jaunimo skg"
5,"LIETUVOS RESPUBLIKA","Vilniaus apskritis","Vilniaus miesto savivaldybė",,"Grigiškės","Grigiškių miestas"," Kauno Vokės gatvė"
6,"LIETUVOS RESPUBLIKA","Vilniaus apskritis","Vilniaus miesto savivaldybė",,"Grigiškės","Grigiškių miestas"," Kovo 11-osios gatvė"
7,"LIETUVOS RESPUBLIKA","Vilniaus apskritis","Vilniaus miesto savivaldybė",,"Grigiškės","Grigiškių miestas"," Kranto gatvė"
8,"LIETUVOS RESPUBLIKA","Vilniaus apskritis","Vilniaus miesto savivaldybė",,"Grigiškės","Grigiškių miestas"," Kunigiškių gatvė"
9,"LIETUVOS RESPUBLIKA","Vilniaus apskritis","Vilniaus miesto savivaldybė",,"Grigiškės","Grigiškių miestas"," Lentvario gatvė"
10,"LIETUVOS RESPUBLIKA","Vilniaus apskritis","Vilniaus miesto savivaldybė",,"Grigiškės","Grigiškių miestas"," Liepų gatvė"
11,"LIETUVOS RESPUBLIKA","Vilniaus apskritis","Vilniaus miesto savivaldybė",,"Grigiškės","Grigiškių miestas"," Miško gatvė"
12,"LIETUVOS RESPUBLIKA","Vilniaus apskritis","Vilniaus miesto savivaldybė",,"Grigiškės","Grigiškių miestas"," Mokyklos gatvė"
13,"LIETUVOS RESPUBLIKA","Vilniaus apskritis","Vilniaus miesto savivaldybė",,"Grigiškės","Grigiškių miestas"," Mažasis skg"
14,"LIETUVOS RESPUBLIKA","Vilniaus apskritis","Vilniaus miesto savivaldybė",,"Grigiškės","Grigiškių miestas"," Naujoji gatvė"
15,"LIETUVOS RESPUBLIKA","Vilniaus apskritis","Vilniaus miesto savivaldybė",,"Grigiškės","Grigiškių miestas"," Nepriklausomybės gatvė"
16,"LIETUVOS RESPUBLIKA","Vilniaus apskritis","Vilniaus miesto savivaldybė",,"Grigiškės","Grigiškių miestas","Pakalnės gatvė"
17,"LIETUVOS RESPUBLIKA","Vilniaus apskritis","Vilniaus miesto savivaldybė",,"Grigiškės","Grigiškių miestas","Paupio gatvė"
18,"LIETUVOS RESPUBLIKA","Vilniaus apskritis","Vilniaus miesto savivaldybė",,"Grigiškės","Grigiškių miestas","Pašto gatvė"
19,"LIETUVOS RESPUBLIKA","Vilniaus apskritis","Vilniaus miesto savivaldybė",,"Grigiškės","Grigiškių miestas","Projektavimo gatvė"
20,"LIETUVOS RESPUBLIKA","Vilniaus apskritis","Vilniaus miesto savivaldybė",,"Grigiškės","Grigiškių miestas","Popieriaus  gatvė"
21,"LIETUVOS RESPUBLIKA","Vilniaus apskritis","Vilniaus miesto savivaldybė",,"Grigiškės","Grigiškių miestas","Santakos gatvė"
22,"LIETUVOS RESPUBLIKA","Vilniaus apskritis","Vilniaus miesto savivaldybė",,"Grigiškės","Grigiškių miestas","Sklandytojų gatvė"
23,"LIETUVOS RESPUBLIKA","Vilniaus apskritis","Vilniaus miesto savivaldybė",,"Grigiškės","Grigiškių miestas","Smėlio gatvė"
24,"LIETUVOS RESPUBLIKA","Vilniaus apskritis","Vilniaus miesto savivaldybė",,"Grigiškės","Grigiškių miestas","Sodų gatvė"
25,"LIETUVOS RESPUBLIKA","Vilniaus apskritis","Vilniaus miesto savivaldybė",,"Grigiškės","Grigiškių miestas","Statybininkų gatvė"
26,"LIETUVOS RESPUBLIKA","Vilniaus apskritis","Vilniaus miesto savivaldybė",,"Grigiškės","Grigiškių miestas","Šaltinio gatvė"
27,"LIETUVOS RESPUBLIKA","Vilniaus apskritis","Vilniaus miesto savivaldybė",,"Grigiškės","Grigiškių miestas","Šviesos gatvė"
28,"LIETUVOS RESPUBLIKA","Vilniaus apskritis","Vilniaus miesto savivaldybė",,"Grigiškės","Grigiškių miestas","Vilniaus gatvė"
29,"LIETUVOS RESPUBLIKA","Vilniaus apskritis","Vilniaus miesto savivaldybė",,"Grigiškės","Grigiškių miestas","Vijoklių gatvė"
30,"LIETUVOS RESPUBLIKA","Vilniaus apskritis","Vilniaus miesto savivaldybė",,"Grigiškės","Grigiškių miestas","Žalioji gatvė"
31,"LIETUVOS RESPUBLIKA","Vilniaus apskritis","Vilniaus miesto savivaldybė",,"Grigiškės","Grigiškių miestas","Kadriškių gatvė"
32,"LIETUVOS RESPUBLIKA","Vilniaus apskritis","Vilniaus miesto savivaldybė",,"Salos","Salų kaimas","Aušros gatvė"
33,"LIETUVOS RESPUBLIKA","Vilniaus apskritis","Vilniaus miesto savivaldybė",,"Salos","Salų kaimas","Salų gatvė"
34,"LIETUVOS RESPUBLIKA","Vilniaus apskritis","Vilniaus miesto savivaldybė",,"Salos","Salų kaimas","Slankų gatvė"
