Id, Country, County, Municipality, CivilParish, City, City_genitive, Street
1, LIETUVOS RESPUBLIKA, Kauno apskritis, Kauno miesto savivaldybė, Aleksoto seniūnija
2, LIETUVOS RESPUBLIKA, Kauno apskritis, Kauno miesto savivaldybė, Centro seniūnija
3, LIETUVOS RESPUBLIKA, Kauno apskritis, Kauno miesto savivaldybė, Dainavos seniūnija
4, LIETUVOS RESPUBLIKA, Kauno apskritis, Kauno miesto savivaldybė, Eigulių seniūnija
5, LIETUVOS RESPUBLIKA, Kauno apskritis, Kauno miesto savivaldybė, Gričiupio seniūnija
6, LIETUVOS RESPUBLIKA, Kauno apskritis, Kauno miesto savivaldybė, Panemunės seniūnija
7, LIETUVOS RESPUBLIKA, Kauno apskritis, Kauno miesto savivaldybė, Petrašiūnų seniūnija
8, LIETUVOS RESPUBLIKA, Kauno apskritis, Kauno miesto savivaldybė, Šančių seniūnija
9, LIETUVOS RESPUBLIKA, Kauno apskritis, Kauno miesto savivaldybė, Šilainių seniūnija
10, LIETUVOS RESPUBLIKA, Kauno apskritis, Kauno miesto savivaldybė, Vilijampolės seniūnija
11, LIETUVOS RESPUBLIKA, Kauno apskritis, Kauno miesto savivaldybė, Žaliakalnio seniūnija
12, LIETUVOS RESPUBLIKA, Kauno apskritis, Birštono savivaldybė, Birštono seniūnija, Babronys, Babronių kaimas
13, LIETUVOS RESPUBLIKA, Kauno apskritis, Birštono savivaldybė, Birštono seniūnija, Balvoniškės, Balvoniškių kaimas
14, LIETUVOS RESPUBLIKA, Kauno apskritis, Birštono savivaldybė, Birštono seniūnija, Bučiūnai, Bučiūnų kaimas
15, LIETUVOS RESPUBLIKA, Kauno apskritis, Birštono savivaldybė, Birštono seniūnija, Būdos, Būdų kaimas
16, LIETUVOS RESPUBLIKA, Kauno apskritis, Birštono savivaldybė, Birštono seniūnija, Dimšiškės, Dimšiškių kaimas
17, LIETUVOS RESPUBLIKA, Kauno apskritis, Birštono savivaldybė, Birštono seniūnija, Dirvoniškės, Dirvoniškių kaimas
18, LIETUVOS RESPUBLIKA, Kauno apskritis, Birštono savivaldybė, Birštono seniūnija, Dzingeliškės, Dzingeliškių kaimas
19, LIETUVOS RESPUBLIKA, Kauno apskritis, Birštono savivaldybė, Birštono seniūnija, Geležūnai, Geležūnų kaimas
20, LIETUVOS RESPUBLIKA, Kauno apskritis, Birštono savivaldybė, Birštono seniūnija, Gojus, Gojaus kaimas
21, LIETUVOS RESPUBLIKA, Kauno apskritis, Birštono savivaldybė, Birštono seniūnija, Grikapėdis, Grikapėdžio kaimas
22, LIETUVOS RESPUBLIKA, Kauno apskritis, Birštono savivaldybė, Birštono seniūnija, Gudakalnis, Gudakalnio kaimas
23, LIETUVOS RESPUBLIKA, Kauno apskritis, Birštono savivaldybė, Birštono seniūnija, Ivoniškės, Ivoniškių kaimas
24, LIETUVOS RESPUBLIKA, Kauno apskritis, Birštono savivaldybė, Birštono seniūnija, Jackonys, Jackonių kaimas
25, LIETUVOS RESPUBLIKA, Kauno apskritis, Birštono savivaldybė, Birštono seniūnija, Jundeliškės, Jundeliškių kaimas
26, LIETUVOS RESPUBLIKA, Kauno apskritis, Birštono savivaldybė, Birštono seniūnija, Kamiliava, Kamiliavos kaimas
27, LIETUVOS RESPUBLIKA, Kauno apskritis, Birštono savivaldybė, Birštono seniūnija, Kernuvės, Kernuvių kaimas
28, LIETUVOS RESPUBLIKA, Kauno apskritis, Birštono savivaldybė, Birštono seniūnija, Kimbirai, Kimbirų kaimas
29, LIETUVOS RESPUBLIKA, Kauno apskritis, Birštono savivaldybė, Birštono seniūnija, Lengveniškės, Lengveniškių kaimas
30, LIETUVOS RESPUBLIKA, Kauno apskritis, Birštono savivaldybė, Birštono seniūnija, Martinonys, Martinonių kaimas
31, LIETUVOS RESPUBLIKA, Kauno apskritis, Birštono savivaldybė, Birštono seniūnija, Matiešionys, Matiešionių kaimas
32, LIETUVOS RESPUBLIKA, Kauno apskritis, Birštono savivaldybė, Birštono seniūnija, Medeikonys, Medeikonių kaimas
33, LIETUVOS RESPUBLIKA, Kauno apskritis, Birštono savivaldybė, Birštono seniūnija, Moibelės, Moibelių kaimas
34, LIETUVOS RESPUBLIKA, Kauno apskritis, Birštono savivaldybė, Birštono seniūnija, Mūliškės, Mūliškių kaimas
35, LIETUVOS RESPUBLIKA, Kauno apskritis, Birštono savivaldybė, Birštono seniūnija, Naudžiūnai, Naudžiūnų kaimas
36, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Bukonių seniūnija, Baravykai, Baravykų kaimas
37, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Bukonių seniūnija, Biržuliai, Biržulių kaimas
