Id, Country, County, Municipality, CivilParish, City, City_genitive, Street
1, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Degučių seniūnija
2, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Mokolų seniūnija
3, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Narto seniūnija
4, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Akmenynų seniūnija, Aleksandravas, Aleksandravo kaimas
5, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Akmenynų seniūnija, Būdviečiai, Būdviečių kaimas
6, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Akmenynų seniūnija, Cibavas, Cibavo kaimas
7, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Akmenynų seniūnija, Dirvonai, Dirvonų kaimas
8, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Akmenynų seniūnija, Gabrieliškiai, Gabrieliškių kaimas
9, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Akmenynų seniūnija, Girkantai, Girkantų kaimas
10, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Akmenynų seniūnija, Kalnėnai, Kalnėnų kaimas
11, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Akmenynų seniūnija, Krijobaliai, Krijobalių kaimas
12, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Akmenynų seniūnija, Liepalotai, Liepalotų kaimas
13, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Akmenynų seniūnija, Pakruopiškiai, Pakruopiškių kaimas
14, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Akmenynų seniūnija, Pavyžupys, Pavyžupio kaimas
15, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Akmenynų seniūnija, Peleniai, Pelenių kaimas
16, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Akmenynų seniūnija, Piliakalniai, Piliakalnių kaimas
17, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Akmenynų seniūnija, Smalnyčėnai, Smalnyčėnų kaimas
18, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Akmenynų seniūnija, Valinčiškiai, Valinčiškių kaimas
19, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Kalvarijos seniūnija, Barauskai, Barauskų kaimas
20, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Kalvarijos seniūnija, Brazavas, Brazavo kaimas
21, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Kalvarijos seniūnija, Budaviskas, Budavisko kaimas
22, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Kalvarijos seniūnija, Butanavičiai, Butanavičių kaimas
23, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Kalvarijos seniūnija, Dambauka, Dambaukos kaimas
24, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Kalvarijos seniūnija, Deivoniškiai, Deivoniškių kaimas
25, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Kalvarijos seniūnija, Dominiškiai, Dominiškių kaimas
26, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Kalvarijos seniūnija, Durpinė, Durpinės kaimas
27, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Kalvarijos seniūnija, Ėgliabaliai, Ėgliabalių kaimas
28, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Kalvarijos seniūnija, Ėgliškiai, Ėgliškių kaimas
29, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Kalvarijos seniūnija, Godūniškiai, Godūniškių kaimas
30, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Kalvarijos seniūnija, Ilgalauka, Ilgalaukos kaimas
31, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Kalvarijos seniūnija, Ivantiškiai, Ivantiškių kaimas
32, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Kalvarijos seniūnija, Jakimavičiai, Jakimavičių kaimas
33, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Kalvarijos seniūnija, Juodeliai, Juodelių kaimas
34, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Kalvarijos seniūnija, Juodieji Šaltiniai, Juodųjų Šaltinių kaimas
35, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Kalvarijos seniūnija, Jurgežeriai, Jurgežerių kaimas
36, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Kalvarijos seniūnija, Kalviai, Kalvių kaimas
37, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Kalvarijos seniūnija, Kampiniai, Kampinių kaimas
38, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Liubavo seniūnija, Aguonis, Aguonio kaimas
39, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Liubavo seniūnija, Asava, Asavos kaimas
40, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Liubavo seniūnija, Barkai, Barkų kaimas
41, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Liubavo seniūnija, Beržynai, Beržynų kaimas
42, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Liubavo seniūnija, Grandai, Grandų kaimas
