id,country,county,municipality,civilparish,city,citygenitive,street
1,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,,,
2,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Biržų rajono savivaldybė,Nemunėlio Radviliškio seniūnija,Antupė,Antupės kaimas,
3,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Biržų rajono savivaldybė,Nemunėlio Radviliškio seniūnija,Aspariškiai,Aspariškių kaimas,
4,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Biržų rajono savivaldybė,Nemunėlio Radviliškio seniūnija,Bėčiūnai,Bėčiūnų kaimas,
5,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Biržų rajono savivaldybė,Nemunėlio Radviliškio seniūnija,Beinoras,Beinoro kaimas,
6,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Biržų rajono savivaldybė,Nemunėlio Radviliškio seniūnija,Bėnupė,Bėnupės kaimas,
7,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Biržų rajono savivaldybė,Nemunėlio Radviliškio seniūnija,Bliūdžiai,Bliūdžių kaimas,
8,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Biržų rajono savivaldybė,Nemunėlio Radviliškio seniūnija,Bobėnėliai,Bobėnėlių kaimas,
9,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Biržų rajono savivaldybė,Nemunėlio Radviliškio seniūnija,Bobėnai,Bobėnų kaimas,
10,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Biržų rajono savivaldybė,Nemunėlio Radviliškio seniūnija,Briedžiai,Briedžių kaimas,
11,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Biržų rajono savivaldybė,Nemunėlio Radviliškio seniūnija,Brukos,Brukų viensėdis,
12,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Biržų rajono savivaldybė,Nemunėlio Radviliškio seniūnija,Dauguviečiai,Dauguviečių viensėdis,
13,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Biržų rajono savivaldybė,Nemunėlio Radviliškio seniūnija,Gerkiai,Gerkių viensėdis,
14,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Biržų rajono savivaldybė,Nemunėlio Radviliškio seniūnija,Gužai,Gužų kaimas,
15,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Biržų rajono savivaldybė,Nemunėlio Radviliškio seniūnija,Igauniai,Igaunių viensėdis,
16,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Biržų rajono savivaldybė,Nemunėlio Radviliškio seniūnija,Jokūbiškis,Jokūbiškio kaimas,
17,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Biržų rajono savivaldybė,Nemunėlio Radviliškio seniūnija,Juljanava,Juljanavos kaimas,
18,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Biržų rajono savivaldybė,Nemunėlio Radviliškio seniūnija,Kiauliškiai,Kiauliškių kaimas,
19,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Biržų rajono savivaldybė,Nemunėlio Radviliškio seniūnija,Kraukliai,Krauklių kaimas,
20,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Biržų rajono savivaldybė,Nemunėlio Radviliškio seniūnija,Kukuliai,Kukulių kaimas,
21,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Biržų rajono savivaldybė,Nemunėlio Radviliškio seniūnija,Kuldūnai,Kuldūnų kaimas,
22,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Biržų rajono savivaldybė,Nemunėlio Radviliškio seniūnija,Kuokaviečiai,Kuokaviečių kaimas,
23,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Biržų rajono savivaldybė,Nemunėlio Radviliškio seniūnija,Leitiškiai,Leitiškių kaimas,
24,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Biržų rajono savivaldybė,Pabiržės seniūnija,Čeniškiai,Čeniškių kaimas,
25,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Biržų rajono savivaldybė,Pabiržės seniūnija,Daniūnai,Daniūnų kaimas,
26,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Biržų rajono savivaldybė,Pabiržės seniūnija,Dirvoniškis,Dirvoniškio kaimas,
27,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Biržų rajono savivaldybė,Pabiržės seniūnija,Dūdoriškiai,Dūdoriškių viensėdis,
28,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Biržų rajono savivaldybė,Pabiržės seniūnija,Gatavina,Gatavinos viensėdis,
29,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Biržų rajono savivaldybė,Pabiržės seniūnija,Gražūsiai,Gražūsių kaimas,
30,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Biržų rajono savivaldybė,Pabiržės seniūnija,Kirdonėliai,Kirdonėlių kaimas,
31,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Biržų rajono savivaldybė,Pabiržės seniūnija,Kiršoniai,Kiršonių kaimas,
32,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Biržų rajono savivaldybė,Pabiržės seniūnija,Kojeliškiai,Kojeliškių kaimas,
33,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Biržų rajono savivaldybė,Pabiržės seniūnija,Latveliškis,Latveliškio kaimas,
34,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Biržų rajono savivaldybė,Pabiržės seniūnija,Likėnėliai,Likėnėlių kaimas,
35,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Biržų rajono savivaldybė,Pabiržės seniūnija,Likėnai,Likėnų kaimas,
36,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Biržų rajono savivaldybė,Pabiržės seniūnija,Padaičiai,Padaičių kaimas,
37,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Biržų rajono savivaldybė,Pabiržės seniūnija,Paringužiai,Paringužių kaimas,
38,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Biržų rajono savivaldybė,Pabiržės seniūnija,Patatuliečiai,Patatuliečių kaimas,
39,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Biržų rajono savivaldybė,Pačeriaukštės seniūnija,Bačiškiai,Bačiškių kaimas,
40,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Biržų rajono savivaldybė,Pačeriaukštės seniūnija,Bikšiai,Bikšių kaimas,
