id,country,county,municipality,civilparish,city,citygenitive,street
1,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Šiaulių rajono savivaldybė,Gruzdžių seniūnija,Šiupyliai,Šiupylių kaimas,A. Griciaus gatvė
2,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Kelmės rajono savivaldybė,Kelmės seniūnija,Kelmė,Kelmės miestas,A. Mackevičiaus gatvė
3,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Akmenės rajono savivaldybė,Papilės seniūnija,Papilė,Papilės miestelis,A. Mockaus skersgatvis
4,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Radviliškio rajono savivaldybė,Radviliškio miesto seniūnija,Radviliškis,Radviliškio miestas,A. Povyliaus gatvė
5,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Kelmės rajono savivaldybė,Tytuvėnų seniūnija,Tytuvėnai,Tytuvėnų miestas,A. Valavičiaus gatvė
6,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Joniškio rajono savivaldybė,Joniškio seniūnija,Joniškis,Joniškio miestas,A. Varno gatvė
7,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Radviliškio rajono savivaldybė,Baisogalos seniūnija,Baisogala,Baisogalos miestelis,A. Vienuolio gatvė
8,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Pakruojo rajono savivaldybė,Pakruojo seniūnija,Pakruojis,Pakruojo miestas,A. Vienuolio gatvė
9,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Šiaulių rajono savivaldybė,Kuršėnų miesto seniūnija,Kuršėnai,Kuršėnų miestas,A. Vienuolio gatvė
10,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Radviliškio rajono savivaldybė,Grinkiškio seniūnija,Abložynė,Abložynės kaimas,
11,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Radviliškio rajono savivaldybė,Šaukoto seniūnija,Abrieskai,Abrieskų kaimas,
12,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Pakruojo rajono savivaldybė,Rozalimo seniūnija,Adampolis,Adampolio viensėdis,
13,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Kelmės rajono savivaldybė,Kražių seniūnija,Adampolė,Adampolės kaimas,
14,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Kelmės rajono savivaldybė,Pakražančio seniūnija,Adomaičiai,Adomaičių kaimas,
15,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Šiaulių rajono savivaldybė,Meškuičių seniūnija,Adomiškiai,Adomiškių kaimas,
16,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Akmenės rajono savivaldybė,Akmenės seniūnija,Adomiškės,Adomiškių kaimas,
17,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Kelmės rajono savivaldybė,Kražių seniūnija,Adošiškė,Adošiškės viensėdis,
18,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Kelmės rajono savivaldybė,Vaiguvos seniūnija,Adošiškė,Adošiškės kaimas,
19,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Kelmės rajono savivaldybė,Tytuvėnų apylinkių seniūnija,Agailiai,Agailių viensėdis,
20,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Šiaulių rajono savivaldybė,Kuršėnų kaimiškoji seniūnija,Agailės,Agailių kaimas,
21,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Akmenės rajono savivaldybė,Ventos seniūnija,Venta,Ventos miestas,Agrastų gatvė
22,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Kelmės rajono savivaldybė,Kelmės seniūnija,Kelmė,Kelmės miestas,Agrastų gatvė
23,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Radviliškio rajono savivaldybė,Radviliškio miesto seniūnija,Radviliškis,Radviliškio miestas,Agrastų gatvė
24,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Šiaulių rajono savivaldybė,Kairių seniūnija,Kairiai,Kairių miestelis,Agrastų gatvė
25,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Šiaulių rajono savivaldybė,Kuršėnų miesto seniūnija,Kuršėnai,Kuršėnų miestas,Agrastų gatvė
26,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Šiaulių rajono savivaldybė,Kuršėnų kaimiškoji seniūnija,Liepkalnis,Liepkalnio kaimas,Agrastų gatvė
27,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Šiaulių rajono savivaldybė,Šiaulių kaimiškoji seniūnija,Raizgiai,Raizgių kaimas,Agrastų gatvė
28,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Šiaulių rajono savivaldybė,Gruzdžių seniūnija,Šiupyliai,Šiupylių kaimas,Agronomijos gatvė
29,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Šiaulių rajono savivaldybė,Šiaulių kaimiškoji seniūnija,Vijoliai,Vijolių kaimas,Agronomijos gatvė
30,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Šiaulių rajono savivaldybė,Kuršėnų kaimiškoji seniūnija,Ringuvėnai,Ringuvėnų kaimas,Agronomų gatvė
31,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Akmenės rajono savivaldybė,Naujosios Akmenės miesto seniūnija,Naujoji Akmenė,Naujosios Akmenės miestas,Aguonų gatvė
32,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Pakruojo rajono savivaldybė,Klovainių seniūnija,Klovainiai,Klovainių miestelis,Aguonų gatvė
33,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Radviliškio rajono savivaldybė,Radviliškio miesto seniūnija,Radviliškis,Radviliškio miestas,Aguonų gatvė
34,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Šiaulių rajono savivaldybė,Kuršėnų kaimiškoji seniūnija,Ringuvėnai,Ringuvėnų kaimas,Aguonų gatvė
35,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Šiaulių rajono savivaldybė,Šiaulių kaimiškoji seniūnija,Toliočiai,Toliočių kaimas,Aguonų gatvė
36,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Radviliškio rajono savivaldybė,Skėmių seniūnija,Aguriškės,Aguriškių kaimas,
37,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Radviliškio rajono savivaldybė,Baisogalos seniūnija,Pakiršinėlis,Pakiršinėlio kaimas,Aido gatvė
38,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Pakruojo rajono savivaldybė,Lygumų seniūnija,Lygumai,Lygumų miestelis,Aikštės gatvė
39,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Šiaulių rajono savivaldybė,Šiaulių kaimiškoji seniūnija,Verduliukai,Verduliukų kaimas,Aitvarų gatvė
40,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Šiaulių rajono savivaldybė,Ginkūnų seniūnija,Ginkūnai,Ginkūnų kaimas,Ajerų gatvė
41,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Šiaulių rajono savivaldybė,Šiaulių kaimiškoji seniūnija,Dainos,Dainų kaimas,Ajerų gatvė
