id,country,county,municipality,civilparish,city,citygenitive,street
1,LIETUVOS RESPUBLIKA,Utenos apskritis,Anykščių rajono savivaldybė,Anykščių seniūnija,Anykščiai,Anykščių miestas,A. Baranausko aikštė
2,LIETUVOS RESPUBLIKA,Utenos apskritis,Utenos rajono savivaldybė,Utenos miesto seniūnija,Utena,Utenos miestas,A. Baranausko gatvė
3,LIETUVOS RESPUBLIKA,Utenos apskritis,Utenos rajono savivaldybė,Vyžuonų seniūnija,Vyžuonos,Vyžuonų miestelis,A. Masionio gatvė
4,LIETUVOS RESPUBLIKA,Utenos apskritis,Utenos rajono savivaldybė,Tauragnų seniūnija,Tauragnai,Tauragnų miestelis,A. Musteikio gatvė
5,LIETUVOS RESPUBLIKA,Utenos apskritis,Zarasų rajono savivaldybė,Dusetų seniūnija,Dusetos,Dusetų miestas,A. Vienažindžio gatvė
6,LIETUVOS RESPUBLIKA,Utenos apskritis,Anykščių rajono savivaldybė,Anykščių seniūnija,Ažuožeriai,Ažuožerių kaimas,A. Vienuolio gatvė
7,LIETUVOS RESPUBLIKA,Utenos apskritis,Anykščių rajono savivaldybė,Anykščių seniūnija,Anykščiai,Anykščių miestas,A. Vienuolio gatvė
8,LIETUVOS RESPUBLIKA,Utenos apskritis,Utenos rajono savivaldybė,Užpalių seniūnija,Užpaliai,Užpalių miestelis,A. Žvirono gatvė
9,LIETUVOS RESPUBLIKA,Utenos apskritis,Molėtų rajono savivaldybė,Giedraičių seniūnija,Abramaučizna,Abramaučiznos kaimas,
10,LIETUVOS RESPUBLIKA,Utenos apskritis,Anykščių rajono savivaldybė,Anykščių seniūnija,Abromiškis,Abromiškio kaimas,
11,LIETUVOS RESPUBLIKA,Utenos apskritis,Utenos rajono savivaldybė,Užpalių seniūnija,Abromiškis,Abromiškio kaimas,
12,LIETUVOS RESPUBLIKA,Utenos apskritis,Ignalinos rajono savivaldybė,Vidiškių seniūnija,Abugaliai,Abugalių kaimas,
13,LIETUVOS RESPUBLIKA,Utenos apskritis,Anykščių rajono savivaldybė,Anykščių seniūnija,Adampolis,Adampolio viensėdis,
14,LIETUVOS RESPUBLIKA,Utenos apskritis,Molėtų rajono savivaldybė,Dubingių seniūnija,Adomaitiškiai,Adomaitiškių kaimas,
15,LIETUVOS RESPUBLIKA,Utenos apskritis,Molėtų rajono savivaldybė,Luokesos seniūnija,Adomaitiškiai,Adomaitiškių viensėdis,
16,LIETUVOS RESPUBLIKA,Utenos apskritis,Zarasų rajono savivaldybė,Imbrado seniūnija,Adomauka,Adomaukos viensėdis,
17,LIETUVOS RESPUBLIKA,Utenos apskritis,Anykščių rajono savivaldybė,Kurklių seniūnija,Adomava,Adomavos viensėdis,
18,LIETUVOS RESPUBLIKA,Utenos apskritis,Zarasų rajono savivaldybė,Imbrado seniūnija,Adomava,Adomavos kaimas,
19,LIETUVOS RESPUBLIKA,Utenos apskritis,Molėtų rajono savivaldybė,Alantos seniūnija,Adomiškis,Adomiškio kaimas,
20,LIETUVOS RESPUBLIKA,Utenos apskritis,Utenos rajono savivaldybė,Leliūnų seniūnija,Adomiškis,Adomiškio kaimas,
21,LIETUVOS RESPUBLIKA,Utenos apskritis,Molėtų rajono savivaldybė,Alantos seniūnija,Adomiškėlis,Adomiškėlio viensėdis,
22,LIETUVOS RESPUBLIKA,Utenos apskritis,Ignalinos rajono savivaldybė,Didžiasalio seniūnija,Didžiasalis,Didžiasalio kaimas,Agarinio gatvė
23,LIETUVOS RESPUBLIKA,Utenos apskritis,Ignalinos rajono savivaldybė,Ignalinos miesto seniūnija,Ignalina,Ignalinos miestas,Agarinio gatvė
24,LIETUVOS RESPUBLIKA,Utenos apskritis,Molėtų rajono savivaldybė,Balninkų seniūnija,Agatava,Agatavos kaimas,
25,LIETUVOS RESPUBLIKA,Utenos apskritis,Utenos rajono savivaldybė,Sudeikių seniūnija,Voverynė,Voverynės viensėdis,Agrastų gatvė
26,LIETUVOS RESPUBLIKA,Utenos apskritis,Molėtų rajono savivaldybė,Čiulėnų seniūnija,Aidiečiai,Aidiečių kaimas,
27,LIETUVOS RESPUBLIKA,Utenos apskritis,Molėtų rajono savivaldybė,Čiulėnų seniūnija,Aigėlai,Aigėlų kaimas,
28,LIETUVOS RESPUBLIKA,Utenos apskritis,Molėtų rajono savivaldybė,Mindūnų seniūnija,Šnieriškės,Šnieriškių kaimas,Aiseto gatvė
29,LIETUVOS RESPUBLIKA,Utenos apskritis,Molėtų rajono savivaldybė,Čiulėnų seniūnija,Aiterada,Aiterados kaimas,
30,LIETUVOS RESPUBLIKA,Utenos apskritis,Zarasų rajono savivaldybė,Suvieko seniūnija,Ajočiai,Ajočių kaimas,
31,LIETUVOS RESPUBLIKA,Utenos apskritis,Anykščių rajono savivaldybė,Viešintų seniūnija,Akmena,Akmenos kaimas,
32,LIETUVOS RESPUBLIKA,Utenos apskritis,Ignalinos rajono savivaldybė,Ceikinių seniūnija,Akmeniškė,Akmeniškės kaimas,
33,LIETUVOS RESPUBLIKA,Utenos apskritis,Ignalinos rajono savivaldybė,Rimšės seniūnija,Akmeniškė,Akmeniškės kaimas,
34,LIETUVOS RESPUBLIKA,Utenos apskritis,Zarasų rajono savivaldybė,Turmanto seniūnija,Akmeniškė,Akmeniškės viensėdis,
35,LIETUVOS RESPUBLIKA,Utenos apskritis,Utenos rajono savivaldybė,Saldutiškio seniūnija,Akmeniškės,Akmeniškių kaimas,
36,LIETUVOS RESPUBLIKA,Utenos apskritis,Molėtų rajono savivaldybė,Giedraičių seniūnija,Akmenka,Akmenkos kaimas,
37,LIETUVOS RESPUBLIKA,Utenos apskritis,Molėtų rajono savivaldybė,Giedraičių seniūnija,Kraujaleidžiai,Kraujaleidžių kaimas,Akmenkos gatvė
38,LIETUVOS RESPUBLIKA,Utenos apskritis,Utenos rajono savivaldybė,Saldutiškio seniūnija,Akmenynė,Akmenynės viensėdis,
39,LIETUVOS RESPUBLIKA,Utenos apskritis,Utenos rajono savivaldybė,Leliūnų seniūnija,Aknystėlės,Aknystėlių kaimas,
40,LIETUVOS RESPUBLIKA,Utenos apskritis,Anykščių rajono savivaldybė,Debeikių seniūnija,Aknysčiai,Aknysčių kaimas,
41,LIETUVOS RESPUBLIKA,Utenos apskritis,Ignalinos rajono savivaldybė,Kazitiškio seniūnija,Akriemiai,Akriemių kaimas,
42,LIETUVOS RESPUBLIKA,Utenos apskritis,Molėtų rajono savivaldybė,Luokesos seniūnija,Aktapolis,Aktapolio kaimas,
43,LIETUVOS RESPUBLIKA,Utenos apskritis,Molėtų rajono savivaldybė,Balninkų seniūnija,Perkaliai,Perkalių kaimas,Alantos gatvė
44,LIETUVOS RESPUBLIKA,Utenos apskritis,Molėtų rajono savivaldybė,Alantos seniūnija,Alantėlė,Alantėlės kaimas,
45,LIETUVOS RESPUBLIKA,Utenos apskritis,Molėtų rajono savivaldybė,Alantos seniūnija,Alantėlė,Alantėlės viensėdis,
46,LIETUVOS RESPUBLIKA,Utenos apskritis,Molėtų rajono savivaldybė,Alantos seniūnija,Naujasodis,Naujasodžio kaimas,Alantėlės gatvė
47,LIETUVOS RESPUBLIKA,Utenos apskritis,Utenos rajono savivaldybė,Sudeikių seniūnija,Alaušai,Alaušų kaimas,
48,LIETUVOS RESPUBLIKA,Utenos apskritis,Anykščių rajono savivaldybė,Svėdasų seniūnija,Svėdasai,Svėdasų miestelis,Alaušo gatvė
49,LIETUVOS RESPUBLIKA,Utenos apskritis,Utenos rajono savivaldybė,Sudeikių seniūnija,Sudeikiai,Sudeikių miestelis,Alaušo gatvė
50,LIETUVOS RESPUBLIKA,Utenos apskritis,Utenos rajono savivaldybė,Užpalių seniūnija,Užpaliai,Užpalių miestelis,Alaušo gatvė
51,LIETUVOS RESPUBLIKA,Utenos apskritis,Molėtų rajono savivaldybė,Balninkų seniūnija,Balninkai,Balninkų miestelis,Alaušų gatvė
52,LIETUVOS RESPUBLIKA,Utenos apskritis,Anykščių rajono savivaldybė,Anykščių seniūnija,Aleininkai,Aleininkų kaimas,
53,LIETUVOS RESPUBLIKA,Utenos apskritis,Zarasų rajono savivaldybė,Imbrado seniūnija,Aleininkai,Aleininkų kaimas,
54,LIETUVOS RESPUBLIKA,Utenos apskritis,Ignalinos rajono savivaldybė,Dūkšto seniūnija,Alejūnai,Alejūnų kaimas,
55,LIETUVOS RESPUBLIKA,Utenos apskritis,Anykščių rajono savivaldybė,Kavarsko seniūnija,Aleksandrava,Aleksandravos kaimas,
56,LIETUVOS RESPUBLIKA,Utenos apskritis,Molėtų rajono savivaldybė,Balninkų seniūnija,Aleksandrava,Aleksandravos viensėdis,
57,LIETUVOS RESPUBLIKA,Utenos apskritis,Anykščių rajono savivaldybė,Troškūnų seniūnija,Aleksandravėlė,Aleksandravėlės viensėdis,
58,LIETUVOS RESPUBLIKA,Utenos apskritis,Molėtų rajono savivaldybė,Giedraičių seniūnija,Aleksandriškiai,Aleksandriškių kaimas,
59,LIETUVOS RESPUBLIKA,Utenos apskritis,Zarasų rajono savivaldybė,Degučių seniūnija,Aleksiejauka,Aleksiejaukos kaimas,
