id,country,county,municipality,civilparish,city,citygenitive,street
1,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Švenčionių rajono savivaldybė,Švenčionių miesto seniūnija,Švenčionys,Švenčionių miestas,1-ieji Trakai 
2,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Ukmergės rajono savivaldybė,Ukmergės miesto seniūnija,Ukmergė,Ukmergės miestas,A. Baranausko gatvė
3,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Vilniaus rajono savivaldybė,Maišiagalos seniūnija,Karvys,Karvio kaimas,A. Giedraičio gatvė
4,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Vilniaus rajono savivaldybė,Nemenčinės miesto seniūnija,Nemenčinė,Nemenčinės miestas,A. Kitkaus gatvė
5,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Šalčininkų rajono savivaldybė,Baltosios Vokės seniūnija,Baltoji Vokė,Baltosios Vokės miestas,A. Mickevičiaus gatvė
6,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Šalčininkų rajono savivaldybė,Eišiškių seniūnija,Eišiškės,Eišiškių miestas,A. Mickevičiaus gatvė
7,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Trakų rajono savivaldybė,Aukštadvario seniūnija,Aukštadvaris,Aukštadvario miestelis,A. Mickevičiaus gatvė
8,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Vilniaus rajono savivaldybė,Juodšilių seniūnija,Juodšiliai,Juodšilių kaimas,A. Mickevičiaus gatvė
9,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Vilniaus rajono savivaldybė,Nemenčinės miesto seniūnija,Nemenčinė,Nemenčinės miestas,A. Mickevičiaus gatvė
10,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Vilniaus rajono savivaldybė,Nemėžio seniūnija,Nemėžis,Nemėžio kaimas,A. Mickevičiaus gatvė
11,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Švenčionių rajono savivaldybė,Pabradės miesto seniūnija,Pabradė,Pabradės miestas,A. Mickevičiaus gatvė
12,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Ukmergės rajono savivaldybė,Ukmergės miesto seniūnija,Ukmergė,Ukmergės miestas,A. Mickevičiaus gatvė
13,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Šalčininkų rajono savivaldybė,Šalčininkų seniūnija,Šalčininkai,Šalčininkų miestas,A. Mickevičiaus gatvė
14,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Vilniaus rajono savivaldybė,Nemenčinės miesto seniūnija,Nemenčinė,Nemenčinės miestas,A. Naruševičiaus gatvė
15,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Švenčionių rajono savivaldybė,Švenčionių miesto seniūnija,Švenčionys,Švenčionių miestas,A. Rymo gatvė
16,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Ukmergės rajono savivaldybė,Ukmergės miesto seniūnija,Ukmergė,Ukmergės miestas,A. Smetonos gatvė
17,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Ukmergės rajono savivaldybė,Želvos seniūnija,Želva,Želvos miestelis,A. Smetonos gatvė
18,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Ukmergės rajono savivaldybė,Vidiškių seniūnija,Šventupė,Šventupės kaimas,A. Vienuolio gatvė
19,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Ukmergės rajono savivaldybė,Ukmergės miesto seniūnija,Ukmergė,Ukmergės miestas,A. Vienuolio-Žukausko gatvė
20,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Švenčionių rajono savivaldybė,Pabradės seniūnija,Abejučiai,Abejučių kaimas,
21,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Ukmergės rajono savivaldybė,Želvos seniūnija,Bajorai,Bajorų kaimas,Abisinijos gatvė
22,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Ukmergės rajono savivaldybė,Želvos seniūnija,Adamaučizna,Adamaučiznos kaimas,
23,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Švenčionių rajono savivaldybė,Magūnų seniūnija,Adamavas,Adamavo viensėdis,
24,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Švenčionių rajono savivaldybė,Švenčionių seniūnija,Adamavas,Adamavo kaimas,
25,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Trakų rajono savivaldybė,Rūdiškių seniūnija,Adeliškės,Adeliškių kaimas,
26,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Trakų rajono savivaldybė,Aukštadvario seniūnija,Adincava,Adincavos kaimas,
27,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Širvintų rajono savivaldybė,Alionių seniūnija,Adolina,Adolinos kaimas,
28,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Vilniaus rajono savivaldybė,Paberžės seniūnija,Adomaičiai,Adomaičių kaimas,
29,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Ukmergės rajono savivaldybė,Želvos seniūnija,Žvynėnai,Žvynėnų kaimas,Adomavos kelias
30,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Ukmergės rajono savivaldybė,Želvos seniūnija,Adomiškis,Adomiškio kaimas,
31,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Švenčionių rajono savivaldybė,Švenčionių seniūnija,Adomiškė,Adomiškės kaimas,
32,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Šalčininkų rajono savivaldybė,Kalesninkų seniūnija,Adomiškės,Adomiškių kaimas,
33,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Vilniaus rajono savivaldybė,Zujūnų seniūnija,Bagdoniškės,Bagdoniškių kaimas,Adomo Mickevičiaus gatvė
34,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Vilniaus rajono savivaldybė,Zujūnų seniūnija,Čekoniškės,Čekoniškių kaimas,Adomo Mickevičiaus gatvė
35,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Vilniaus rajono savivaldybė,Zujūnų seniūnija,Koplyčninkai,Koplyčninkų kaimas,Adomo Mickevičiaus gatvė
36,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Vilniaus rajono savivaldybė,Zujūnų seniūnija,Leičiai,Leičių kaimas,Adomo Mickevičiaus gatvė
37,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Vilniaus rajono savivaldybė,Zujūnų seniūnija,Papiškės,Papiškių kaimas,Adomo Mickevičiaus gatvė
38,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Vilniaus rajono savivaldybė,Zujūnų seniūnija,Vaivadiškės,Vaivadiškių kaimas,Adomo Mickevičiaus gatvė
39,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Vilniaus rajono savivaldybė,Dūkštų seniūnija,Adomčiškės,Adomčiškių kaimas,
40,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Trakų rajono savivaldybė,Rūdiškių seniūnija,Adomėliai,Adomėlių viensėdis,
41,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Švenčionių rajono savivaldybė,Švenčionių seniūnija,Adutiškio Kelias,Adutiškio Kelio kaimas,
42,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Švenčionių rajono savivaldybė,Svirkų seniūnija,Kackonys,Kackonių kaimas,Adutiškio gatvė
43,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Švenčionių rajono savivaldybė,Švenčionių miesto seniūnija,Švenčionys,Švenčionių miestas,Adutiškio gatvė
44,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Ukmergės rajono savivaldybė,Želvos seniūnija,Aginčiai,Aginčių kaimas,
45,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Vilniaus rajono savivaldybė,Paberžės seniūnija,Agrastinė,Agrastinės viensėdis,
46,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Trakų rajono savivaldybė,Trakų seniūnija,Būda III,Būdos III kaimas,Agrastų gatvė
47,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Ukmergės rajono savivaldybė,Ukmergės miesto seniūnija,Ukmergė,Ukmergės miestas,Agrastų gatvė
48,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Trakų rajono savivaldybė,Lentvario seniūnija,Vosyliukai,Vosyliukų kaimas,Agrastų gatvė
49,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Vilniaus rajono savivaldybė,Maišiagalos seniūnija,Skauduliškės,Skauduliškių kaimas,Agrastų gatvė
50,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Vilniaus rajono savivaldybė,Riešės seniūnija,Skirgiškės,Skirgiškių kaimas,Agrastų gatvė
51,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Šalčininkų rajono savivaldybė,Pabarės seniūnija,Mištūnai,Mištūnų kaimas,Aguonų gatvė
52,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Ukmergės rajono savivaldybė,Ukmergės miesto seniūnija,Ukmergė,Ukmergės miestas,Aguonų gatvė
53,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Vilniaus rajono savivaldybė,Nemėžio seniūnija,Skaidiškės,Skaidiškių kaimas,Aguonų gatvė
54,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Vilniaus rajono savivaldybė,Riešės seniūnija,Pikeliškės,Pikeliškių kaimas,Aguonų gatvė
55,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Vilniaus rajono savivaldybė,Riešės seniūnija,Skirgiškės,Skirgiškių kaimas,Aguonų gatvė
56,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Švenčionių rajono savivaldybė,Švenčionių seniūnija,Agurjanovka,Agurjanovkos viensėdis,
57,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Šalčininkų rajono savivaldybė,Dieveniškių seniūnija,Dieveniškės,Dieveniškių miestelis,Aido gatvė
58,LIETUVOS RESPUBLIKA,Vilniaus apskritis,Švenčionių rajono savivaldybė,Švenčionių seniūnija,Aidukai,Aidukų kaimas,
