"seniunijos pav.","gatves pavadinimas","miestas","pastatu numeriai","komentarai"
"Antakalnio seniūnija","Anapilio g.","Vilniaus miestas",,
"Antakalnio seniūnija","Antakalnio g.","Vilniaus miestas",,
"Antakalnio seniūnija","Aukštagirio g.","Vilniaus miestas",,
"Antakalnio seniūnija","Bistryčios g.","Vilniaus miestas",,
"Antakalnio seniūnija","Balžio g.","Vilniaus miestas",,
"Antakalnio seniūnija","K. Būgos g.","Vilniaus miestas",,
"Antakalnio seniūnija","Debesijos g.","Vilniaus miestas",,
"Antakalnio seniūnija","Elniakampio g.","Vilniaus miestas",,
"Antakalnio seniūnija","Ežerėlio g.","Vilniaus miestas",,
"Antakalnio seniūnija","Filaretų g. ","Vilniaus miestas","103-9999",
"Antakalnio seniūnija","Gaigalų g.","Vilniaus miestas",,
"Antakalnio seniūnija","Gailestingųjų Seserų g.","Vilniaus miestas",,
"Antakalnio seniūnija","Gaidžių g.","Vilniaus miestas",,
"Antakalnio seniūnija","Gelvadiškių g.","Vilniaus miestas",,
"Antakalnio seniūnija","B. M. Gimbutienės g.","Vilniaus miestas",,
"Antakalnio seniūnija","V. Grybo g.","Vilniaus miestas",,
"Antakalnio seniūnija","A. J. Greimo g.","Vilniaus miestas",,
"Antakalnio seniūnija","Gražinos g.","Vilniaus miestas",,
"Antakalnio seniūnija","Grybautojų g.","Vilniaus miestas",,
"Antakalnio seniūnija","Gvazdikų g.","Vilniaus miestas",,
"Antakalnio seniūnija","K. Jauniaus g.","Vilniaus miestas",,
"Antakalnio seniūnija","Jūratės g.","Vilniaus miestas",,
"Antakalnio seniūnija","Kairėnės g.","Vilniaus miestas",,
"Antakalnio seniūnija","Kairėnų g.","Vilniaus miestas",,
"Antakalnio seniūnija","Kalvos g. ","Vilniaus miestas",2,
"Antakalnio seniūnija","Kanklių g.","Vilniaus miestas",,
"Antakalnio seniūnija","Karačiūnų g.","Vilniaus miestas",,
"Antakalnio seniūnija","Karių Kapų g.","Vilniaus miestas",,
"Antakalnio seniūnija","Klinikų g.","Vilniaus miestas",,
"Antakalnio seniūnija","Kopūstų g.","Vilniaus miestas",,
"Antakalnio seniūnija","Kuosų g.","Vilniaus miestas",,
"Antakalnio seniūnija","Kiškių g.","Vilniaus miestas",,
"Antakalnio seniūnija","Kiškeliškių g.","Vilniaus miestas",,
"Antakalnio seniūnija","Lakštingalų g.","Vilniaus miestas",,
"Antakalnio seniūnija","Latežerio g.","Vilniaus miestas",,
"Antakalnio seniūnija","Lauksargio g.","Vilniaus miestas",,
"Antakalnio seniūnija","Lentupio g.","Vilniaus miestas",,
"Antakalnio seniūnija","Lingių g.","Vilniaus miestas",,
"Antakalnio seniūnija","Lizdeikos g.","Vilniaus miestas",,
"Antakalnio seniūnija","Maudyklos g.","Vilniaus miestas",,
"Antakalnio seniūnija","Mildos g.","Vilniaus miestas",,
"Antakalnio seniūnija","Mileišiškių g.","Vilniaus miestas",,
"Antakalnio seniūnija","Miškadvario g.","Vilniaus miestas",,
"Antakalnio seniūnija","Miškininkų g.","Vilniaus miestas",,
"Antakalnio seniūnija","Medžiotojų g.","Vilniaus miestas",,
"Antakalnio seniūnija","Meiriškių g","Vilniaus miestas",,
"Antakalnio seniūnija","Meškeriotojų g.","Vilniaus miestas",,
"Antakalnio seniūnija","Mėlynių g.","Vilniaus miestas",,
"Antakalnio seniūnija","O. Milašiaus g.","Vilniaus miestas",,
"Antakalnio seniūnija","Naujakurių g.","Vilniaus miestas",,
"Antakalnio seniūnija","Nemenčinės pl.","Vilniaus miestas",,
"Antakalnio seniūnija","Nugalėtojų g.","Vilniaus miestas",,
"Antakalnio seniūnija","M. K. Oginskio g","Vilniaus miestas","2-6, 24",
"Antakalnio seniūnija","Olandų g. ","Vilniaus miestas",,
"Antakalnio seniūnija","M. K. Paco g.","Vilniaus miestas",,
"Antakalnio seniūnija","Pasakų g.","Vilniaus miestas",,
"Antakalnio seniūnija","Pavasario g.","Vilniaus miestas",,
