9-ojo Forto gatvė 25A, Kauno miestas, Kauno miesto savivaldybė
9-ojo Forto gatvė 15, Kauno miestas, Kauno miesto savivaldybė
9-ojo Forto gatvė 25, Kauno miestas, Kauno miesto savivaldybė
9-ojo Forto gatvė 35, Kauno miestas, Kauno miesto savivaldybė
9-ojo Forto gatvė 32, Kauno miestas, Kauno miesto savivaldybė
9-ojo Forto gatvė 42, Kauno miestas, Kauno miesto savivaldybė
9-ojo Forto gatvė 50, Kauno miestas, Kauno miesto savivaldybė
9-ojo Forto gatvė 54, Kauno miestas, Kauno miesto savivaldybė
9-ojo Forto gatvė 56, Kauno miestas, Kauno miesto savivaldybė
9-ojo Forto gatvė 60, Kauno miestas, Kauno miesto savivaldybė
9-ojo Forto gatvė 70, Kauno miestas, Kauno miesto savivaldybė
9-ojo Forto gatvė 1, Kauno miestas, Kauno miesto savivaldybė
9-ojo Forto gatvė 2, Kauno miestas, Kauno miesto savivaldybė
9-ojo Forto gatvė 18, Kauno miestas, Kauno miesto savivaldybė
A. Baltūšio-Žvejo gatvė, Kauno miestas, Kauno miesto savivaldybė
A. Baranausko gatvė 1A, Kauno miestas, Kauno miesto savivaldybė
A. Baranausko gatvė 2B, Kauno miestas, Kauno miesto savivaldybė
A. Baranausko gatvė 5A, Kauno miestas, Kauno miesto savivaldybė
A. Baranausko gatvė 6A, Kauno miestas, Kauno miesto savivaldybė
A. Baranausko gatvė 19A, Kauno miestas, Kauno miesto savivaldybė
A. Baranausko gatvė 19B, Kauno miestas, Kauno miesto savivaldybė
A. Baranausko gatvė 35A, Kauno miestas, Kauno miesto savivaldybė
A. Baranausko gatvė 1, Kauno miestas, Kauno miesto savivaldybė
A. Baranausko gatvė 15, Kauno miestas, Kauno miesto savivaldybė
A. Baranausko gatvė 19, Kauno miestas, Kauno miesto savivaldybė
A. Baranausko gatvė 27, Kauno miestas, Kauno miesto savivaldybė
A. Baranausko gatvė 31, Kauno miestas, Kauno miesto savivaldybė
A. Baranausko gatvė 35, Kauno miestas, Kauno miesto savivaldybė
A. Baranausko gatvė 2, Kauno miestas, Kauno miesto savivaldybė
A. Baranausko gatvė 12, Kauno miestas, Kauno miesto savivaldybė
A. Baranausko gatvė 18, Kauno miestas, Kauno miesto savivaldybė
A. Baranausko gatvė 22, Kauno miestas, Kauno miesto savivaldybė
A. Baranausko gatvė 28, Kauno miestas, Kauno miesto savivaldybė
A. Baranausko gatvė 32, Kauno miestas, Kauno miesto savivaldybė
A. Baranausko gatvė 21, Kauno miestas, Kauno miesto savivaldybė
A. Baranausko gatvė 25, Kauno miestas, Kauno miesto savivaldybė
A. Baranausko gatvė 10, Kauno miestas, Kauno miesto savivaldybė
A. Fromo-Gužučio gatvė 4A, Kauno miestas, Kauno miesto savivaldybė
A. Fromo-Gužučio gatvė 13A, Kauno miestas, Kauno miesto savivaldybė
A. Fromo-Gužučio gatvė 25A, Kauno miestas, Kauno miesto savivaldybė
A. Fromo-Gužučio gatvė 3, Kauno miestas, Kauno miesto savivaldybė
A. Fromo-Gužučio gatvė 27, Kauno miestas, Kauno miesto savivaldybė
A. Fromo-Gužučio gatvė 2, Kauno miestas, Kauno miesto savivaldybė
A. Fromo-Gužučio gatvė 8, Kauno miestas, Kauno miesto savivaldybė
A. Fromo-Gužučio gatvė 14, Kauno miestas, Kauno miesto savivaldybė
A. Fromo-Gužučio gatvė 18, Kauno miestas, Kauno miesto savivaldybė
A. Fromo-Gužučio gatvė 28, Kauno miestas, Kauno miesto savivaldybė
A. Fromo-Gužučio gatvė 32, Kauno miestas, Kauno miesto savivaldybė
A. Fromo-Gužučio gatvė, Kauno miestas, Kauno miesto savivaldybė
A. Gustaičio gatvė 1, Kauno miestas, Kauno miesto savivaldybė
A. Gustaičio gatvė 11, Kauno miestas, Kauno miesto savivaldybė
A. Gustaičio gatvė 15, Kauno miestas, Kauno miesto savivaldybė
A. Gustaičio gatvė 17, Kauno miestas, Kauno miesto savivaldybė
A. Gustaičio gatvė 4, Kauno miestas, Kauno miesto savivaldybė
A. Gustaičio gatvė 6, Kauno miestas, Kauno miesto savivaldybė
A. Gustaičio gatvė, Kauno miestas, Kauno miesto savivaldybė
A. J. Greimo gatvė 34, Kauno miestas, Kauno miesto savivaldybė
A. J. Greimo gatvė, Kauno miestas, Kauno miesto savivaldybė
A. Jakšto gatvė 4A, Kauno miestas, Kauno miesto savivaldybė
A. Jakšto gatvė 1, Kauno miestas, Kauno miesto savivaldybė
A. Jakšto gatvė 7, Kauno miestas, Kauno miesto savivaldybė
A. Jakšto gatvė 4, Kauno miestas, Kauno miesto savivaldybė
A. Jakšto gatvė 8, Kauno miestas, Kauno miesto savivaldybė
A. Jakšto gatvė 16, Kauno miestas, Kauno miesto savivaldybė
A. Jakšto gatvė 18, Kauno miestas, Kauno miesto savivaldybė
A. Jakšto gatvė, Kauno miestas, Kauno miesto savivaldybė
A. Jasaičio gatvė 15A, Kauno miestas, Kauno miesto savivaldybė
A. Jasaičio gatvė 16A, Kauno miestas, Kauno miesto savivaldybė
A. Jasaičio gatvė 23A, Kauno miestas, Kauno miesto savivaldybė
A. Jasaičio gatvė 1, Kauno miestas, Kauno miesto savivaldybė
A. Jasaičio gatvė 9, Kauno miestas, Kauno miesto savivaldybė
A. Jasaičio gatvė 13, Kauno miestas, Kauno miesto savivaldybė
A. Jasaičio gatvė 27, Kauno miestas, Kauno miesto savivaldybė
A. Jasaičio gatvė 8, Kauno miestas, Kauno miesto savivaldybė
A. Jasaičio gatvė 16, Kauno miestas, Kauno miesto savivaldybė
A. Jasaičio gatvė 20, Kauno miestas, Kauno miesto savivaldybė
A. Jasaičio gatvė, Kauno miestas, Kauno miesto savivaldybė
A. Juozapavičiaus prospektas 7A, Kauno miestas, Kauno miesto savivaldybė
A. Juozapavičiaus prospektas 7D, Kauno miestas, Kauno miesto savivaldybė
A. Juozapavičiaus prospektas 7F, Kauno miestas, Kauno miesto savivaldybė
A. Juozapavičiaus prospektas 7K, Kauno miestas, Kauno miesto savivaldybė
A. Juozapavičiaus prospektas 7N, Kauno miestas, Kauno miesto savivaldybė
A. Juozapavičiaus prospektas 7R, Kauno miestas, Kauno miesto savivaldybė
A. Juozapavičiaus prospektas 10A, Kauno miestas, Kauno miesto savivaldybė
A. Juozapavičiaus prospektas 15A, Kauno miestas, Kauno miesto savivaldybė
A. Juozapavičiaus prospektas 15C, Kauno miestas, Kauno miesto savivaldybė
A. Juozapavičiaus prospektas 15D, Kauno miestas, Kauno miesto savivaldybė
A. Juozapavičiaus prospektas 15E, Kauno miestas, Kauno miesto savivaldybė
A. Juozapavičiaus prospektas 15F, Kauno miestas, Kauno miesto savivaldybė
A. Juozapavičiaus prospektas 15G, Kauno miestas, Kauno miesto savivaldybė
A. Juozapavičiaus prospektas 15K, Kauno miestas, Kauno miesto savivaldybė
A. Juozapavičiaus prospektas 17A, Kauno miestas, Kauno miesto savivaldybė
A. Juozapavičiaus prospektas 17B, Kauno miestas, Kauno miesto savivaldybė
A. Juozapavičiaus prospektas 19A, Kauno miestas, Kauno miesto savivaldybė
A. Juozapavičiaus prospektas 21A, Kauno miestas, Kauno miesto savivaldybė
A. Juozapavičiaus prospektas 21B, Kauno miestas, Kauno miesto savivaldybė
A. Juozapavičiaus prospektas 21E, Kauno miestas, Kauno miesto savivaldybė
A. Juozapavičiaus prospektas 23A, Kauno miestas, Kauno miesto savivaldybė
A. Juozapavičiaus prospektas 23E, Kauno miestas, Kauno miesto savivaldybė
A. Juozapavičiaus prospektas 25A, Kauno miestas, Kauno miesto savivaldybė
A. Juozapavičiaus prospektas 25B, Kauno miestas, Kauno miesto savivaldybė
A. Juozapavičiaus prospektas 25C, Kauno miestas, Kauno miesto savivaldybė
A. Juozapavičiaus prospektas 25D, Kauno miestas, Kauno miesto savivaldybė
A. Juozapavičiaus prospektas 25E, Kauno miestas, Kauno miesto savivaldybė
A. Juozapavičiaus prospektas 25F, Kauno miestas, Kauno miesto savivaldybė
A. Juozapavičiaus prospektas 25G, Kauno miestas, Kauno miesto savivaldybė
A. Juozapavičiaus prospektas 25H, Kauno miestas, Kauno miesto savivaldybė
A. Juozapavičiaus prospektas 25K, Kauno miestas, Kauno miesto savivaldybė
A. Juozapavičiaus prospektas 25M, Kauno miestas, Kauno miesto savivaldybė
A. Juozapavičiaus prospektas 1, Kauno miestas, Kauno miesto savivaldybė
A. Juozapavičiaus prospektas 3, Kauno miestas, Kauno miesto savivaldybė
A. Juozapavičiaus prospektas 7, Kauno miestas, Kauno miesto savivaldybė
A. Juozapavičiaus prospektas 25, Kauno miestas, Kauno miesto savivaldybė
A. Juozapavičiaus prospektas 2, Kauno miestas, Kauno miesto savivaldybė
A. Juozapavičiaus prospektas 8, Kauno miestas, Kauno miesto savivaldybė
A. Juozapavičiaus prospektas 16, Kauno miestas, Kauno miesto savivaldybė
A. Juozapavičiaus prospektas 20, Kauno miestas, Kauno miesto savivaldybė
A. Juozapavičiaus prospektas 26, Kauno miestas, Kauno miesto savivaldybė
A. Juozapavičiaus prospektas 71, Kauno miestas, Kauno miesto savivaldybė
A. Juozapavičiaus prospektas 82, Kauno miestas, Kauno miesto savivaldybė
A. Juozapavičiaus prospektas 51, Kauno miestas, Kauno miesto savivaldybė
A. Juozapavičiaus prospektas 69, Kauno miestas, Kauno miesto savivaldybė
A. Juozapavičiaus prospektas 49, Kauno miestas, Kauno miesto savivaldybė
A. Juozapavičiaus prospektas 72, Kauno miestas, Kauno miesto savivaldybė
A. Kačanausko gatvė 8A, Kauno miestas, Kauno miesto savivaldybė
A. Kačanausko gatvė 11A, Kauno miestas, Kauno miesto savivaldybė
A. Kačanausko gatvė 11B, Kauno miestas, Kauno miesto savivaldybė
A. Kačanausko gatvė 11, Kauno miestas, Kauno miesto savivaldybė
A. Kačanausko gatvė 15, Kauno miestas, Kauno miesto savivaldybė
A. Kačanausko gatvė 21, Kauno miestas, Kauno miesto savivaldybė
A. Kačanausko gatvė 2, Kauno miestas, Kauno miesto savivaldybė
A. Kačanausko gatvė 18, Kauno miestas, Kauno miesto savivaldybė
A. Kačanausko gatvė 22, Kauno miestas, Kauno miesto savivaldybė
A. Kačanausko gatvė 26, Kauno miestas, Kauno miesto savivaldybė
A. Kačanausko gatvė, Kauno miestas, Kauno miesto savivaldybė
A. Kriščiukaičio gatvė 3A, Kauno miestas, Kauno miesto savivaldybė
A. Kriščiukaičio gatvė 15A, Kauno miestas, Kauno miesto savivaldybė
A. Kriščiukaičio gatvė 23A, Kauno miestas, Kauno miesto savivaldybė
A. Kriščiukaičio gatvė 1, Kauno miestas, Kauno miesto savivaldybė
A. Kriščiukaičio gatvė 7, Kauno miestas, Kauno miesto savivaldybė
A. Kriščiukaičio gatvė 13, Kauno miestas, Kauno miesto savivaldybė
A. Kriščiukaičio gatvė 55, Kauno miestas, Kauno miesto savivaldybė
A. Kriščiukaičio gatvė 59, Kauno miestas, Kauno miesto savivaldybė
A. Kriščiukaičio gatvė 63, Kauno miestas, Kauno miesto savivaldybė
A. Kriščiukaičio gatvė 6, Kauno miestas, Kauno miesto savivaldybė
A. Kriščiukaičio gatvė 14, Kauno miestas, Kauno miesto savivaldybė
A. Kriščiukaičio gatvė 20, Kauno miestas, Kauno miesto savivaldybė
A. Kriščiukaičio gatvė 24, Kauno miestas, Kauno miesto savivaldybė
A. Kriščiukaičio gatvė 28, Kauno miestas, Kauno miesto savivaldybė
A. Kriščiukaičio gatvė 36, Kauno miestas, Kauno miesto savivaldybė
A. Kriščiukaičio gatvė 40, Kauno miestas, Kauno miesto savivaldybė
A. Kriščiukaičio gatvė 44, Kauno miestas, Kauno miesto savivaldybė
A. Kriščiukaičio gatvė 48, Kauno miestas, Kauno miesto savivaldybė
A. Kriščiukaičio gatvė 54, Kauno miestas, Kauno miesto savivaldybė
A. Kriščiukaičio gatvė 64, Kauno miestas, Kauno miesto savivaldybė
A. Kriščiukaičio gatvė 21, Kauno miestas, Kauno miesto savivaldybė
A. Kriščiukaičio gatvė 2, Kauno miestas, Kauno miesto savivaldybė
A. Kriščiukaičio gatvė 19, Kauno miestas, Kauno miesto savivaldybė
A. Mackevičiaus gatvė 8A, Kauno miestas, Kauno miesto savivaldybė
A. Mackevičiaus gatvė 19A, Kauno miestas, Kauno miesto savivaldybė
A. Mackevičiaus gatvė 30A, Kauno miestas, Kauno miesto savivaldybė
A. Mackevičiaus gatvė 32A, Kauno miestas, Kauno miesto savivaldybė
A. Mackevičiaus gatvė 34A, Kauno miestas, Kauno miesto savivaldybė
A. Mackevičiaus gatvė 3, Kauno miestas, Kauno miesto savivaldybė
A. Mackevičiaus gatvė 7, Kauno miestas, Kauno miesto savivaldybė
A. Mackevičiaus gatvė 11, Kauno miestas, Kauno miesto savivaldybė
A. Mackevičiaus gatvė 25, Kauno miestas, Kauno miesto savivaldybė
A. Mackevičiaus gatvė 4, Kauno miestas, Kauno miesto savivaldybė
A. Mackevičiaus gatvė 8, Kauno miestas, Kauno miesto savivaldybė
A. Mackevičiaus gatvė 14, Kauno miestas, Kauno miesto savivaldybė
A. Mackevičiaus gatvė 22, Kauno miestas, Kauno miesto savivaldybė
A. Mackevičiaus gatvė 28, Kauno miestas, Kauno miesto savivaldybė
A. Mackevičiaus gatvė 32, Kauno miestas, Kauno miesto savivaldybė
A. Mackevičiaus gatvė 38, Kauno miestas, Kauno miesto savivaldybė
A. Mackevičiaus gatvė 40, Kauno miestas, Kauno miesto savivaldybė
A. Mackevičiaus gatvė 52A, Kauno miestas, Kauno miesto savivaldybė
A. Mackevičiaus gatvė 54A, Kauno miestas, Kauno miesto savivaldybė
A. Mackevičiaus gatvė 58A, Kauno miestas, Kauno miesto savivaldybė
A. Mackevičiaus gatvė 58B, Kauno miestas, Kauno miesto savivaldybė
A. Mackevičiaus gatvė 60A, Kauno miestas, Kauno miesto savivaldybė
A. Mackevičiaus gatvė 66A, Kauno miestas, Kauno miesto savivaldybė
A. Mackevičiaus gatvė 78A, Kauno miestas, Kauno miesto savivaldybė
A. Mackevičiaus gatvė 82A, Kauno miestas, Kauno miesto savivaldybė
A. Mackevičiaus gatvė 92A, Kauno miestas, Kauno miesto savivaldybė
A. Mackevičiaus gatvė 92B, Kauno miestas, Kauno miesto savivaldybė
A. Mackevičiaus gatvė 42, Kauno miestas, Kauno miesto savivaldybė
A. Mackevičiaus gatvė 50, Kauno miestas, Kauno miesto savivaldybė
A. Mackevičiaus gatvė 54, Kauno miestas, Kauno miesto savivaldybė
A. Mackevičiaus gatvė 62, Kauno miestas, Kauno miesto savivaldybė
A. Mackevičiaus gatvė 66, Kauno miestas, Kauno miesto savivaldybė
A. Mackevičiaus gatvė 94, Kauno miestas, Kauno miesto savivaldybė
A. Mackevičiaus gatvė 98, Kauno miestas, Kauno miesto savivaldybė
A. Mackevičiaus gatvė 122, Kauno miestas, Kauno miesto savivaldybė
A. Mackevičiaus gatvė 128, Kauno miestas, Kauno miesto savivaldybė
A. Mackevičiaus gatvė 130, Kauno miestas, Kauno miesto savivaldybė
A. Mackevičiaus gatvė 29A, Kauno miestas, Kauno miesto savivaldybė
A. Mackevičiaus gatvė 51A, Kauno miestas, Kauno miesto savivaldybė
A. Mackevičiaus gatvė 73A, Kauno miestas, Kauno miesto savivaldybė
A. Mackevičiaus gatvė 81A, Kauno miestas, Kauno miesto savivaldybė
A. Mackevičiaus gatvė 87B, Kauno miestas, Kauno miesto savivaldybė
A. Mackevičiaus gatvė 27, Kauno miestas, Kauno miesto savivaldybė
A. Mackevičiaus gatvė 33, Kauno miestas, Kauno miesto savivaldybė
A. Mackevičiaus gatvė 41, Kauno miestas, Kauno miesto savivaldybė
A. Mackevičiaus gatvė 93, Kauno miestas, Kauno miesto savivaldybė
A. Mackevičiaus gatvė 97, Kauno miestas, Kauno miesto savivaldybė
A. Mackevičiaus gatvė 101, Kauno miestas, Kauno miesto savivaldybė
A. Mackevičiaus gatvė 115, Kauno miestas, Kauno miesto savivaldybė
A. Mackevičiaus gatvė 121, Kauno miestas, Kauno miesto savivaldybė
A. Mackevičiaus gatvė 123, Kauno miestas, Kauno miesto savivaldybė
A. Mackevičiaus gatvė 1, Kauno miestas, Kauno miesto savivaldybė
A. Mackevičiaus gatvė 2, Kauno miestas, Kauno miesto savivaldybė
A. Mapu gatvė 4A, Kauno miestas, Kauno miesto savivaldybė
A. Mapu gatvė 7C, Kauno miestas, Kauno miesto savivaldybė
A. Mapu gatvė 13A, Kauno miestas, Kauno miesto savivaldybė
A. Mapu gatvė 3, Kauno miestas, Kauno miesto savivaldybė
A. Mapu gatvė 15, Kauno miestas, Kauno miesto savivaldybė
A. Mapu gatvė 2, Kauno miestas, Kauno miesto savivaldybė
A. Mapu gatvė 8, Kauno miestas, Kauno miesto savivaldybė
A. Mapu gatvė 12, Kauno miestas, Kauno miesto savivaldybė
A. Mapu gatvė 18, Kauno miestas, Kauno miesto savivaldybė
A. Mapu gatvė 20, Kauno miestas, Kauno miesto savivaldybė
A. Mapu gatvė, Kauno miestas, Kauno miesto savivaldybė
A. Mickevičiaus gatvė 8A, Kauno miestas, Kauno miesto savivaldybė
A. Mickevičiaus gatvė 9P, Kauno miestas, Kauno miesto savivaldybė
A. Mickevičiaus gatvė 17A, Kauno miestas, Kauno miesto savivaldybė
A. Mickevičiaus gatvė 18A, Kauno miestas, Kauno miesto savivaldybė
A. Mickevičiaus gatvė 27A, Kauno miestas, Kauno miesto savivaldybė
A. Mickevičiaus gatvė 27D, Kauno miestas, Kauno miesto savivaldybė
A. Mickevičiaus gatvė 32A, Kauno miestas, Kauno miesto savivaldybė
A. Mickevičiaus gatvė 33D, Kauno miestas, Kauno miesto savivaldybė
A. Mickevičiaus gatvė 36A, Kauno miestas, Kauno miesto savivaldybė
A. Mickevičiaus gatvė 37P, Kauno miestas, Kauno miesto savivaldybė
A. Mickevičiaus gatvė 38A, Kauno miestas, Kauno miesto savivaldybė
A. Mickevičiaus gatvė 40B, Kauno miestas, Kauno miesto savivaldybė
A. Mickevičiaus gatvė 42A, Kauno miestas, Kauno miesto savivaldybė
A. Mickevičiaus gatvė 43A, Kauno miestas, Kauno miesto savivaldybė
A. Mickevičiaus gatvė 44B, Kauno miestas, Kauno miesto savivaldybė
A. Mickevičiaus gatvė 52B, Kauno miestas, Kauno miesto savivaldybė
A. Mickevičiaus gatvė 5, Kauno miestas, Kauno miesto savivaldybė
A. Mickevičiaus gatvė 49, Kauno miestas, Kauno miesto savivaldybė
A. Mickevičiaus gatvė 2, Kauno miestas, Kauno miesto savivaldybė
A. Mickevičiaus gatvė 8, Kauno miestas, Kauno miesto savivaldybė
A. Mickevičiaus gatvė 14, Kauno miestas, Kauno miesto savivaldybė
A. Mickevičiaus gatvė 18, Kauno miestas, Kauno miesto savivaldybė
A. Mickevičiaus gatvė 22, Kauno miestas, Kauno miesto savivaldybė
A. Mickevičiaus gatvė 28, Kauno miestas, Kauno miesto savivaldybė
A. Mickevičiaus gatvė 30, Kauno miestas, Kauno miesto savivaldybė
A. Mickevičiaus gatvė 34, Kauno miestas, Kauno miesto savivaldybė
A. Mickevičiaus gatvė 36, Kauno miestas, Kauno miesto savivaldybė
A. Mickevičiaus gatvė 40, Kauno miestas, Kauno miesto savivaldybė
A. Mickevičiaus gatvė 42, Kauno miestas, Kauno miesto savivaldybė
A. Mickevičiaus gatvė 46, Kauno miestas, Kauno miesto savivaldybė
A. Mickevičiaus gatvė 54, Kauno miestas, Kauno miesto savivaldybė
A. Mickevičiaus gatvė 1, Kauno miestas, Kauno miesto savivaldybė
A. Mickevičiaus gatvė 21, Kauno miestas, Kauno miesto savivaldybė
A. Mickevičiaus gatvė 23, Kauno miestas, Kauno miesto savivaldybė
A. Povilaičio gatvė, Kauno miestas, Kauno miesto savivaldybė
A. Purėno gatvė 4A, Kauno miestas, Kauno miesto savivaldybė
A. Purėno gatvė 14A, Kauno miestas, Kauno miesto savivaldybė
A. Purėno gatvė 5, Kauno miestas, Kauno miesto savivaldybė
A. Purėno gatvė 13, Kauno miestas, Kauno miesto savivaldybė
A. Purėno gatvė 21, Kauno miestas, Kauno miesto savivaldybė
A. Purėno gatvė 4, Kauno miestas, Kauno miesto savivaldybė
A. Purėno gatvė 8, Kauno miestas, Kauno miesto savivaldybė
A. Purėno gatvė 12, Kauno miestas, Kauno miesto savivaldybė
A. Purėno gatvė 20, Kauno miestas, Kauno miesto savivaldybė
A. Purėno gatvė 2, Kauno miestas, Kauno miesto savivaldybė
A. Purėno gatvė 1, Kauno miestas, Kauno miesto savivaldybė
A. Ramanausko-Vanago gatvė 3A, Kauno miestas, Kauno miesto savivaldybė
