"Seniūnijos pav.","Gatvės pavadinimas","Pastatų numeriai","Komentarai"
"Antakalnio","Anapilio g.",,
"Antakalnio","Antakalnio g.",,
"Antakalnio","Aukštagirio g.",,
"Antakalnio","Bistryčios g.",,
"Antakalnio","Balžio g.",,
"Antakalnio","K. Būgos g.",,
"Antakalnio","Debesijos g.",,
"Antakalnio","Elniakampio g.",,
"Antakalnio","Ežerėlio g.",,
"Antakalnio","Filaretų g. ","103-9999",
"Antakalnio","Gaigalų g.",,
"Antakalnio","Gailestingųjų Seserų g.",,
"Antakalnio","Gaidžių g.",,
"Antakalnio","Gelvadiškių g.",,
"Antakalnio","B. M. Gimbutienės g.",,
"Antakalnio","V. Grybo g.",,
"Antakalnio","A. J. Greimo g.",,
"Antakalnio","Gražinos g.",,
"Antakalnio","Grybautojų g.",,
"Antakalnio","Gvazdikų g.",,
"Antakalnio","K. Jauniaus g.",,
"Antakalnio","Jūratės g.",,
"Antakalnio","Kairėnės g.",,
"Antakalnio","Kairėnų g.",,
"Antakalnio","Kalvos g. ",2,
"Antakalnio","Kanklių g.",,
"Antakalnio","Karačiūnų g.",,
"Antakalnio","Karių Kapų g.",,
"Antakalnio","Klinikų g.",,
"Antakalnio","Kopūstų g.",,
"Antakalnio","Kuosų g.",,
"Antakalnio","Kiškių g.",,
"Antakalnio","Kiškeliškių g.",,
"Antakalnio","Lakštingalų g.",,
"Antakalnio","Latežerio g.",,
"Antakalnio","Lauksargio g.",,
"Antakalnio","Lentupio g.",,
"Antakalnio","Lingių g.",,
"Antakalnio","Lizdeikos g.",,
"Antakalnio","Maudyklos g.",,
"Antakalnio","Mildos g.",,
"Antakalnio","Mileišiškių g.",,
"Antakalnio","Miškadvario g.",,
"Antakalnio","Miškininkų g.",,
"Antakalnio","Medžiotojų g.",,
"Antakalnio","Meiriškių g",,
"Antakalnio","Meškeriotojų g.",,
"Antakalnio","Mėlynių g.",,
"Antakalnio","O. Milašiaus g.",,
"Antakalnio","Naujakurių g.",,
"Antakalnio","Nemenčinės pl.",,
"Antakalnio","Nugalėtojų g.",,
"Antakalnio","M. K. Oginskio g","2-6, 24",
"Antakalnio",". Olandų g. ",,
"Antakalnio","M. K. Paco g.",,
"Antakalnio","Pasakų g",,
"Antakalnio","Pavasario g.",,
"Antakalnio","Pečiukų g.",,
"Antakalnio","Pylimėlių g.",,
"Antakalnio","Plytinės g.",,
"Antakalnio","M. K. Paco g.",,
"Antakalnio","Pasakų g",,
"Antakalnio","Pavasario g.",,
"Antakalnio","Pečiukų g.",,
"Antakalnio","Pylimėlių g.",,
"Antakalnio","Plytinės g.",,
"Antakalnio","Pragiedrulių g.",,
