name,email,phone,address,other_info
Lietuvos Respublikos aplinkos ministerija,info@am.lt,+370 5 2663661,"Jakšto 4/9, Vilnius LT-01105",http://www.am.lt/
Lietuvos Respublikos energetikos ministerija,info@enmin.lt,+370 5 706 6 4715,"Gedimino pr. 38 / Vasario 16-osios g. 2, LT-01104, Vilnius.",http://www.enmin.lt/lt/
Lietuvos Respublikos finansų ministerija,finmin@finmin.lt,+370 5 239 0000,"Lukiškių g. 2, 01512 Vilnius, Lietuva",http://www.finmin.lt/
Lietuvos Respublikos krašto apsaugos ministerija,pilieciuaptarnavimas@kam.lt,+370 5 273 5673,"Totorių g. 25/3, LT-01121 Vilnius",http://www.kam.lt/
Lietuvos Respublikos kultūros ministerija,culture@lrkm.lt,"+370 5 2193400, +370 5 2193401","J. Basanavičiaus g. 5, LT-01118 Vilnius, Lietuva.","http://www.lrkm.lt/
http://www.facebook.com/pages/Lietuvos-Respublikos-Kultūros-Ministerija/200936741930"
Lietuvos Respublikos socialinės apsaugos ir darbo ministerija,post@socmin.lt,+370 5 2664 201,"A.Vivulskio g. 11, 03610 Vilnius",http://www.socmin.lt/
Lietuvos Respublikos susisiekimo ministerija,sumin@sumin.lt,+370 5 261 2363,"Gedimino pr. 17, 01505 Vilnius","http://www.sumin.lt/
http://www.facebook.com/susisiekimo.ministerija"
Lietuvos Respublikos sveikatos apsaugos ministerija,ministerija@sam.lt,8 800 66 004,"Vilniaus g. 33, LT-01506 Vilnius, Lietuva",http://www.sam.lt/
Lietuvos Respublikos teisingumo ministerija,rastine@tm.lt,+370 5 266 29 81,"Gedimino pr. 30/ A. Stulginskio g. 1, LT-01104 Vilnius",http://www.tm.lt/
Lietuvos Respublikos užsienio reikalų ministerija,urm@urm.lt,+370 5 236 2444,"J. Tumo-Vaižganto g. 2, LT-01511 Vilnius",http://www.urm.lt/
Lietuvos Respublikos vidaus reikalų ministerija,bendrasisd@vrm.lt,+370 5 271 7130,"Šventaragio g. 2, LT 01510 Vilnius",http://www.vrm.lt/
Lietuvos Respublikos švietimo ir mokslo ministerija,smmin@smm.lt,+370 5 219 1190,"A. Volano g. 2/7, LT-01516, Vilnius",http://www.smm.lt/
Lietuvos Respublikos ūkio ministerija,kanc@ukmin.lt,"8 706 64 845, 8 706 64 868","Gedimino pr. 38 / Vasario 16-osios g. 2, LT-01104 Vilnius",http://www.ukmin.lt/lt/
Lietuvos Respublikos žemės ūkio ministerija,zum@zum.lt,+370 5 239 11 11,"Gedimino pr.19 (Lelevelio g.6), LT-01103 Vilnius",http://www.zum.lt/
