name,email,phone,address,other_info
Akmenės rajono savivaldybė,info@akmene.lt,+370 42557144,"L. Petravičiaus aikštė 2, LT-85132 Naujoji Akmenė",
Alytaus miesto savivaldybė,alytus@ams.lt,+370 31555100,"Rotušės a. 4, Alytus, LT-62504 Alytus. Kabinetas 203",
Alytaus rajono savivaldybė,sekretore@arsa.lt,"+370 31573552, +370 61422000 (mobilus)","Pulko g. 21, LT-62133 Alytus",
Anykščių rajono savivaldybė,info@anyksciai.lt,+370 38158035,"J.Biliūno g. 23, LT-29111 Anykščiai",
Birštono savivaldybė,sekretore@birstonas.lt,"+370 31965551, +370 68654314 (mobilus)","Jaunimo g. 2, LT-59206, Birštonas. Kabinetas 207",
Biržų rajono savivaldybė,savivaldybe@birzai.lt,+370 45043141,"Vytauto g. 38, LT-41143, Biržai",
Druskininkų savivaldybė,info@druskininkai.lt,+370 31355355,"Vilniaus al. 18, LT-66119 Druskininkai",
Elektrėnų savivaldybė,administracija@elektrenai.lt,+370 52858000,"Elektrinės g. 8, LT-26108 Elektrėnai",
Ignalinos rajono savivaldybė,info@ignalina.lt,+370 38652442,"Laisvės a. 70, LT-30122 Ignalina",
Jonavos rajono savivaldybė,administracija@jonava.lt,+370 34961040,"Žeimių g. 13, LT-55158 Jonava. Kabinetas 216",
Joniškio rajono savivaldybė,savivaldybe@joniskis.lt,"+370 42669140, +370 68752219 (mobilus)","Livonijos g. 4, LT-84124, Joniškis",
Jurbarko rajono savivaldybė,info@jurbarkas.lt,+370 61640808 (mobilus),"Dariaus ir Girėno g. 96, LT-74187, Jurbarkas",
Kaišiadorių rajono savivaldybė,info@kaisiadorys.lt,+370 34620440,"Bažnyčios g.4, LT-4230, Kaišiadorys",
Kalvarijos savivaldybė,priimamasis@kalvarija.lt,+370 34321832,"Laisvės g. 2, LT-69214 Kalvarija",
Kauno miesto savivaldybė,info@kaunas.lt,+370 37426058,"Laisvės al. 96, LT-44251 Kaunas. Kabinetas 201",
Kauno rajono savivaldybė,info@krs.lt,"+370 37305500, +370 68604300 (mobilus)","Savanorių pr. 371, LT-49500 Kaunas. Kabinetas 302",
Kazlų Rūdos savivaldybė,priimamasis@kazluruda.lt,"+370 34396100, +370 61407684 (mobilus)","Atgimimo g. 12, LT-69443 Kazlų Rūda",
Kelmės rajono savivaldybė,info@kelme.lt,"+370 42769051, +370 69801089 (mobilus)","Vytauto Didžiojo g. 58, LT-86143 Kelmė",
Klaipėdos miesto savivaldybė,info@klaipeda.lt,+370 46410010,"Liepų g. 11, LT-91502, Klaipėda",
Klaipėdos rajono savivaldybė,savivaldybe@klaipedos-r.lt,"+370 46472025, +370 68602358 (mobilus)","Klaipėdos g. 2, Gargždai, LT-96130, Klaipėdos r.",
Kretingos rajono savivaldybė,savivaldybe@kretinga.lt,"+370 44551442, +370 61003932 (mobilus)","Savanorių g. 29 A, LT-97111, Kretinga. Kabinetas 201",
Kupiškio rajono savivaldybė,savivaldybe@kupiskis.lt,+370 45935501,"Vytauto g. 2, LT-40115, Kupiškis",
Kėdainių rajono savivaldybė,info@kedainiai.lt,+370 34769501,"J. Basanavičiaus g. 36, LT-57288 Kėdainiai",
Lazdijų rajono savivaldybė,info@lazdijai.lt,(8 318) 66 108,"Vilniaus g. 1, LT-67106, Lazdijai",
Marijampolės savivaldybė,administracija@marijampole.lt,"+370 34390003, +370 34390006, +370 69708206 (mobilus)","J. Basanavičiaus a. 1, LT-68307, Marijampolė. Kabinetas 206",
Mažeikių rajono savivaldybė,savivaldybe@mazeikiai.lt,+370 44398200,"Laisvės g. 8, LT-89223 Mažeikiai. Kabinetas 211",
Molėtų rajono savivaldybė,savivaldybe@moletai.lt,"+370 38354763, +370 64798763 (mobilus)","Vilniaus g. 44, LT-33140, Molėtai",
Neringos savivaldybė,meras@neringa.lt,+370 46952234,"Taikos g.2, LT-93121, Neringa",
Pagėgių savivaldybė,info@pagegiai.lt,+370 44157361,"Vilniaus g. 11, LT-99288, Pagėgiai",
Pakruojo rajono savivaldybė,pakruojis@lsa.lt,"+370 42169073, +370 68739150 (mobilus)","Kestučio g. 4, LT-83152, Pakruojis. Kabinetas 201",
Palangos miesto savivaldybė,administracija@palanga.lt,+370 46048705,"Vytauto g. 73, LT-00134, Palanga",
Panevėžio miesto savivaldybė,savivaldybe@panevezys.lt,+370 45501350,"Laisvės a. 20, LT-35200, Panevėžys",
Panevėžio rajono savivaldybė,savivaldybe@panrs.lt,"+370 45582943, +370 45582945, +370 69942732 (mobilus)","Vasario 16-osios g.27, LT-35185, Panevėžys",
Pasvalio rajono savivaldybė,rastine@pasvalys.lt,"+370 45154100, + 370 69835582 (mobilus)","Vytauto Didžiojo a. 1, LT-39043, Pasvalys. Kabinetas 218",
Plungės rajono savivaldybė,savivaldybe@plunge.lt,+370 44873111,"Vytauto g. 12,  LT-90123, Plungė. Kabinetas 312",
Prienų rajono savivaldybė,savivaldybe@prienai.lt,"+370 31961100, +370 63001041 (mobilus)","Laisvės aikštė 12, LT-59126, Prienai",
Radviliškio rajono savivaldybė,informacija@radviliskis.lt,"+370 42269001, +370 68669385 (mobilus)","Aušros a. 10, LT-82196, Radviliškis. Kabinetas 203",
Raseinių rajono savivaldybė,savivaldybe@raseiniai.lt,"+370 42879550, +370 69842181 (mobilus)","V. Kudirkos g. 5, LT-60150, Raseiniai",
Rietavo savivaldybė,savivaldybe@rietavas.lt,+370 44873201,"Laisvės a. 3, LT-90316, Rietavas",
Rokiškio rajono savivaldybė,savivaldybe@post.rokiskis.lt,"+370 45871233, +370 69881885 (mobilus)","Respublikos g. 94, LT-42136, Rokiškis. Kabinetas 303",
Skuodo rajono savivaldybė,savivaldybe@skuodas.lt,+370 44073933,"Vilniaus g. 13, LT-98112, Skuodas",
Tauragės rajono savivaldybė,savivald@taurage.lt,"+370 44662811, +370 61645050 (mobilus)","Respublikos g. 2, LT-72255 Tauragė. Kabinetas 201",
Telšių rajono savivaldybė,info@telsiai.lt,+370 44452233,"Žemaitės g. 14, LT-87133, Telšiai. Kabinetas 302",
Trakų rajono savivaldybė,info@trakai.lt,"+370 52855486, +370 68720338 (mobilus)","Vytauto g. 33, LT-21106, Trakai. Kabinetas 207",
Ukmergės rajono savivaldybė,savivaldybe@ukmerge.lt,+370 34060300,"Kęstučio a. 3, LT-20114, Ukmergė. Kabinetas 15",
Utenos rajono savivaldybė,info@utena.lt,+370 38961600,"Utenio a. 4, LT-28503, Utena. Kabinetas 208",
Varėnos rajono savivaldybė,info@varena.lt,"+370 31032000, +370 69777301 (mobilus)","Vytauto g. 12, LT-65184, Varėna. Kabinetas 36",
Vilkaviškio rajono savivaldybė,savivaldybe@vilkaviskis.lt,"+370 34260060, +370 69859839 (mobilus)","S. Nėries g.1, LT-70147, Vilkaviškis. Kabinetas 301",
Vilniaus miesto savivaldybė,,+370 52112889,"Konstitucijos pr. 3, LT-09601, Vilnius. Kabinetas 1902",
Vilniaus rajono savivaldybė,vrsa@vrsa.lt,+370 52750987,"Rinktinės g. 50, LT-09318, Vilnius",
Visagino savivaldybė,visaginas@visaginas.lt,+370 38631233,"Parko g. 14, LT-31139, Visaginas. Kabinetas 315",
Zarasų rajono savivaldybė,info@zarasai.lt,"+370 38537152, +370 61644044 (mobilus)","Sėlių a. 22, LT-32110, Zarasai. Kabinetas 211",
Šakių rajono savivaldybė,sakiai.sav@is.lt,"+370 34560750, +370 61604694 (mobilus)","Bažnyčios g. 4, LT-71120, Šakiai",
Šalčininkų rajono savivaldybė,priimamasis@salcininkai.lt,+370 38051332,"Vilniaus g. 49, LT-17116, Šalčininkai. Kabinetas 312",
Šiaulių miesto savivaldybė,info@siauliai.lt,+370 41596300,"Vasario 16-osios g. 62, LT-76295, Šiauliai",
Šiaulių rajono savivaldybė,prim@siauliai-r.sav.lt,"+370 41523888, +370 41596640","Vilniaus g. 263, LT-76337, Šiauliai. Kabinetas 301",
Šilalės rajono savivaldybė,info@silale.lt,"+370 44976110, +370 44976111, +370 68681592 (mobilus)","J. Basanavičiaus g. 2/1, LT-75136, Šilalė",
Šilutės rajono savivaldybė,silute@pamarys.lt,+370 44179230,"Dariaus ir Girėno g. 1, LT-99133, Šilutė. Kabinetas 230",
Širvintų rajono savivaldybė,savivaldybe@sirvintos.lt,"+370 38251233, +370 61062200 (mobilus)","Vilniaus g. 61, LT-19120, Širvintos. Kabinetas 202",
Švenčionių rajono savivaldybė,savivaldybe@svencionys.lt,+370 38766364,"Vilniaus g. 19, LT-18116, Švenčionys",
