name,email,phone,address,other_info
Akmenės rajono savivaldybė Akmenės seniūnija,akmenes.seniunija@akmene.lt,(8 425) 59 257,"Sodo g. 5, LT-85113, Akmenė",
Akmenės rajono savivaldybė Kruopių seniūnija,kruopiu.seniunija@akmene.lt,(8 425) 43 733,"Vytauto Didžiojo g. 4, LT-85213, Kruopių mstl.",
Akmenės rajono savivaldybė Naujosios Akmenės kaimiškoji seniūnija,kaimiskoji.seniunija@akmene.lt,(8 425) 56 171,"L.Petravičiaus a. 2, LT-85132, Naujoji Akmenė",
Akmenės rajono savivaldybė Naujosios Akmenės miesto seniūnija,seniunija@akmene.lt,(8 425) 40 630,"L.Petravičiaus a. 2, LT-85213, Naujoji Akmenė",
Akmenės rajono savivaldybė Papilės seniūnija,papiles.seniunija@akmene.lt,(8 425) 32 633,"J.Basanavičiaus g. 23, LT-85243, Papilės mstl.",
Akmenės rajono savivaldybė Ventos seniūnija,ventos.seniunija@akmene.lt,(8 425) 39 233,"Bausko g. 11, LT-85320, Venta",
Alytaus rajono savivaldybė Alovės seniūnija,aloves.seniunija@arsa.lt,(8 315) 43 272,"Alovės k., Alovės sen., LT-4590, Alytaus raj.",
Alytaus rajono savivaldybė Alytaus seniūnija,alytaus.seniunija@arsa.lt,(8 315) 70 804,"Užubalių g. 3, Miklusėnų k., Alytaus rajonas",
Alytaus rajono savivaldybė Butrimonių seniūnija,butrimoniu.seniunija@arsa.lt,(8 315) 61 486,"Vytauto a. 31, Butrimonių mstl., LT-4594, Alytaus raj.",
Alytaus rajono savivaldybė Daugų seniūnija,daugu.seniunija@arsa.lt,(8 315) 69 100,"S.Neries g. 3, Daugų m., Daugų sen., LT-4597, Alytaus raj.",
Alytaus rajono savivaldybė Krokialaukio seniūnija,krokialaukio.seniunija@arsa.lt,(8 315) 68 381,"Krokialaukio mstl., Krokialaukio sen., LT-4584, Alytaus raj.",
Alytaus rajono savivaldybė Miroslavo seniūnija,miroslavo.seniunija@arsa.lt,(8 315) 66 468,"Miroslavo mstl., Miroslavo sen., LT-4588, Alytaus raj.",
Alytaus rajono savivaldybė Nemunaičio seniūnija,nemunaicio.seniunija@arsa.lt,(8 315) 41 971,"Nemunaičio mstl., Nemunaičio sen., LT-4596, Alytaus raj.",
Alytaus rajono savivaldybė Pivašiūnų seniūnija,pivasiunu.seniunija@arsa.lt,(8 315) 29 368,"Pivašiūnų k., Pivašiūnų sen., LT-4595, Alytaus raj.",
Alytaus rajono savivaldybė Punios seniūnija,punios.seniunija@arsa.lt,(8 315) 68 640,"Punios mstl., Punios sen., LT-4591, Alytaus raj.",
Alytaus rajono savivaldybė Raitininkų seniūnija,raitininku.seniunija@arsa.lt,(8 315) 46 989,"Makniūnų k., Raitininkų sen., LT-4599, Alytaus raj.",
Alytaus rajono savivaldybė Simno seniūnija,simno.seniunija@arsa.lt,(8 315) 60 757,"Vytauto g. 26, Simno m., Simno sen., LT-4583, Alytaus raj.",
Anykščių rajono savivaldybė Andrioniškio seniūnija,,(8 381) 43 942,"Andrioniškis, LT-29332",
Anykščių rajono savivaldybė Anykščių seniūnija,,(8 381) 50 775,"J.Jablonskio g.32, LT-29111, Anykščiai",
Anykščių rajono savivaldybė Debeikių seniūnija,,(8 381) 43 183,"J.Biliūno g.44, LT-29371, Debeikiai",
Anykščių rajono savivaldybė Kavarsko seniūnija,,(8 381) 55 170,"Respublikos a. 8, LT-29259, Kavarskas",
Anykščių rajono savivaldybė Kurklių seniūnija,,(8 381) 49 275,"Kavarsko g. 7, LT-29234, Kurkliai",
Anykščių rajono savivaldybė Skiemonių seniūnija,,(8 381) 47 846,"Skiemonys, LT-29223",
Anykščių rajono savivaldybė Svėdasų seniūnija,,(8 381) 57 672,"Svėdasai, LT-29351",
Anykščių rajono savivaldybė Traupio seniūnija,,(8 381) 77 534,"Nevėžio g. 9, LT-29293, Traupis",
Anykščių rajono savivaldybė Troškūnų seniūnija,,(8 381) 56 389,"Vytauto g. 2, LT-29306, Troškūnai",
Anykščių rajono savivaldybė Viešintų seniūnija,,(8 381) 47 485,"Televizijos g. 4, LT-29321, Viešintos",
Birštono savivaldybė Birštono seniūnija,seniunas@birstonas.lt,(8 319) 45 185,"Jaunimo g. 2, LT-59206, Birštonas",
Biržų rajono savivaldybė Biržų miesto seniūnija,,(8 450) 31 596,"Rotušės g. 25, Biržai",
Biržų rajono savivaldybė Nemunėlio Radviliškio seniūnija,,(8 450) 55 189,"Biržų g. 5, Nemunėlio Radviliškio mstl., Biržų rajonas",
Biržų rajono savivaldybė Pabiržės seniūnija,,(8 450) 59 233,"Biržų g. 2, Pabiržės mstl., Biržų rajonas",
Biržų rajono savivaldybė Papilio seniūnija,,(8 450) 58 198,"Rožių g. 20, Papilio mstl., Biržų rajonas",
Biržų rajono savivaldybė Parovėjos seniūnija,,(8 450) 56 199,"Parovėjos k., Biržų rajonas",
Biržų rajono savivaldybė Pačeriaukštės seniūnija,,(8 450) 57 294,"Pačeriaukštės k., Biržų rajonas",
Biržų rajono savivaldybė Vabalninko seniūnija,,(8 450) 54 268,"Balio Sruogos g. 11A, Vabalninkas, Biržų rajonas",
Biržų rajono savivaldybė Širvėnos seniūnija,,(8 450) 31 880,"Rotušės g. 25, Biržai",
Druskininkų savivaldybė Leipalingio seniūnija,,8-313 43360,"Alėjos g. 3, Leipalingis, Leipalingio sen., 67279 Druskininkų savivaldybė",
Druskininkų savivaldybė Viečiūnų seniūnija,,8-313 47917,"Verpėjų g. 11, Viečiūnai, Viečiūnų sen., 66491 Druskininkų sav.",
Elektrėnų savivaldybė Beižionių seniūnija,,(8 528) 41 214,"Beižionių kaimas, LT - 21320",
Elektrėnų savivaldybė Elektrėnų seniūnija,,(8 528) 39 433,"Taikos 6B, Elektrėnai, LT - 26115",
Elektrėnų savivaldybė Gilučių seniūnija,,(8 346) 42 346,"Gilučių kaimas, LT - 26131",
Elektrėnų savivaldybė Kazokiškių seniūnija,,(8 528) 44 413,"Kazokiškių kaimas, LT - 21354",
Elektrėnų savivaldybė Kietaviškių seniūnija,,(8 346) 44 624,"Bažnyčios g. 24, Naujųjų Kietaviškių kaimas, LT - 21412",
Elektrėnų savivaldybė Pastrėvio seniūnija,,(8 528) 70 434,"Pastrėvio kaimas, LT - 21332",
Elektrėnų savivaldybė Semeliškių seniūnija,,"(8 528) 32 619, (8 528) 32 580","Trakų g. 41, Semeliškės, LT - 4064",
Elektrėnų savivaldybė Vievio seniūnija,,(8 528) 26 354,"Trakų g. 2, Vievis, LT - 21381",
Ignalinos rajono savivaldybė Ceikinių seniūnija,,(8-386) 4 78 10,LT-30185 Ceikiniai,
Ignalinos rajono savivaldybė Didžiasalio seniūnija,,(8-386) 5 95 87,"Salos g. 23, LT-30152 Didžiasalis",
Ignalinos rajono savivaldybė Dūkšto seniūnija,,(8-386) 5 12 82,"Aušros g. 3, LT-30260 Dūkštas",
Ignalinos rajono savivaldybė Ignalinos miesto seniūnija,,(8-386) 5 21 96,"Vasario 16-osios g. 8, LT-30115 Ignalina",
Ignalinos rajono savivaldybė Ignalinos seniūnija,,(8-386) 5 26 50,"Vasario 16-osios g. 8, LT-30115 Ignalina",
Ignalinos rajono savivaldybė Kazitiškio seniūnija,,(8-386) 4 17 46,LT-30245 Kazitiškis,
Ignalinos rajono savivaldybė Linkmenų seniūnija,,(8-386) 4 22 83,LT-30211 Linkmenys,
