full_name,institution_name,institution_id,institution_type,email,contact_info
Irena Degutienė,Naujamiesčio rinkimų apygarda Nr. 1,2,2,Irena.Degutiene@lrs.lt,"S. Moniuškos g. 27, LT-08115, Vilnius"
Mantas Adomėnas,Senamiesčio rinkimų apygarda Nr. 2,3,2,Mantas.Adomenas@lrs.lt,"Odminių g. 3, LR-01122, Vilnius"
Andrius Kubilius,Antakalnio rinkimų apygarda Nr. 3,4,2,Andrius.Kubilius@lrs.lt,"Antakalnio g. 36, LR-10305, Vilnius"
Vilija Aleknaitė Abramikienė,Žirmūnų rinkimų apygarda Nr. 4,5,2,ViAlek@lrs.lt,"Žirmūnų g. 143-122, LT-09128, Vilnius"
Raimondas Šukys,Fabijoniškių rinkimų apygarda Nr. 5,6,2,Raimondas.Sukys@lrs.lt,"S. Stanevičiaus g. 24-34, LT-07102, Vilnius"
Audronius Ažubalis,Šeškinės rinkimų apygarda Nr. 6,7,2,Audronius.Azubalis@lrs.lt,"Šeškinės g. 30, LT- 07157, Vilnius"
Paulius Saudargas,Justiniškių rinkimų apygarda Nr. 7,8,2,Paulius.Saudargas@lrs.lt,"Rygos g. 15, LT-05245, Vilnius"
Danutė Bekintienė,Karoliniškių rinkimų apygarda Nr. 8,9,2,Danute.Bekintiene@lrs.lt,"L. Asanavičiūtės g. 20/2-10, LT-04303, Vilnius"
Gintaras Steponavičius,Lazdynų rinkimų apygarda Nr. 9,10,2,Gintaras.Steponavicius@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Artūras Melianas,Naujosios Vilnios rinkimų apygarda Nr. 10,11,2,Arturas.Melianas@lrs.lt,"Pergalės g. 8-201, LT-11201, Vilnius"
Rimantas Jonas Dagys,Šilainių rinkimų apygarda Nr. 11,12,2,Rimantas.Dagys@lrs.lt,"Rasytės g. 7, LT-48130, Kaunas"
Rytas Kupčinskas,Aleksoto-Vilijampolės rinkimų apygarda Nr. 12,13,2,Rytas.Kupcinskas@lrs.lt,"E. Ožeškienės g. 9, LT-44253, Kaunas"
Vincė Vaidevutė Margevičienė,Centro rinkimų apygarda Nr. 13,14,2,Vince.Margeviciene@lrs.lt,"Laisvės al. 39, LT-44309, Kaunas"
Rasa Juknevičienė,Žaliakalnio rinkimų apygarda Nr. 14,15,2,rajukn@lrs.lt,"Savanorių pr. 214, LT-50194, Kaunas"
Arimantas Dumčius,Kalniečių rinkimų apygarda Nr. 15,16,2,Arimantas.Dumcius@lrs.lt,"P. Plechavičiaus g. 9A, LT-49304, Kaunas"
Kęstutis Glaveckas,Dainavos rinkimų apygarda Nr. 16,17,2,Kestutis.Glaveckas@lrs.lt,"Laisvės al. 97-1, LT-44311, Kaunas"
Kazys Starkevičius,Pramonės rinkimų apygarda Nr. 17,18,2,Kazys.Starkevicius@lrs.lt,"Kovo 11-osios g. 26, LT-51349, Kauno m."
Vida Marija Čigriejienė,Panemunės rinkimų apygarda Nr. 18,19,2,Vida.Cigriejiene@lrs.lt,"A. Juozapavičiaus pr. 72-123, LT-45217, Kaunas"
Vytautas Grubliauskas,Danės rinkimų apygarda Nr. 19,20,2,Vytautas.Grubliauskas@lrs.lt,"Liepų g. 49, LT- 92191, Klaipėda"
Evaldas Jurkevičius,Baltijos rinkimų apygarda Nr. 20,21,2,Evaldas.Jurkevicius@lrs.lt,"Taikos pr. 99, LT-94198, Klaipėda"
Eligijus Masiulis,Marių rinkimų apygarda Nr. 21,22,2,Eligijus.Masiulis@lrs.lt,"Liepų g. 49, LT-92191, Klaipėda"
Pranas Žeimys,Pajūrio rinkimų apygarda Nr. 22,23,2,Pranas.Zeimys@lrs.lt,"Vytauto g. 73, LT-00134, Palanga"
Edvardas Žakaris,Aušros rinkimų apygarda Nr. 23,24,2,Edvardas.Zakaris@lrs.lt,"Gedimino pr. 53, LT- 01109, Vilnius"
Andrius Šedžius,Saulės rinkimų apygarda Nr. 24,25,2,Andrius.Sedzius@lrs.lt,"Aušros al. 15, LT-76299, Šiauliai"
Valerijus Simulik,Dainų rinkimų apygarda Nr. 25,26,2,Valerijus.Simulik@lrs.lt,"Tilžės g. 148, LT-76351, Šiauliai"
Julius Dautartas,Nevėžio rinkimų apygarda Nr. 26,27,2,Julius.Dautartas@lrs.lt,"Vasario 16-osios g. 8, LT-35174, Panevėžys"
Arūnė Stirblytė,Vakarinė rinkimų apygarda Nr. 27,28,2,Arune.Stirblyte@lrs.lt,"Topolių al. 12-31, LT-35169, Panevėžys"
Petras Luomanas,Aukštaitijos rinkimų apygarda Nr. 28,29,2,Petras.Luomanas@lrs.lt,"Vasario 16-osios g. 27-226, LT-35185, Panevėžys"
Algis Rimas,Marijampolės rinkimų apygarda Nr. 29,30,2,Algis.Rimas@lrs.lt,"Vytauto g. 27, LT-68300, Marijampolė"
Zita Užlytė,Alytaus rinkimų apygarda Nr. 30,31,2,Zita.Uzlyte@lrs.lt,"Rotušės a. 4-216, LT-62504, Alytus"
Petras Gražulis,Gargždų rinkimų apygarda Nr. 31,32,2,Petras.Grazulis@lrs.lt,"Gedimino pr. 53, LT- 01109, Vilnius"
Audrius Endzinas,Šilutės-Pagėgių rinkimų apygarda Nr. 32,33,2,Audrius.Endzinas@lrs.lt,"Dariaus ir Girėno g. 1-102, LT-99132, Šilutė"
Zigmantas Balčytis,Šilalės-Šilutės rinkimų apygarda Nr. 33,34,2,info@balcytis.lt,"Gedimino pr. 53, LT- 01109, Vilnius"
