institution,elderate,city,street,numbers
Akmenės rajono savivaldybė,,,,
Akmenės rajono savivaldybė Akmenės seniūnija,,Adomiškių kaimas,,
Akmenės rajono savivaldybė Akmenės seniūnija,,Agluonų kaimas,Ateities gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Agluonų kaimas,Beržų gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Agluonų kaimas,Dvaro gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Agluonų kaimas,Kaštonų gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Agluonų kaimas,Kirgaus gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Agluonų kaimas,Parko gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Agluonų kaimas,V. Zubovo gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės I kaimas,Laukų gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės I kaimas,Plento gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės I kaimas,Smėlio gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės I kaimas,Užupio gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės II kaimas,Akacijų gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės II kaimas,Akmenupio gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės II kaimas,Alyvų gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės II kaimas,Beržų gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės II kaimas,Gluosnių gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės II kaimas,Klevų gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės II kaimas,Kriaušių gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės II kaimas,Laižuvos gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės II kaimas,Lazdynų gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės II kaimas,Liepų gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės II kaimas,Pušų gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės II kaimas,Slyvų gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės II kaimas,Tujų gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės II kaimas,Tuopų gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės II kaimas,Uosių gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės II kaimas,Vyšnių gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės II kaimas,Ąžuolų gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės III kaimas,Akmenų gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės III kaimas,Didžioji gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės III kaimas,Laukų gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės III kaimas,Lebelių gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės III kaimas,Mažoji gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės III kaimas,Pievų gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės III kaimas,Plento gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės III kaimas,Varveklių gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės miestas,Akmenupio gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės miestas,Algirdo gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės miestas,Bebrų gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės miestas,Bijūnų gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės miestas,Birutės gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės miestas,Bičių gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės miestas,Bokšto gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės miestas,Dabikinės gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės miestas,Dariaus ir Girėno gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės miestas,Draugystės gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės miestas,Gvazdikų gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės miestas,J. Janonio gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės miestas,Jazminų gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės miestas,Jurginų gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės miestas,K. Kasakausko gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės miestas,Kadagių gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės miestas,Kalno gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės miestas,Kamanų gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės miestas,Kapų gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės miestas,Kaštonų gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės miestas,Kiškių gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės miestas,Klykolių gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės miestas,Kęstučio gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės miestas,Laižuvos gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės miestas,Lakštingalų gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės miestas,Lapių gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės miestas,Lebelių gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės miestas,Liepto gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės miestas,Liepų gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės miestas,Melioratorių gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės miestas,Mindaugo gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės miestas,Našlaičių gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės miestas,P. Cvirkos gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės miestas,Pergalės gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės miestas,Puškino gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės miestas,Pušyno gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės miestas,Ramunių gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės miestas,Rožių gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės miestas,S. Daukanto gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės miestas,Slėnio gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės miestas,Sodo gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės miestas,Sporto gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės miestas,Stadiono gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės miestas,Stoties gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės miestas,Taikos gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės miestas,Tilto gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės miestas,Tulpių gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės miestas,Tupikų gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės miestas,Uždabikinės gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės miestas,Viekšnių gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės miestas,Vytauto gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės miestas,Žemaitės gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Akmenės miestas,Žibučių gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Dabikinėlės kaimas,Bokšto gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Dabikinėlės kaimas,Tilto gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Dabikinėlės kaimas,Ventos gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Dabikinės kaimas,Gluosnių gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Dabikinės kaimas,Liepų gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Dabikinės kaimas,Mokyklos gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Dabikinės kaimas,Paupio gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Dabikinės kaimas,Žvyrelės gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Gailaičių kaimas,Atošių gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Gailaičių kaimas,Bityno gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Gailaičių kaimas,Geltonės gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Gailaičių kaimas,Miško gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Gailaičių kaimas,Pienių gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Gailiškės kaimas,,
Akmenės rajono savivaldybė Akmenės seniūnija,,Gulbinų kaimas,Eglyno gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Gulbinų kaimas,Gėlių gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Gulbinų kaimas,Trumpoji gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Gulbinų kaimas,Tuopų gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Gulbinų kaimas,Užupio gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Gulbinų kaimas,Ąžuolų gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Ivanauskių kaimas,,
Akmenės rajono savivaldybė Akmenės seniūnija,,Jučių kaimas,Kaštonų gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Jučių kaimas,Laižuvos gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Jučių kaimas,Parko gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Jučių kaimas,Vadaksties gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Jučių kaimas,Žalgirio gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Kadagių kaimas,,
Akmenės rajono savivaldybė Akmenės seniūnija,,Kepurlaukių kaimas,,
Akmenės rajono savivaldybė Akmenės seniūnija,,Kesių kaimas,,
Akmenės rajono savivaldybė Akmenės seniūnija,,Klyšių kaimas,,
Akmenės rajono savivaldybė Akmenės seniūnija,,Lapkasių kaimas,,
Akmenės rajono savivaldybė Akmenės seniūnija,,Latvalių kaimas,,
Akmenės rajono savivaldybė Akmenės seniūnija,,Lebelių kaimas,,
Akmenės rajono savivaldybė Akmenės seniūnija,,Lygeikių kaimas,,
Akmenės rajono savivaldybė Akmenės seniūnija,,Mantartiškių kaimas,,
Akmenės rajono savivaldybė Akmenės seniūnija,,Mančelių kaimas,,
Akmenės rajono savivaldybė Akmenės seniūnija,,Matutiškių kaimas,,
Akmenės rajono savivaldybė Akmenės seniūnija,,Mažulių kaimas,,
Akmenės rajono savivaldybė Akmenės seniūnija,,Mikolaičių kaimas,,
Akmenės rajono savivaldybė Akmenės seniūnija,,Padvarėlių kaimas,Kalno gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Padvarėlių kaimas,Lakštingalų gatvė,
Akmenės rajono savivaldybė Akmenės seniūnija,,Padvarėlių kaimas,Liepų gatvė,
