institution,elderate,city,street,numbers
Alytaus miesto savivaldybė,,,,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,A. Baranausko gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,A. Matučio gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,A. Žmuidzinavičiaus gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Alovės gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Alyvų Tako 2 gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Alyvų Tako gatvė,"17- odd, 10- even, 1-8 odd, 9-15 odd, 13A"
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Alyvų gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Amatų gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Apynių gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Aukštakalnio gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Aukštoji gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Aušros gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Aviečių gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Bažnyčios gatvė,2-8 even
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Bijūnų gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Birutės gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Bitininkų gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Daugų gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Dzūkų gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Gamyklos gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Gardino gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Geležinkelio gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Gilių gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Girakalnio gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,J. Basanavičiaus gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,J. Matulaičio gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,J. Tumo-Vaižganto gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Jaunimo gatvė,"5-11 odd, 17- odd, 20-78 even, 2-18 even"
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Jazminų gatvė,"12- even, 2-10 even"
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Jotvingių gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Jurgiškių gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Kalvių gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Kauno gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Kaštonų gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Kepyklos gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Kernavės gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Kovo 11-osios gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Kranto gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Krikščionių Pagalbos gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Kurorto gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Kurpių gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Lankos gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Lazdijų gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Lelijų gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Liepų gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Ligoninės gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Likiškėlių gatvė,"76- even, 1- odd, 2-74 even"
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Liškiavos gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,M. K. Čiurlionio gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Maironio gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Malūnininkų gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Margio gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Medelyno gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Medkirčių gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Mėtų gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Naujosios gatvė,"4-42 even, 33-69 odd, 54-88 even"
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Nemuno gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Obelytės gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Parko gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Pažangos gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Perlojos gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Pilkaraiščio gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Pliažo gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Poilsio gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Pramonės gatvė,1- odd
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Pulko gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Punsko gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Puodžių gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Putinų gatvė,1-26 odd
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Pušyno gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Rato gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Revų gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Rotušės aikštė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Rugių gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Rūtų gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,S. Dariaus ir S. Girėno gatvė,"1- odd, 4- even, 2"
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Savanorių gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Seinų gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Seirijų gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Sig- natarų gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Simno gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Simno plentas,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Skardžio gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Smėlio gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Snaigių gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Sodų gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Sodžiaus gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Sporto gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Statybininkų gatvė,"2-48 even, 7-65 odd, 67- odd, 50- even"
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Stiklių gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Sudvajų gatvė,"1-17 odd, 2-8 even, 19- odd, 10- even"
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Suvalkų gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Sūkurio gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Tako I gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Tako II gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Tilto gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Topolių gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Tulpių gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Turistų gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Tvirtovės gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Ugniagesių gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Ulonų gatvė,"37-77 odd, 6-54 even"
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Upelio gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Užuolankos gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Užuovėjos gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,V. Krėvės gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,V. Kudirkos gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Vaidilučių gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Vakaro gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Vandens Tako gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Varnėnų gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Varėnos gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Viesulo gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Vilniaus gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Vilties gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Vingio gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Volungės gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Vytauto gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Vyšnių gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Zaidų gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Ąžuolų gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Šarūno gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Šienpjovių gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Šilelio gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Šilo gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Šviesos gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Žalgirio gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Žalioji gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Žemaitės gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Žiburio gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Žiedo gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Žilvičių gatvė,
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Žuvinto gatvė,"1-12 odd, 14- even"
Alytaus rinkimų apygarda Nr. 30,,Alytaus miestas,Žvejų gatvė,
Dzūkijos rinkimų apygarda Nr. 69,,Alytaus miestas,A. Jonyno gatvė,"1-17 odd, 19- odd, 4-38 even"
Dzūkijos rinkimų apygarda Nr. 69,,Alytaus miestas,A. Juozapavičiaus gatvė,
Dzūkijos rinkimų apygarda Nr. 69,,Alytaus miestas,Aerodromo gatvė,
Dzūkijos rinkimų apygarda Nr. 69,,Alytaus miestas,Artojų gatvė,
Dzūkijos rinkimų apygarda Nr. 69,,Alytaus miestas,Ateities gatvė,
Dzūkijos rinkimų apygarda Nr. 69,,Alytaus miestas,Audros gatvė,
Dzūkijos rinkimų apygarda Nr. 69,,Alytaus miestas,Aušrinės gatvė,
Dzūkijos rinkimų apygarda Nr. 69,,Alytaus miestas,Bakšių gatvė,
Dzūkijos rinkimų apygarda Nr. 69,,Alytaus miestas,Barboros Radvilaitės gatvė,
Dzūkijos rinkimų apygarda Nr. 69,,Alytaus miestas,Beržų gatvė,
Dzūkijos rinkimų apygarda Nr. 69,,Alytaus miestas,Birštono gatvė,
Dzūkijos rinkimų apygarda Nr. 69,,Alytaus miestas,Dailidžių gatvė,
Dzūkijos rinkimų apygarda Nr. 69,,Alytaus miestas,Dainavos gatvė,
Dzūkijos rinkimų apygarda Nr. 69,,Alytaus miestas,Darželio gatvė,
Dzūkijos rinkimų apygarda Nr. 69,,Alytaus miestas,Domantonių gatvė,
Dzūkijos rinkimų apygarda Nr. 69,,Alytaus miestas,Draugystės gatvė,
Dzūkijos rinkimų apygarda Nr. 69,,Alytaus miestas,Draustinio gatvė,
Dzūkijos rinkimų apygarda Nr. 69,,Alytaus miestas,Druskininkų gatvė,
Dzūkijos rinkimų apygarda Nr. 69,,Alytaus miestas,Eiguvos gatvė,
Dzūkijos rinkimų apygarda Nr. 69,,Alytaus miestas,Ežerėlio gatvė,
Dzūkijos rinkimų apygarda Nr. 69,,Alytaus miestas,Gabijos gatvė,
Dzūkijos rinkimų apygarda Nr. 69,,Alytaus miestas,Gedimino gatvė,
Dzūkijos rinkimų apygarda Nr. 69,,Alytaus miestas,Genių gatvė,
Dzūkijos rinkimų apygarda Nr. 69,,Alytaus miestas,Gintaro gatvė,
Dzūkijos rinkimų apygarda Nr. 69,,Alytaus miestas,Giraitės gatvė,
Dzūkijos rinkimų apygarda Nr. 69,,Alytaus miestas,Girininkų gatvė,
Dzūkijos rinkimų apygarda Nr. 69,,Alytaus miestas,Gluosnių gatvė,
Dzūkijos rinkimų apygarda Nr. 69,,Alytaus miestas,Goštauto gatvė,
Dzūkijos rinkimų apygarda Nr. 69,,Alytaus miestas,Gražinos gatvė,
