institution,elderate,city,street,numbers
Alytaus rajono savivaldybė,,,,
Alytaus rajono savivaldybė Alovės seniūnija,,Akalyčios kaimas,Aušros gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Akalyčios kaimas,Kalno gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Akalyčios kaimas,Žirgų gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Alovės kaimas,Alovėlės gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Alovės kaimas,Jaunimo gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Alovės kaimas,Kalno gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Alovės kaimas,Kranto gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Alovės kaimas,Mokyklos gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Alovės kaimas,Naujakurių gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Alovės kaimas,Parko gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Alovės kaimas,Paupio gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Alytaus kaimas,Alytaus gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Alytaus kaimas,Berželių gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Alytaus kaimas,Beržų gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Alytaus kaimas,Bityno gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Alytaus kaimas,Domantonių gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Alytaus kaimas,Draugystės gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Alytaus kaimas,Druskininkų gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Alytaus kaimas,Kauno gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Alytaus kaimas,Klevų gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Alytaus kaimas,Kriaušių gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Alytaus kaimas,Kūdros gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Alytaus kaimas,Lakštingalų gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Alytaus kaimas,Lankų gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Alytaus kaimas,Lauko gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Alytaus kaimas,Lelijų gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Alytaus kaimas,Miško 1-oji gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Alytaus kaimas,Miško 2-oji gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Alytaus kaimas,Nemuno gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Alytaus kaimas,Obelų gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Alytaus kaimas,Pakrantės gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Alytaus kaimas,Paparčio gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Alytaus kaimas,Pušyno gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Alytaus kaimas,Pušų gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Alytaus kaimas,Pylimo gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Alytaus kaimas,Ramybės gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Alytaus kaimas,Rožių gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Alytaus kaimas,Rūtų gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Alytaus kaimas,Sodininkų gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Alytaus kaimas,Sodų gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Alytaus kaimas,Takniškių gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Alytaus kaimas,Tujų gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Alytaus kaimas,Tulpių gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Alytaus kaimas,Tvenkinio gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Alytaus kaimas,Užuovėjos gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Alytaus kaimas,Volungės gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Alytaus kaimas,Vyturėlio gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Alytaus kaimas,Vyšnių gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Alytaus kaimas,Ąžuolo gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Alytaus kaimas,Šaltinėlio gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Bokštų kaimas,,
Alytaus rajono savivaldybė Alovės seniūnija,,Davainiškių kaimas,Daugų gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Davainiškių kaimas,Liepų gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Davainiškių kaimas,Užuolankos gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Dobrovolės kaimas,,
Alytaus rajono savivaldybė Alovės seniūnija,,Domantonių kaimas,Domantonių gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Domantonių kaimas,Ežerėlio gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Domantonių kaimas,Laukų gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Ilgų kaimas,,
Alytaus rajono savivaldybė Alovės seniūnija,,Janapolio kaimas,,
Alytaus rajono savivaldybė Alovės seniūnija,,Jurkionių kaimas,Alyvų gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Jurkionių kaimas,Aukštoji gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Jurkionių kaimas,Beržų gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Jurkionių kaimas,Draugystės gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Jurkionių kaimas,Gandrų gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Jurkionių kaimas,Jazminų gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Jurkionių kaimas,Jurginų gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Jurkionių kaimas,Kalniečių gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Jurkionių kaimas,Kalno gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Jurkionių kaimas,Kelmų gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Jurkionių kaimas,Kranto gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Jurkionių kaimas,Kreivoji gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Jurkionių kaimas,Kūdros gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Jurkionių kaimas,Lakštingalų gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Jurkionių kaimas,Lauko gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Jurkionių kaimas,Lelijų gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Jurkionių kaimas,Liepų gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Jurkionių kaimas,Pakrantės gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Jurkionių kaimas,Pavasario gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Jurkionių kaimas,Pelėdų gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Jurkionių kaimas,Punios gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Jurkionių kaimas,Pušyno gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Jurkionių kaimas,Ramunių gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Jurkionių kaimas,Ramybės gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Jurkionių kaimas,Saulės gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Jurkionių kaimas,Saulėtekio gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Jurkionių kaimas,Skardžio gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Jurkionių kaimas,Smėlio gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Jurkionių kaimas,Sodybos gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Jurkionių kaimas,Tiesioji gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Jurkionių kaimas,Vakarų gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Jurkionių kaimas,Varnėnų gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Jurkionių kaimas,Vasaros gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Jurkionių kaimas,Vingio gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Jurkionių kaimas,Vyšnių gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Jurkionių kaimas,Vėjo gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Jurkionių kaimas,Šlaito gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Jurkionių kaimas,Šviesioji gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Jurkionių kaimas,Žalioji gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Jurkionių kaimas,Žibuoklių gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Jurkionių kaimas,Žiedo gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Jurkionių kaimas,Žvejų gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Kaciolkų kaimas,,
Alytaus rajono savivaldybė Alovės seniūnija,,Kalesninkų kaimas,Domantonių gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Kalesninkų kaimas,Mokyklos gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Kalesninkų kaimas,Terpinių gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Kaniūkų kaimas,Agrastų gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Kaniūkų kaimas,Apynių gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Kaniūkų kaimas,Aronijos gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Kaniūkų kaimas,Aviečių gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Kaniūkų kaimas,Braškių gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Kaniūkų kaimas,Centrinė gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Kaniūkų kaimas,Dariaus ir Girėno gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Kaniūkų kaimas,Durpyno gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Kaniūkų kaimas,Kauno gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Kaniūkų kaimas,Lakštučių gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Kaniūkų kaimas,Naujakurių gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Kaniūkų kaimas,Pylimo gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Kaniūkų kaimas,Ramunių gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Kaniūkų kaimas,Saulėgrąžų gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Kaniūkų kaimas,Saulės gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Kaniūkų kaimas,Serbentų gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Kaniūkų kaimas,Svarainių gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Kaniūkų kaimas,Užuolankos gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Kaniūkų kaimas,Vilniaus gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Kaniūkų kaimas,Šaltalankių gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Kaniūkų kaimas,Žemuogių gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Kaniūkų kaimas,Žiedo gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Kaniūkų kaimas,Žvejų gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Klausiškių kaimas,Alyvų gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Klausiškių kaimas,Bebrų gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Klausiškių kaimas,Beržyno gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Klausiškių kaimas,Eglyno gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Klausiškių kaimas,Gėlių gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Klausiškių kaimas,Klevų gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Klausiškių kaimas,Lakštingalų gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Klausiškių kaimas,Lelijų gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Klausiškių kaimas,Miško gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Klausiškių kaimas,Pienių gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Klausiškių kaimas,Serbentų gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Klausiškių kaimas,Tvenkinių gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Klausiškių kaimas,Upelio gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Klausiškių kaimas,Varsos gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Klausiškių kaimas,Vilniaus gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Klausiškių kaimas,Šilo gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Kudariškių kaimas,,
Alytaus rajono savivaldybė Alovės seniūnija,,Kutiškių viensėdis,,
Alytaus rajono savivaldybė Alovės seniūnija,,Lelionių kaimas,Ežerėlio gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Lelionių kaimas,Kapų gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Lelionių kaimas,Mokyklos gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Lelionių kaimas,Takniškių gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Mančiūnų kaimas,Gilių gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Mančiūnų kaimas,Kauno gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Mančiūnų kaimas,Mančiūnų gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Mančiūnų kaimas,Ąžuolų gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Mikalavo kaimas,Ežerėlio gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Mikalavo kaimas,Mokyklos gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Muiželėnų kaimas,Beržų gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Muiželėnų kaimas,Centrinė gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Muiželėnų kaimas,Dariaus ir Girėno gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Muiželėnų kaimas,Genių gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Muiželėnų kaimas,Klevų gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Muiželėnų kaimas,Kreivoji gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Muiželėnų kaimas,Liepų gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Muiželėnų kaimas,Naujakurių gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Muiželėnų kaimas,Pušyno gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Muiželėnų kaimas,Pylimo gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Muiželėnų kaimas,Radastų gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Muiželėnų kaimas,Rožių gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Muiželėnų kaimas,Rūtų gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Muiželėnų kaimas,Sodų gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Muiželėnų kaimas,Tiesioji gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Muiželėnų kaimas,Topolių gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Muiželėnų kaimas,Tulpių gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Muiželėnų kaimas,Uosių gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Muiželėnų kaimas,Vyturių gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Muiželėnų kaimas,Zylių gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Muiželėnų kaimas,Ąžuolyno gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Muiželėnų kaimas,Šarkų gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Muiželėnų kaimas,Žibučių gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Obelaičių kaimas,,
Alytaus rajono savivaldybė Alovės seniūnija,,Pagurnių kaimas,,
Alytaus rajono savivaldybė Alovės seniūnija,,Plikionių kaimas,,
Alytaus rajono savivaldybė Alovės seniūnija,,Poteronių kaimas,Alovėlės gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Poteronių kaimas,Geležinkelio gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Poteronių kaimas,Kauno gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Poteronių kaimas,Paupio gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Poteronių kaimas,Vilniaus gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Skernės kaimas,,
Alytaus rajono savivaldybė Alovės seniūnija,,Skirgailių kaimas,,
Alytaus rajono savivaldybė Alovės seniūnija,,Slabadėlės kaimas,Geležinkelio gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Slabadėlės kaimas,Parko gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Slabadėlės kaimas,Pylimo gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Slabadėlės kaimas,Vilniaus gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Takniškių kaimas,,
Alytaus rajono savivaldybė Alovės seniūnija,,Terpinių kaimas,,
Alytaus rajono savivaldybė Alovės seniūnija,,Ulyškų kaimas,Alyvų gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Ulyškų kaimas,Berželių gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Ulyškų kaimas,Šaltinėlių gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Venciūnų kaimas,Alytaus gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Venciūnų kaimas,Alyvų gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Venciūnų kaimas,Bokštų gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Venciūnų kaimas,Domantonių gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Venciūnų kaimas,Draugystės gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Venciūnų kaimas,Jaunimo gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Venciūnų kaimas,Jazminų gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Venciūnų kaimas,Kaniūkų gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Venciūnų kaimas,Liepų gatvė,
Alytaus rajono savivaldybė Alovės seniūnija,,Venciūnų kaimas,Taikos gatvė,
