institution,elderate,city,street,numbers
Anykščių rajono savivaldybė,,,,
Anykščių rajono savivaldybė Andrioniškio seniūnija,,Andrioniškio kaimas,,
Anykščių rajono savivaldybė Andrioniškio seniūnija,,Andrioniškio miestelis,,
Anykščių rajono savivaldybė Andrioniškio seniūnija,,Arlovietės viensėdis,,
Anykščių rajono savivaldybė Andrioniškio seniūnija,,Beržoniškio kaimas,,
Anykščių rajono savivaldybė Andrioniškio seniūnija,,Butkiškio kaimas,,
Anykščių rajono savivaldybė Andrioniškio seniūnija,,Daugulių viensėdis,,
Anykščių rajono savivaldybė Andrioniškio seniūnija,,Duobulės viensėdis,,
Anykščių rajono savivaldybė Andrioniškio seniūnija,,Girelės viensėdis,,
Anykščių rajono savivaldybė Andrioniškio seniūnija,,Griežioniškių viensėdis,,
Anykščių rajono savivaldybė Andrioniškio seniūnija,,Griežionėlių kaimas,,
Anykščių rajono savivaldybė Andrioniškio seniūnija,,Gyvatynės kaimas,,
Anykščių rajono savivaldybė Andrioniškio seniūnija,,Krepšiagalio kaimas,,
Anykščių rajono savivaldybė Andrioniškio seniūnija,,Krivinskų kaimas,,
Anykščių rajono savivaldybė Andrioniškio seniūnija,,Latavos kaimas,,
Anykščių rajono savivaldybė Andrioniškio seniūnija,,Magylų kaimas,,
Anykščių rajono savivaldybė Andrioniškio seniūnija,,Maželių kaimas,,
Anykščių rajono savivaldybė Andrioniškio seniūnija,,Mendrupio kaimas,,
Anykščių rajono savivaldybė Andrioniškio seniūnija,,Migdoliškio kaimas,,
Anykščių rajono savivaldybė Andrioniškio seniūnija,,Mikierių kaimas,,
Anykščių rajono savivaldybė Andrioniškio seniūnija,,Paandrioniškio kaimas,,
Anykščių rajono savivaldybė Andrioniškio seniūnija,,Padvarninkų kaimas,,
Anykščių rajono savivaldybė Andrioniškio seniūnija,,Pagriežių kaimas,,
Anykščių rajono savivaldybė Andrioniškio seniūnija,,Pasmodų kaimas,,
Anykščių rajono savivaldybė Andrioniškio seniūnija,,Pašvenčio viensėdis,,
Anykščių rajono savivaldybė Andrioniškio seniūnija,,Peniankų kaimas,,
Anykščių rajono savivaldybė Andrioniškio seniūnija,,Pirmaliūnio kaimas,,
Anykščių rajono savivaldybė Andrioniškio seniūnija,,Plikiškių kaimas,,
Anykščių rajono savivaldybė Andrioniškio seniūnija,,Puroniškio viensėdis,,
Anykščių rajono savivaldybė Andrioniškio seniūnija,,Ramaškonių kaimas,,
Anykščių rajono savivaldybė Andrioniškio seniūnija,,Sabaliūnų kaimas,,
Anykščių rajono savivaldybė Andrioniškio seniūnija,,Sedeikių kaimas,,
Anykščių rajono savivaldybė Andrioniškio seniūnija,,Svilelių kaimas,,
Anykščių rajono savivaldybė Andrioniškio seniūnija,,Vertimų kaimas,,
Anykščių rajono savivaldybė Andrioniškio seniūnija,,Zabelynės kaimas,,
Anykščių rajono savivaldybė Andrioniškio seniūnija,,Šilagalių kaimas,,
Anykščių rajono savivaldybė Anykščių seniūnija,,Abromiškio kaimas,,
Anykščių rajono savivaldybė Anykščių seniūnija,,Adampolio viensėdis,,
Anykščių rajono savivaldybė Anykščių seniūnija,,Aleininkų kaimas,,
Anykščių rajono savivaldybė Anykščių seniūnija,,Anykščių miestas,A. Baranausko aikštė,
Anykščių rajono savivaldybė Anykščių seniūnija,,Anykščių miestas,A. Vienuolio gatvė,
Anykščių rajono savivaldybė Anykščių seniūnija,,Anykščių miestas,Alyvų gatvė,
Anykščių rajono savivaldybė Anykščių seniūnija,,Anykščių miestas,Anykštos gatvė,
Anykščių rajono savivaldybė Anykščių seniūnija,,Anykščių miestas,Aušros aikštė,
Anykščių rajono savivaldybė Anykščių seniūnija,,Anykščių miestas,Ažupiečių gatvė,
Anykščių rajono savivaldybė Anykščių seniūnija,,Anykščių miestas,B. Karazijos gatvė,
Anykščių rajono savivaldybė Anykščių seniūnija,,Anykščių miestas,Beržų gatvė,
Anykščių rajono savivaldybė Anykščių seniūnija,,Anykščių miestas,Birutės gatvė,
Anykščių rajono savivaldybė Anykščių seniūnija,,Anykščių miestas,Bičionių gatvė,
Anykščių rajono savivaldybė Anykščių seniūnija,,Anykščių miestas,Bokšto gatvė,
Anykščių rajono savivaldybė Anykščių seniūnija,,Anykščių miestas,Dariaus ir Girėno gatvė,
Anykščių rajono savivaldybė Anykščių seniūnija,,Anykščių miestas,Draugystės gatvė,
Anykščių rajono savivaldybė Anykščių seniūnija,,Anykščių miestas,Dvaro gatvė,
Anykščių rajono savivaldybė Anykščių seniūnija,,Anykščių miestas,Eglėkalnio gatvė,
Anykščių rajono savivaldybė Anykščių seniūnija,,Anykščių miestas,Elmos gatvė,
