institution,elderate,city,street,numbers
Birštono savivaldybė,,,,
Birštono savivaldybė Birštono seniūnija,,Babronių kaimas,,
Birštono savivaldybė Birštono seniūnija,,Balvoniškių kaimas,,
Birštono savivaldybė Birštono seniūnija,,Birštono viensėdis,Birštono gatvė,
Birštono savivaldybė Birštono seniūnija,,Birštono viensėdis,Gojaus gatvė,
Birštono savivaldybė Birštono seniūnija,,Birštono viensėdis,Jaunimo gatvė,
Birštono savivaldybė Birštono seniūnija,,Birštono viensėdis,Jazminų gatvė,
Birštono savivaldybė Birštono seniūnija,,Birštono viensėdis,Kimbirų gatvė,
Birštono savivaldybė Birštono seniūnija,,Birštono viensėdis,Kranto gatvė,
Birštono savivaldybė Birštono seniūnija,,Birštono viensėdis,Nemuno gatvė,
Birštono savivaldybė Birštono seniūnija,,Birštono viensėdis,Pavasario gatvė,
Birštono savivaldybė Birštono seniūnija,,Birštono viensėdis,Petražolių gatvė,
Birštono savivaldybė Birštono seniūnija,,Birštono viensėdis,Pušų gatvė,
Birštono savivaldybė Birštono seniūnija,,Birštono viensėdis,Verknės gatvė,
Birštono savivaldybė Birštono seniūnija,,Bučiūnų kaimas,,
Birštono savivaldybė Birštono seniūnija,,Būdų kaimas,,
Birštono savivaldybė Birštono seniūnija,,Dimšiškių kaimas,,
Birštono savivaldybė Birštono seniūnija,,Dirvoniškių kaimas,,
Birštono savivaldybė Birštono seniūnija,,Dzingeliškių kaimas,,
Birštono savivaldybė Birštono seniūnija,,Geležūnų kaimas,,
Birštono savivaldybė Birštono seniūnija,,Gojaus kaimas,,
Birštono savivaldybė Birštono seniūnija,,Grikapėdžio kaimas,,
Birštono savivaldybė Birštono seniūnija,,Gudakalnio kaimas,,
Birštono savivaldybė Birštono seniūnija,,Ivoniškių kaimas,,
Birštono savivaldybė Birštono seniūnija,,Jackonių kaimas,,
Birštono savivaldybė Birštono seniūnija,,Jundeliškių kaimas,,
Birštono savivaldybė Birštono seniūnija,,Kamiliavos kaimas,,
Birštono savivaldybė Birštono seniūnija,,Kernuvių kaimas,,
Birštono savivaldybė Birštono seniūnija,,Kimbirų kaimas,,
Birštono savivaldybė Birštono seniūnija,,Lengveniškių kaimas,,
Birštono savivaldybė Birštono seniūnija,,Martinonių kaimas,,
Birštono savivaldybė Birštono seniūnija,,Matiešionių kaimas,,
Birštono savivaldybė Birštono seniūnija,,Medeikonių kaimas,,
Birštono savivaldybė Birštono seniūnija,,Moibelių kaimas,,
Birštono savivaldybė Birštono seniūnija,,Mūliškių kaimas,,
Birštono savivaldybė Birštono seniūnija,,Naudžiūnų kaimas,,
Birštono savivaldybė Birštono seniūnija,,Nemajūnų kaimas,,
Birštono savivaldybė Birštono seniūnija,,Nečiūnų kaimas,,
Birštono savivaldybė Birštono seniūnija,,Padvariškių kaimas,,
Birštono savivaldybė Birštono seniūnija,,Panartiškių kaimas,,
Birštono savivaldybė Birštono seniūnija,,Panemunio kaimas,,
Birštono savivaldybė Birštono seniūnija,,Paverknių kaimas,,
Birštono savivaldybė Birštono seniūnija,,Pelėšiškių kaimas,,
Birštono savivaldybė Birštono seniūnija,,Puzonių kaimas,,
Birštono savivaldybė Birštono seniūnija,,Siponių kaimas,,
Birštono savivaldybė Birštono seniūnija,,Tauliukų kaimas,,
Birštono savivaldybė Birštono seniūnija,,Trakelių kaimas,,
Birštono savivaldybė Birštono seniūnija,,Vaitiškių kaimas,,
Birštono savivaldybė Birštono seniūnija,,Vanagų kaimas,,
Birštono savivaldybė Birštono seniūnija,,Voseliūnų kaimas,,
Birštono savivaldybė Birštono seniūnija,,Zajų kaimas,,
Birštono savivaldybė Birštono seniūnija,,Šaltinėnų kaimas,,
Birštono savivaldybė Birštono seniūnija,,Šilaičių kaimas,,
Birštono savivaldybė Birštono seniūnija,,Šilėnų kaimas,,
Birštono savivaldybė Birštono seniūnija,,Širvinių kaimas,,
Birštono savivaldybė Birštono seniūnija,,Škėvonių kaimas,,
Birštono savivaldybė Birštono seniūnija,,Šūtupio kaimas,,
Birštono savivaldybė Birštono seniūnija,,Žemaitkiemio kaimas,,
Birštono savivaldybė Birštono seniūnija,,Žvirgždėnų kaimas,,
Prienų rinkimų apygarda Nr. 67,,,Birštono vs.,
Prienų rinkimų apygarda Nr. 67,,Babronių kaimas,,
Prienų rinkimų apygarda Nr. 67,,Balvoniškių kaimas,,
Prienų rinkimų apygarda Nr. 67,,Birštono miestas,Agrastų gatvė,
Prienų rinkimų apygarda Nr. 67,,Birštono miestas,Algirdo gatvė,
Prienų rinkimų apygarda Nr. 67,,Birštono miestas,Alyvų gatvė,
Prienų rinkimų apygarda Nr. 67,,Birštono miestas,Astrų gatvė,
Prienų rinkimų apygarda Nr. 67,,Birštono miestas,Aviečių gatvė,
Prienų rinkimų apygarda Nr. 67,,Birštono miestas,B. Sruogos gatvė,
Prienų rinkimų apygarda Nr. 67,,Birštono miestas,Birutės gatvė,
Prienų rinkimų apygarda Nr. 67,,Birštono miestas,Druskupio gatvė,
Prienų rinkimų apygarda Nr. 67,,Birštono miestas,Ievų gatvė,
Prienų rinkimų apygarda Nr. 67,,Birštono miestas,J. Basanavičiaus aikštė,
Prienų rinkimų apygarda Nr. 67,,Birštono miestas,Jaunimo gatvė,
Prienų rinkimų apygarda Nr. 67,,Birštono miestas,Karalienės Barboros alėja,
Prienų rinkimų apygarda Nr. 67,,Birštono miestas,Kranto gatvė,
Prienų rinkimų apygarda Nr. 67,,Birštono miestas,Kriaušių gatvė,
Prienų rinkimų apygarda Nr. 67,,Birštono miestas,Kunigaikštienės Elenos gatvė,
Prienų rinkimų apygarda Nr. 67,,Birštono miestas,Kęstučio gatvė,
Prienų rinkimų apygarda Nr. 67,,Birštono miestas,Lakštingalų gatvė,
Prienų rinkimų apygarda Nr. 67,,Birštono miestas,Lelijų gatvė,
Prienų rinkimų apygarda Nr. 67,,Birštono miestas,Mokyklos gatvė,
Prienų rinkimų apygarda Nr. 67,,Birštono miestas,Muziejaus gatvė,
Prienų rinkimų apygarda Nr. 67,,Birštono miestas,N. Silvanavičiaus gatvė,
Prienų rinkimų apygarda Nr. 67,,Birštono miestas,Nemuno gatvė,
