institution,elderate,city,street,numbers
Biržų rajono savivaldybė,,,,
Biržų rajono savivaldybė Biržų miesto seniūnija,,Biržų miestas,A. Sabaliausko gatvė,
Biržų rajono savivaldybė Biržų miesto seniūnija,,Biržų miestas,Agaro gatvė,
Biržų rajono savivaldybė Biržų miesto seniūnija,,Biržų miestas,Agluonos gatvė,
Biržų rajono savivaldybė Biržų miesto seniūnija,,Biržų miestas,Ajerų gatvė,
Biržų rajono savivaldybė Biržų miesto seniūnija,,Biržų miestas,Alyvų gatvė,
Biržų rajono savivaldybė Biržų miesto seniūnija,,Biržų miestas,Alyvų takas,
Biržų rajono savivaldybė Biržų miesto seniūnija,,Biržų miestas,Apaščios Kranto gatvė,
Biržų rajono savivaldybė Biržų miesto seniūnija,,Biržų miestas,Astravo gatvė,
Biržų rajono savivaldybė Biržų miesto seniūnija,,Biržų miestas,Ateities gatvė,
Biržų rajono savivaldybė Biržų miesto seniūnija,,Biržų miestas,Atgimimo gatvė,
Biržų rajono savivaldybė Biržų miesto seniūnija,,Biržų miestas,Aukštaičių gatvė,
Biržų rajono savivaldybė Biržų miesto seniūnija,,Biržų miestas,Aukštoji gatvė,
Biržų rajono savivaldybė Biržų miesto seniūnija,,Biržų miestas,Aušros gatvė,
Biržų rajono savivaldybė Biržų miesto seniūnija,,Biržų miestas,Aviečių gatvė,
Biržų rajono savivaldybė Biržų miesto seniūnija,,Biržų miestas,B. Dauguviečio gatvė,
Biržų rajono savivaldybė Biržų miesto seniūnija,,Biržų miestas,Beržų gatvė,
Biržų rajono savivaldybė Biržų miesto seniūnija,,Biržų miestas,Birutės gatvė,
Biržų rajono savivaldybė Biržų miesto seniūnija,,Biržų miestas,Bitės gatvė,
Biržų rajono savivaldybė Biržų miesto seniūnija,,Biržų miestas,Bičiulių takas,
Biržų rajono savivaldybė Biržų miesto seniūnija,,Biržų miestas,Bičių gatvė,
Biržų rajono savivaldybė Biržų miesto seniūnija,,Biržų miestas,D. Poškos gatvė,
Biržų rajono savivaldybė Biržų miesto seniūnija,,Biržų miestas,Draugystės gatvė,
Biržų rajono savivaldybė Biržų miesto seniūnija,,Biržų miestas,Dvaro gatvė,
Biržų rajono savivaldybė Biržų miesto seniūnija,,Biržų miestas,Eglyno gatvė,
Biržų rajono savivaldybė Biržų miesto seniūnija,,Biržų miestas,Ežero gatvė,
Biržų rajono savivaldybė Biržų miesto seniūnija,,Biržų miestas,Gaisrininkų gatvė,
Biržų rajono savivaldybė Biržų miesto seniūnija,,Biržų miestas,Gedimino gatvė,
Biržų rajono savivaldybė Biržų miesto seniūnija,,Biržų miestas,Geležinkelio gatvė,
