institution,elderate,city,street,numbers
Druskininkų savivaldybė,,,,
Druskininkų savivaldybė Leipalingio seniūnija,,Baltosios Ančios HES kaimas,,
Druskininkų savivaldybė Leipalingio seniūnija,,Barzdžiūnų kaimas,Uosių gatvė,
Druskininkų savivaldybė Leipalingio seniūnija,,Butelionių kaimas,,
Druskininkų savivaldybė Leipalingio seniūnija,,Cimaniūnų kaimas,Smilgų gatvė,
Druskininkų savivaldybė Leipalingio seniūnija,,Cimaniūnų kaimas,Sodybų gatvė,
Druskininkų savivaldybė Leipalingio seniūnija,,Cimaniūnų kaimas,Žemuogių gatvė,
Druskininkų savivaldybė Leipalingio seniūnija,,Degėsių kaimas,,
Druskininkų savivaldybė Leipalingio seniūnija,,Didžiasalio kaimas,Alyvų gatvė,
Druskininkų savivaldybė Leipalingio seniūnija,,Didžiasalio kaimas,Gervinio gatvė,
Druskininkų savivaldybė Leipalingio seniūnija,,Didžiasalio kaimas,Ąžuolų gatvė,
Druskininkų savivaldybė Leipalingio seniūnija,,Diržų kaimas,Lipliūnų gatvė,
Druskininkų savivaldybė Leipalingio seniūnija,,Diržų kaimas,Nemuno kelias,
Druskininkų savivaldybė Leipalingio seniūnija,,Drapalių kaimas,,
Druskininkų savivaldybė Leipalingio seniūnija,,Druskininkėlių kaimas,,
Druskininkų savivaldybė Leipalingio seniūnija,,Dubraviškių kaimas,,
Druskininkų savivaldybė Leipalingio seniūnija,,Dulgininkų kaimas,,
Druskininkų savivaldybė Leipalingio seniūnija,,Gailiūnų kaimas,Gailiūnų gatvė,
Druskininkų savivaldybė Leipalingio seniūnija,,Gailiūnų kaimas,Girios gatvė,
Druskininkų savivaldybė Leipalingio seniūnija,,Gailiūnų kaimas,Kaštonų gatvė,
Druskininkų savivaldybė Leipalingio seniūnija,,Gailiūnų kaimas,Trūkiškio gatvė,
Druskininkų savivaldybė Leipalingio seniūnija,,Gailiūnų kaimas,Vyšnyno gatvė,
Druskininkų savivaldybė Leipalingio seniūnija,,Gerdašių kaimas,Gerdašių gatvė,
Druskininkų savivaldybė Leipalingio seniūnija,,Gerdašių kaimas,Krivonių gatvė,
Druskininkų savivaldybė Leipalingio seniūnija,,Gerdašių kaimas,Rasos gatvė,
Druskininkų savivaldybė Leipalingio seniūnija,,Guobinių kaimas,Guobų gatvė,
Druskininkų savivaldybė Leipalingio seniūnija,,Guobinių kaimas,Pamiškio gatvė,
Druskininkų savivaldybė Leipalingio seniūnija,,Guobinių kaimas,Skuisto gatvė,
Druskininkų savivaldybė Leipalingio seniūnija,,Guronių kaimas,,
Druskininkų savivaldybė Leipalingio seniūnija,,Janavo kaimas,,
Druskininkų savivaldybė Leipalingio seniūnija,,Jovaišių kaimas,Piliakalnio gatvė,
Druskininkų savivaldybė Leipalingio seniūnija,,Jovaišių kaimas,Seiros gatvė,
Druskininkų savivaldybė Leipalingio seniūnija,,Kamorūnų kaimas,Piliakalnio gatvė,
Druskininkų savivaldybė Leipalingio seniūnija,,Kamorūnų kaimas,Vilkės gatvė,
Druskininkų savivaldybė Leipalingio seniūnija,,Karalinavo viensėdis,,
Druskininkų savivaldybė Leipalingio seniūnija,,Kaziulių kaimas,Leipalingio plentas,
Druskininkų savivaldybė Leipalingio seniūnija,,Krivonių kaimas,,
Druskininkų savivaldybė Leipalingio seniūnija,,Leipalingio kaimas,,
Druskininkų savivaldybė Leipalingio seniūnija,,Leipalingio miestelis,Alėjos gatvė,
Druskininkų savivaldybė Leipalingio seniūnija,,Leipalingio miestelis,Avirio gatvė,
Druskininkų savivaldybė Leipalingio seniūnija,,Leipalingio miestelis,Bilso gatvė,
Druskininkų savivaldybė Leipalingio seniūnija,,Leipalingio miestelis,Druskininkų gatvė,
Druskininkų savivaldybė Leipalingio seniūnija,,Leipalingio miestelis,Dzūkų gatvė,
Druskininkų savivaldybė Leipalingio seniūnija,,Leipalingio miestelis,Kapų gatvė,
Druskininkų savivaldybė Leipalingio seniūnija,,Leipalingio miestelis,Kaštonų gatvė,
Druskininkų savivaldybė Leipalingio seniūnija,,Leipalingio miestelis,Liepų gatvė,
Druskininkų savivaldybė Leipalingio seniūnija,,Leipalingio miestelis,Melioratorių gatvė,
Druskininkų savivaldybė Leipalingio seniūnija,,Leipalingio miestelis,Merkinės gatvė,
Druskininkų savivaldybė Leipalingio seniūnija,,Leipalingio miestelis,Miško gatvė,
Druskininkų savivaldybė Leipalingio seniūnija,,Leipalingio miestelis,Mokyklos gatvė,
Druskininkų savivaldybė Leipalingio seniūnija,,Leipalingio miestelis,Naujoji gatvė,
Druskininkų savivaldybė Leipalingio seniūnija,,Leipalingio miestelis,Nemuno gatvė,
Druskininkų savivaldybė Leipalingio seniūnija,,Leipalingio miestelis,Parko gatvė,
Druskininkų savivaldybė Leipalingio seniūnija,,Leipalingio miestelis,Pievų gatvė,
Druskininkų savivaldybė Leipalingio seniūnija,,Leipalingio miestelis,Seirijų gatvė,
Druskininkų savivaldybė Leipalingio seniūnija,,Leipalingio miestelis,Sodų gatvė,
Druskininkų savivaldybė Leipalingio seniūnija,,Leipalingio miestelis,Veisiejų gatvė,
Druskininkų savivaldybė Leipalingio seniūnija,,Leipalingio miestelis,Vytauto gatvė,
Druskininkų savivaldybė Leipalingio seniūnija,,Liepiškių kaimas,,
Druskininkų savivaldybė Leipalingio seniūnija,,Lipliūnų kaimas,Lipliūnų gatvė,
Druskininkų savivaldybė Leipalingio seniūnija,,Lipliūnų kaimas,Nemuno kelias,
Druskininkų savivaldybė Leipalingio seniūnija,,Margų kaimas,,
Druskininkų savivaldybė Leipalingio seniūnija,,Mažonių kaimas,,
Druskininkų savivaldybė Leipalingio seniūnija,,Miciūnų kaimas,,
Druskininkų savivaldybė Leipalingio seniūnija,,Mikalinos kaimas,,
Druskininkų savivaldybė Leipalingio seniūnija,,Mizarų kaimas,Nemuno kelias,
Druskininkų savivaldybė Leipalingio seniūnija,,Mizarų kaimas,Smėlio gatvė,
Druskininkų savivaldybė Leipalingio seniūnija,,Panemunės kaimas,,
Druskininkų savivaldybė Leipalingio seniūnija,,Paseirės kaimas,,
Druskininkų savivaldybė Leipalingio seniūnija,,Radvilonių kaimas,,
Druskininkų savivaldybė Leipalingio seniūnija,,Raudonikių kaimas,,
Druskininkų savivaldybė Leipalingio seniūnija,,Ricielių kaimas,Ežerėlio gatvė,
Druskininkų savivaldybė Leipalingio seniūnija,,Ricielių kaimas,Ilgoji gatvė,
Druskininkų savivaldybė Leipalingio seniūnija,,Ricielių kaimas,Liepiškių gatvė,
Druskininkų savivaldybė Leipalingio seniūnija,,Ricielių kaimas,Senoji gatvė,
Druskininkų savivaldybė Leipalingio seniūnija,,Ringėliškės kaimas,,
Druskininkų savivaldybė Leipalingio seniūnija,,Saltoniškės kaimas,,
