institution,elderate,city,street,numbers
Elektrėnų savivaldybė,,,,
Elektrėnų savivaldybė Beižionių seniūnija,,Antakalnio viensėdis,,
Elektrėnų savivaldybė Beižionių seniūnija,,Anupriškių kaimas,,
Elektrėnų savivaldybė Beižionių seniūnija,,Balandiškių kaimas,,
Elektrėnų savivaldybė Beižionių seniūnija,,Barboriškių kaimas,,
Elektrėnų savivaldybė Beižionių seniūnija,,Beižionių kaimas,Aušros gatvė,
Elektrėnų savivaldybė Beižionių seniūnija,,Beižionių kaimas,Bažnyčios gatvė,
Elektrėnų savivaldybė Beižionių seniūnija,,Beižionių kaimas,Beržų gatvė,
Elektrėnų savivaldybė Beižionių seniūnija,,Beižionių kaimas,Šviesos gatvė,
Elektrėnų savivaldybė Beižionių seniūnija,,Bendrių kaimas,,
Elektrėnų savivaldybė Beižionių seniūnija,,Būriškių kaimas,,
Elektrėnų savivaldybė Beižionių seniūnija,,Ciruliškių kaimas,,
Elektrėnų savivaldybė Beižionių seniūnija,,Damazavos kaimas,,
Elektrėnų savivaldybė Beižionių seniūnija,,Dzekceriškių kaimas,,
Elektrėnų savivaldybė Beižionių seniūnija,,Eitulionių kaimas,,
Elektrėnų savivaldybė Beižionių seniūnija,,Gailaičių kaimas,,
Elektrėnų savivaldybė Beižionių seniūnija,,Gaštautiškių kaimas,,
Elektrėnų savivaldybė Beižionių seniūnija,,Haliampolio kaimas,,
Elektrėnų savivaldybė Beižionių seniūnija,,Laičių kaimas,,
Elektrėnų savivaldybė Beižionių seniūnija,,Liaukiškių kaimas,,
Elektrėnų savivaldybė Beižionių seniūnija,,Malinaukos I kaimas,,
Elektrėnų savivaldybė Beižionių seniūnija,,Malinaukos II kaimas,,
Elektrėnų savivaldybė Beižionių seniūnija,,Mazūrankos kaimas,,
Elektrėnų savivaldybė Beižionių seniūnija,,Migliniškių kaimas,,
Elektrėnų savivaldybė Beižionių seniūnija,,Mikailiškių kaimas,,
Elektrėnų savivaldybė Beižionių seniūnija,,Naujalaukio I kaimas,,
Elektrėnų savivaldybė Beižionių seniūnija,,Naujalaukio kaimas,,
Elektrėnų savivaldybė Beižionių seniūnija,,Navasiolkų kaimas,,
Elektrėnų savivaldybė Beižionių seniūnija,,Pajurgiškių kaimas,,
Elektrėnų savivaldybė Beižionių seniūnija,,Podhaliampolio kaimas,,
Elektrėnų savivaldybė Beižionių seniūnija,,Stelmošiškių kaimas,,
Elektrėnų savivaldybė Beižionių seniūnija,,Taureikos kaimas,,
Elektrėnų savivaldybė Beižionių seniūnija,,Varkutonių kaimas,,
Elektrėnų savivaldybė Beižionių seniūnija,,Žirginių viensėdis,,
Elektrėnų savivaldybė Elektrėnų seniūnija,,Abromiškių kaimas,Beržų gatvė,
Elektrėnų savivaldybė Elektrėnų seniūnija,,Abromiškių kaimas,Dvaro gatvė,
Elektrėnų savivaldybė Elektrėnų seniūnija,,Abromiškių kaimas,Sanatorijos gatvė,
Elektrėnų savivaldybė Elektrėnų seniūnija,,Abromiškių kaimas,Vilties gatvė,
Elektrėnų savivaldybė Elektrėnų seniūnija,,Abromiškių kaimas,Šaltinio aklgatvė,
Elektrėnų savivaldybė Elektrėnų seniūnija,,Alinkos kaimas,,
Elektrėnų savivaldybė Elektrėnų seniūnija,,Elektrėnų miestas,Alinkos gatvė,
Elektrėnų savivaldybė Elektrėnų seniūnija,,Elektrėnų miestas,Alyvų gatvė,
Elektrėnų savivaldybė Elektrėnų seniūnija,,Elektrėnų miestas,Atgimimo aikštė,
Elektrėnų savivaldybė Elektrėnų seniūnija,,Elektrėnų miestas,Aukštamiškio gatvė,
Elektrėnų savivaldybė Elektrėnų seniūnija,,Elektrėnų miestas,Budinės gatvė,
Elektrėnų savivaldybė Elektrėnų seniūnija,,Elektrėnų miestas,Draugystės gatvė,
Elektrėnų savivaldybė Elektrėnų seniūnija,,Elektrėnų miestas,Dubijos gatvė,
Elektrėnų savivaldybė Elektrėnų seniūnija,,Elektrėnų miestas,Dvaro gatvė,
Elektrėnų savivaldybė Elektrėnų seniūnija,,Elektrėnų miestas,Elektrinės gatvė,
Elektrėnų savivaldybė Elektrėnų seniūnija,,Elektrėnų miestas,Ežero gatvė,
