institution,elderate,city,street,numbers
Ignalinos rajono savivaldybė,,,,
Ignalinos rajono savivaldybė Ceikinių seniūnija,,Akmeniškės kaimas,,
Ignalinos rajono savivaldybė Ceikinių seniūnija,,Augutiškės kaimas,,
Ignalinos rajono savivaldybė Ceikinių seniūnija,,Balčiulėniškės kaimas,,
Ignalinos rajono savivaldybė Ceikinių seniūnija,,Barkuškės kaimas,,
Ignalinos rajono savivaldybė Ceikinių seniūnija,,Bašiškės kaimas,,
Ignalinos rajono savivaldybė Ceikinių seniūnija,,Budriškės I kaimas,,
Ignalinos rajono savivaldybė Ceikinių seniūnija,,Budriškės II kaimas,,
Ignalinos rajono savivaldybė Ceikinių seniūnija,,Budrių kaimas,,
Ignalinos rajono savivaldybė Ceikinių seniūnija,,Bujutiškės kaimas,,
Ignalinos rajono savivaldybė Ceikinių seniūnija,,Burkoliškės kaimas,,
Ignalinos rajono savivaldybė Ceikinių seniūnija,,Būdninkų kaimas,,
Ignalinos rajono savivaldybė Ceikinių seniūnija,,Ceikinių kaimas,,
Ignalinos rajono savivaldybė Ceikinių seniūnija,,Ceikiškės viensėdis,,
Ignalinos rajono savivaldybė Ceikinių seniūnija,,Dalgedų kaimas,,
Ignalinos rajono savivaldybė Ceikinių seniūnija,,Degutiškės kaimas,,
Ignalinos rajono savivaldybė Ceikinių seniūnija,,Dimbelių kaimas,,
Ignalinos rajono savivaldybė Ceikinių seniūnija,,Garnių kaimas,,
Ignalinos rajono savivaldybė Ceikinių seniūnija,,Gaspariškės kaimas,,
Ignalinos rajono savivaldybė Ceikinių seniūnija,,Giriniškės kaimas,,
Ignalinos rajono savivaldybė Ceikinių seniūnija,,Jakaviškių kaimas,,
Ignalinos rajono savivaldybė Ceikinių seniūnija,,Juodiškės kaimas,,
Ignalinos rajono savivaldybė Ceikinių seniūnija,,Kandrotiškės I kaimas,,
Ignalinos rajono savivaldybė Ceikinių seniūnija,,Kandrotiškės II kaimas,,
Ignalinos rajono savivaldybė Ceikinių seniūnija,,Kančiogino kaimas,,
Ignalinos rajono savivaldybė Ceikinių seniūnija,,Karačiūniškės kaimas,,
Ignalinos rajono savivaldybė Ceikinių seniūnija,,Lazdinkų kaimas,,
Ignalinos rajono savivaldybė Ceikinių seniūnija,,Lepšių kaimas,,
Ignalinos rajono savivaldybė Ceikinių seniūnija,,Liepiškės kaimas,,
Ignalinos rajono savivaldybė Ceikinių seniūnija,,Merkmenų kaimas,,
Ignalinos rajono savivaldybė Ceikinių seniūnija,,Mielaičių kaimas,,
Ignalinos rajono savivaldybė Ceikinių seniūnija,,Mikalavėlio kaimas,,
Ignalinos rajono savivaldybė Ceikinių seniūnija,,Mėšlių kaimas,,
Ignalinos rajono savivaldybė Ceikinių seniūnija,,Nalivaikų kaimas,,
Ignalinos rajono savivaldybė Ceikinių seniūnija,,Naujo Sklypo kaimas,,
