institution,elderate,city,street,numbers
Jonavos rajono savivaldybė,,,,
Jonavos rajono savivaldybė Bukonių seniūnija,,Baravykų kaimas,,
Jonavos rajono savivaldybė Bukonių seniūnija,,Biržulių kaimas,,
Jonavos rajono savivaldybė Bukonių seniūnija,,Bukonių kaimas,Biliuškių gatvė,
Jonavos rajono savivaldybė Bukonių seniūnija,,Bukonių kaimas,Draugystės gatvė,
Jonavos rajono savivaldybė Bukonių seniūnija,,Bukonių kaimas,Garniškių gatvė,
Jonavos rajono savivaldybė Bukonių seniūnija,,Bukonių kaimas,Jaunystės gatvė,
Jonavos rajono savivaldybė Bukonių seniūnija,,Bukonių kaimas,Jonavos gatvė,
Jonavos rajono savivaldybė Bukonių seniūnija,,Bukonių kaimas,Kačėnų gatvė,
Jonavos rajono savivaldybė Bukonių seniūnija,,Bukonių kaimas,Miško gatvė,
Jonavos rajono savivaldybė Bukonių seniūnija,,Bukonių kaimas,Mokyklos gatvė,
Jonavos rajono savivaldybė Bukonių seniūnija,,Bukonių kaimas,Parko gatvė,
Jonavos rajono savivaldybė Bukonių seniūnija,,Bukonių kaimas,Rožių gatvė,
Jonavos rajono savivaldybė Bukonių seniūnija,,Bukonių kaimas,Sodų gatvė,
Jonavos rajono savivaldybė Bukonių seniūnija,,Bukonių kaimas,Ukmergės gatvė,
Jonavos rajono savivaldybė Bukonių seniūnija,,Bukonių kaimas,Vaiškonių gatvė,
Jonavos rajono savivaldybė Bukonių seniūnija,,Bukonių kaimas,Šapuvos gatvė,
Jonavos rajono savivaldybė Bukonių seniūnija,,Dovydonių kaimas,,
Jonavos rajono savivaldybė Bukonių seniūnija,,Dukuvkos kaimas,,
Jonavos rajono savivaldybė Bukonių seniūnija,,Gaižūnų kaimas,,
Jonavos rajono savivaldybė Bukonių seniūnija,,Garniškių kaimas,,
Jonavos rajono savivaldybė Bukonių seniūnija,,Gečių kaimas,,
Jonavos rajono savivaldybė Bukonių seniūnija,,Juodžių kaimas,,
Jonavos rajono savivaldybė Bukonių seniūnija,,Karaliūnų kaimas,,
Jonavos rajono savivaldybė Bukonių seniūnija,,Kaupinų kaimas,,
Jonavos rajono savivaldybė Bukonių seniūnija,,Kačėnų kaimas,,
Jonavos rajono savivaldybė Bukonių seniūnija,,Knipų kaimas,,
Jonavos rajono savivaldybė Bukonių seniūnija,,Liepių kaimas,Akloji gatvė,
Jonavos rajono savivaldybė Bukonių seniūnija,,Liepių kaimas,Draugystės gatvė,
Jonavos rajono savivaldybė Bukonių seniūnija,,Liepių kaimas,Dzūkų gatvė,
Jonavos rajono savivaldybė Bukonių seniūnija,,Liepių kaimas,Paliepių gatvė,
Jonavos rajono savivaldybė Bukonių seniūnija,,Liepių kaimas,Parko gatvė,
Jonavos rajono savivaldybė Bukonių seniūnija,,Liepių kaimas,Pirties gatvė,
Jonavos rajono savivaldybė Bukonių seniūnija,,Liepių kaimas,Plento gatvė,
Jonavos rajono savivaldybė Bukonių seniūnija,,Liepių kaimas,Ramioji gatvė,
Jonavos rajono savivaldybė Bukonių seniūnija,,Liepių kaimas,Trumpoji gatvė,
Jonavos rajono savivaldybė Bukonių seniūnija,,Liepių kaimas,Tvenkinio gatvė,
Jonavos rajono savivaldybė Bukonių seniūnija,,Liepių kaimas,Žeimių gatvė,
Jonavos rajono savivaldybė Bukonių seniūnija,,Liutkūnų kaimas,,
Jonavos rajono savivaldybė Bukonių seniūnija,,Madlinavos kaimas,,
Jonavos rajono savivaldybė Bukonių seniūnija,,Mačionių kaimas,,
Jonavos rajono savivaldybė Bukonių seniūnija,,Mimainių kaimas,Ežero gatvė,
Jonavos rajono savivaldybė Bukonių seniūnija,,Mimainių kaimas,Gaižūnų gatvė,
Jonavos rajono savivaldybė Bukonių seniūnija,,Narauninkiškių kaimas,,
Jonavos rajono savivaldybė Bukonių seniūnija,,Pasraučių kaimas,,
Jonavos rajono savivaldybė Bukonių seniūnija,,Petrašiūnų kaimas,Jonavos gatvė,
Jonavos rajono savivaldybė Bukonių seniūnija,,Petrašiūnų kaimas,Mačionių gatvė,
Jonavos rajono savivaldybė Bukonių seniūnija,,Petrašiūnų kaimas,Trumpoji gatvė,
Jonavos rajono savivaldybė Bukonių seniūnija,,Ražuotinės kaimas,,
Jonavos rajono savivaldybė Bukonių seniūnija,,Rudėnų kaimas,,
Jonavos rajono savivaldybė Bukonių seniūnija,,Rukuižių kaimas,,
Jonavos rajono savivaldybė Bukonių seniūnija,,Vaivadiškių kaimas,Jonavos gatvė,
Jonavos rajono savivaldybė Bukonių seniūnija,,Vaivadiškių kaimas,Karaliūnų gatvė,
Jonavos rajono savivaldybė Bukonių seniūnija,,Vaivadiškių kaimas,Tvenkinio gatvė,
Jonavos rajono savivaldybė Bukonių seniūnija,,Vaivadiškių kaimas,Tylioji gatvė,
Jonavos rajono savivaldybė Bukonių seniūnija,,Vaivadiškių kaimas,Žeimių gatvė,
Jonavos rajono savivaldybė Bukonių seniūnija,,Vaiškonių kaimas,,
Jonavos rajono savivaldybė Bukonių seniūnija,,Šapovos kaimas,,
Jonavos rajono savivaldybė Bukonių seniūnija,,Šiliūnų kaimas,,
Jonavos rajono savivaldybė Bukonių seniūnija,,Širvių kaimas,,
Jonavos rajono savivaldybė Bukonių seniūnija,,Žeimelių kaimas,,
Jonavos rajono savivaldybė Bukonių seniūnija,,Žvėryno kaimas,,
Jonavos rajono savivaldybė Dumsių seniūnija,,Albertavos kaimas,Beržų gatvė,
Jonavos rajono savivaldybė Dumsių seniūnija,,Albertavos kaimas,Tvenkinio gatvė,
Jonavos rajono savivaldybė Dumsių seniūnija,,Albertavos kaimas,Ąžuolų gatvė,
Jonavos rajono savivaldybė Dumsių seniūnija,,Albertavos kaimas,Šilo gatvė,
Jonavos rajono savivaldybė Dumsių seniūnija,,Bagdonavos kaimas,,
Jonavos rajono savivaldybė Dumsių seniūnija,,Bajoriškių kaimas,,
Jonavos rajono savivaldybė Dumsių seniūnija,,Barborlaukio kaimas,,
Jonavos rajono savivaldybė Dumsių seniūnija,,Bartonių kaimas,Bebrų gatvė,
Jonavos rajono savivaldybė Dumsių seniūnija,,Bartonių kaimas,Beržų gatvė,
Jonavos rajono savivaldybė Dumsių seniūnija,,Bartonių kaimas,Braškių gatvė,
Jonavos rajono savivaldybė Dumsių seniūnija,,Bartonių kaimas,Draugystės gatvė,
Jonavos rajono savivaldybė Dumsių seniūnija,,Bartonių kaimas,Eglių gatvė,
Jonavos rajono savivaldybė Dumsių seniūnija,,Bartonių kaimas,Gėlių gatvė,
Jonavos rajono savivaldybė Dumsių seniūnija,,Bartonių kaimas,Lakštingalų gatvė,
Jonavos rajono savivaldybė Dumsių seniūnija,,Bartonių kaimas,Mėtų gatvė,
Jonavos rajono savivaldybė Dumsių seniūnija,,Bartonių kaimas,Pušyno gatvė,
Jonavos rajono savivaldybė Dumsių seniūnija,,Bartonių kaimas,Pušų gatvė,
Jonavos rajono savivaldybė Dumsių seniūnija,,Bartonių kaimas,Rožių gatvė,
Jonavos rajono savivaldybė Dumsių seniūnija,,Bartonių kaimas,Rugių gatvė,
Jonavos rajono savivaldybė Dumsių seniūnija,,Bartonių kaimas,Serbentų gatvė,
Jonavos rajono savivaldybė Dumsių seniūnija,,Bartonių kaimas,Tujų gatvė,
Jonavos rajono savivaldybė Dumsių seniūnija,,Bartonių kaimas,Tulpių gatvė,
Jonavos rajono savivaldybė Dumsių seniūnija,,Bartonių kaimas,Uosių gatvė,
Jonavos rajono savivaldybė Dumsių seniūnija,,Bartonių kaimas,Upės gatvė,
Jonavos rajono savivaldybė Dumsių seniūnija,,Bartonių kaimas,Vyšnių gatvė,
Jonavos rajono savivaldybė Dumsių seniūnija,,Bartonių kaimas,Žvejų gatvė,
Jonavos rajono savivaldybė Dumsių seniūnija,,Bartonių kaimas,Žvirgždės 1-asis takas,
Jonavos rajono savivaldybė Dumsių seniūnija,,Bartonių kaimas,Žvirgždės 2-asis takas,
Jonavos rajono savivaldybė Dumsių seniūnija,,Bartonių kaimas,Žvirgždės 3-iasis takas,
Jonavos rajono savivaldybė Dumsių seniūnija,,Bulotų kaimas,Alksnių gatvė,
Jonavos rajono savivaldybė Dumsių seniūnija,,Bulotų kaimas,Alyvų gatvė,
Jonavos rajono savivaldybė Dumsių seniūnija,,Bulotų kaimas,Beržų gatvė,
Jonavos rajono savivaldybė Dumsių seniūnija,,Bulotų kaimas,Eglių gatvė,
