institution,elderate,city,street,numbers
Akmenės-Joniškio rinkimų apygarda Nr. 39,,,Basiuliškių vs.,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,,Bičiušių vs.,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,,Gulbinų vs.,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,,Mančių vs.,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,,Marvynos vs.,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,,Pamūšio vs.,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,,Rimšelių vs.,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,,Toliotėlių vs.,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,,Vaišnorių vs.,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,Aleksandravo kaimas,,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,Alselių kaimas,,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,Alsių kaimas,,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,Bandorių kaimas,,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,Bargavonių kaimas,,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,Bartkūnų kaimas,,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,Barysių kaimas,,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,Bertaučių kaimas,,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,Beržėnų kaimas,,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,Bijeikių kaimas,,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,Biliūnų kaimas,,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,Bilžių kaimas,,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,Bružo kaimas,,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,Budraičių kaimas,,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,Buivydžių kaimas,,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,Butniūnų kaimas,,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,Buvainių kaimas,,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,Damelių kaimas,,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,Dargių kaimas,,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,Daugalaičių kaimas,,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,Daukšių kaimas,,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,Daunoraičių kaimas,,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,Daunoravos kaimas,,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,Daunoriškės kaimas,,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,Degučių kaimas,,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,Dilbinėlių kaimas,,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,Dilbinų kaimas,,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,Domeikių kaimas,,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,Drąseikių kaimas,,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,Dubovkos kaimas,,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,Dvelaičių kaimas,,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,Džiugių kaimas,,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,Eglynlaukio kaimas,,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,Endriškių kaimas,,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,Gaižaičių kaimas,,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,Gataučių kaimas,,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,Gaudikių kaimas,,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,Gedvainių kaimas,,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,Gimbūčių kaimas,,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,Girkančių kaimas,,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,Gražaičių kaimas,,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,Ivanuvkos kaimas,,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,Ivoškių kaimas,,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,Jakiškių kaimas,,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,Jankūnų kaimas,,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,Jauneikių kaimas,,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,Jauniūnų kaimas,,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,Jaučiūnų kaimas,,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,Juodeikių kaimas,,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,Juodžių kaimas,,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,Jurdaičių kaimas,,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,Juškaičių kaimas,,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,Kalnelio kaimas,,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,Kančiūnų kaimas,,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,Katiliškių kaimas,,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,Kemsių kaimas,,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,Kipštų kaimas,,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,Krampių kaimas,,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,Kyburių kaimas,,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,Lankaičių kaimas,,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,Lepšių kaimas,,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,Liliškių kaimas,,
Akmenės-Joniškio rinkimų apygarda Nr. 39,,Linkaičių kaimas,,
