institution,elderate,city,street,numbers
Jurbarko rajono savivaldybė,,,,
Jurbarko rajono savivaldybė Eržvilko seniūnija,,Avietiškių kaimas,,
Jurbarko rajono savivaldybė Eržvilko seniūnija,,Balandžių kaimas,,
Jurbarko rajono savivaldybė Eržvilko seniūnija,,Baužaičių kaimas,,
Jurbarko rajono savivaldybė Eržvilko seniūnija,,Būdų viensėdis,,
Jurbarko rajono savivaldybė Eržvilko seniūnija,,Būkintlaukio kaimas,,
Jurbarko rajono savivaldybė Eržvilko seniūnija,,Būtaičių kaimas,,
Jurbarko rajono savivaldybė Eržvilko seniūnija,,Daugėlių kaimas,,
Jurbarko rajono savivaldybė Eržvilko seniūnija,,Dirvonų kaimas,,
Jurbarko rajono savivaldybė Eržvilko seniūnija,,Dugnų kaimas,,
Jurbarko rajono savivaldybė Eržvilko seniūnija,,Dūdlaukio kaimas,,
Jurbarko rajono savivaldybė Eržvilko seniūnija,,Eimantų kaimas,,
Jurbarko rajono savivaldybė Eržvilko seniūnija,,Eržvilko kaimas,,
Jurbarko rajono savivaldybė Eržvilko seniūnija,,Eržvilko miestelis,Alytaus gatvė,
Jurbarko rajono savivaldybė Eržvilko seniūnija,,Eržvilko miestelis,Ateities gatvė,
Jurbarko rajono savivaldybė Eržvilko seniūnija,,Eržvilko miestelis,Ievų gatvė,
Jurbarko rajono savivaldybė Eržvilko seniūnija,,Eržvilko miestelis,Nemakščių gatvė,
Jurbarko rajono savivaldybė Eržvilko seniūnija,,Eržvilko miestelis,Piliakalnio gatvė,
Jurbarko rajono savivaldybė Eržvilko seniūnija,,Eržvilko miestelis,Ramioji gatvė,
Jurbarko rajono savivaldybė Eržvilko seniūnija,,Eržvilko miestelis,Ryto aikštė,
Jurbarko rajono savivaldybė Eržvilko seniūnija,,Eržvilko miestelis,Saulėtekio gatvė,
Jurbarko rajono savivaldybė Eržvilko seniūnija,,Eržvilko miestelis,Sodų gatvė,
Jurbarko rajono savivaldybė Eržvilko seniūnija,,Eržvilko miestelis,Tauragės gatvė,
Jurbarko rajono savivaldybė Eržvilko seniūnija,,Eržvilko miestelis,Užakmenio gatvė,
Jurbarko rajono savivaldybė Eržvilko seniūnija,,Eržvilko miestelis,Čepaičių takas,
Jurbarko rajono savivaldybė Eržvilko seniūnija,,Eržvilko miestelis,Šaltuonos gatvė,
Jurbarko rajono savivaldybė Eržvilko seniūnija,,Eržvilko miestelis,Šiaurės gatvė,
Jurbarko rajono savivaldybė Eržvilko seniūnija,,Fermų kaimas,,
Jurbarko rajono savivaldybė Eržvilko seniūnija,,Gabšiškių kaimas,,
Jurbarko rajono savivaldybė Eržvilko seniūnija,,Garšvilų kaimas,,
Jurbarko rajono savivaldybė Eržvilko seniūnija,,Kalnučių kaimas,,
Jurbarko rajono savivaldybė Eržvilko seniūnija,,Kartupių kaimas,Alytaus gatvė,
Jurbarko rajono savivaldybė Eržvilko seniūnija,,Kartupių kaimas,Šešuvies gatvė,
Jurbarko rajono savivaldybė Eržvilko seniūnija,,Kartupių kaimas,Žiedo gatvė,
Jurbarko rajono savivaldybė Eržvilko seniūnija,,Klevinės kaimas,,
Jurbarko rajono savivaldybė Eržvilko seniūnija,,Kubiliškės kaimas,,
Jurbarko rajono savivaldybė Eržvilko seniūnija,,Kulvertiškių kaimas,,
Jurbarko rajono savivaldybė Eržvilko seniūnija,,Lendrynės kaimas,,
Jurbarko rajono savivaldybė Eržvilko seniūnija,,Lenkčių I kaimas,,
Jurbarko rajono savivaldybė Eržvilko seniūnija,,Lenkčių II kaimas,,
Jurbarko rajono savivaldybė Eržvilko seniūnija,,Lentinės kaimas,,
Jurbarko rajono savivaldybė Eržvilko seniūnija,,Leonavo kaimas,,
Jurbarko rajono savivaldybė Eržvilko seniūnija,,Lybiškių kaimas,Alytaus gatvė,
Jurbarko rajono savivaldybė Eržvilko seniūnija,,Lybiškių kaimas,Geležinkelio gatvė,
Jurbarko rajono savivaldybė Eržvilko seniūnija,,Lybiškių kaimas,Kubiliškės gatvė,
Jurbarko rajono savivaldybė Eržvilko seniūnija,,Lybiškių kaimas,Liepų gatvė,
