institution,elderate,city,street,numbers
Kalvarijos savivaldybė,,,,
Kalvarijos savivaldybė Akmenynų seniūnija,,Aistiškių kaimas,Aistos gatvė,
Kalvarijos savivaldybė Akmenynų seniūnija,,Aistiškių kaimas,Beržų gatvė,
Kalvarijos savivaldybė Akmenynų seniūnija,,Aistiškių kaimas,Liepų gatvė,
Kalvarijos savivaldybė Akmenynų seniūnija,,Aistiškių kaimas,Miško gatvė,
Kalvarijos savivaldybė Akmenynų seniūnija,,Akmenynų kaimas,Kalno gatvė,
Kalvarijos savivaldybė Akmenynų seniūnija,,Akmenynų kaimas,Liepų gatvė,
Kalvarijos savivaldybė Akmenynų seniūnija,,Akmenynų kaimas,Mokyklos gatvė,
Kalvarijos savivaldybė Akmenynų seniūnija,,Akmenynų kaimas,Sodų gatvė,
Kalvarijos savivaldybė Akmenynų seniūnija,,Akmenynų kaimas,Vingio gatvė,
Kalvarijos savivaldybė Akmenynų seniūnija,,Akmenynų kaimas,Ąžuolų gatvė,
Kalvarijos savivaldybė Akmenynų seniūnija,,Aleksandravo kaimas,,
Kalvarijos savivaldybė Akmenynų seniūnija,,Būdviečių kaimas,,
Kalvarijos savivaldybė Akmenynų seniūnija,,Cibavo kaimas,,
Kalvarijos savivaldybė Akmenynų seniūnija,,Dirvonų kaimas,,
Kalvarijos savivaldybė Akmenynų seniūnija,,Gabrieliškių kaimas,,
Kalvarijos savivaldybė Akmenynų seniūnija,,Girkantų kaimas,,
Kalvarijos savivaldybė Akmenynų seniūnija,,Kalnėnų kaimas,,
Kalvarijos savivaldybė Akmenynų seniūnija,,Krijobalių kaimas,,
Kalvarijos savivaldybė Akmenynų seniūnija,,Liepalotų kaimas,,
Kalvarijos savivaldybė Akmenynų seniūnija,,Pakruopiškių kaimas,,
Kalvarijos savivaldybė Akmenynų seniūnija,,Pavyžupio kaimas,,
Kalvarijos savivaldybė Akmenynų seniūnija,,Pelenių kaimas,,
Kalvarijos savivaldybė Akmenynų seniūnija,,Piliakalnių kaimas,,
Kalvarijos savivaldybė Akmenynų seniūnija,,Smalnyčėnų kaimas,,
Kalvarijos savivaldybė Akmenynų seniūnija,,Valinčiškių kaimas,,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Barauskų kaimas,,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Brazavo kaimas,,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Brukų kaimas,Mažoji gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Brukų kaimas,Prano Gavėno gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Brukų kaimas,Žalioji gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Budavisko kaimas,,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Butanavičių kaimas,,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Dambaukos kaimas,,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Deivoniškių kaimas,,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Dominiškių kaimas,,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Durpinės kaimas,,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Godūniškių kaimas,,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Gulbiniškių kaimas,Berželių gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Gulbiniškių kaimas,Beržų gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Gulbiniškių kaimas,Eglės gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Gulbiniškių kaimas,Geležinkelio gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Gulbiniškių kaimas,Gulbino gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Gulbiniškių kaimas,Gėlių gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Gulbiniškių kaimas,Ilgoji gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Gulbiniškių kaimas,Kalno gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Gulbiniškių kaimas,Lauko gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Gulbiniškių kaimas,Liepų gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Gulbiniškių kaimas,Pakalnės gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Gulbiniškių kaimas,Paparčių gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Gulbiniškių kaimas,Paupio gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Gulbiniškių kaimas,Ramunių gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Gulbiniškių kaimas,Sodų gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Gulbiniškių kaimas,Trumpoji gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Gulbiniškių kaimas,Tulpių gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Gulbiniškių kaimas,Tvenkinio gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Gulbiniškių kaimas,Uosio gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Gulbiniškių kaimas,Upės gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Gulbiniškių kaimas,Vyšnių gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Gulbiniškių kaimas,Ąžuolų gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Gulbiniškių kaimas,Šaltinio gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Gulbiniškių kaimas,Šermukšnių gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Gulbiniškių kaimas,Ūlos gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Gulbiniškių kaimas,Žalioji gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Ilgalaukos kaimas,,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Ivantiškių kaimas,,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Jakimavičių kaimas,,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Jonų kaimas,Eglės gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Jonų kaimas,Janaukos gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Jungėnų kaimas,Alytaus gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Jungėnų kaimas,Alytaus skersgatvis,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Jungėnų kaimas,Alyvų gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Jungėnų kaimas,Alyvų skersgatvis,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Jungėnų kaimas,Bijūnų gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Jungėnų kaimas,Ežero gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Jungėnų kaimas,Gilių gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Jungėnų kaimas,Jazminų gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Jungėnų kaimas,Kaštonų gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Jungėnų kaimas,Palmių gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Jungėnų kaimas,Plento gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Jungėnų kaimas,Prūdo gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Jungėnų kaimas,Putinų gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Jungėnų kaimas,Rožių gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Jungėnų kaimas,Ryto gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Jungėnų kaimas,Serbentų gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Jungėnų kaimas,Slyvų gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Jungėnų kaimas,Smėlio gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Jungėnų kaimas,Stoties gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Jungėnų kaimas,Tujų gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Jungėnų kaimas,Verpėjų gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Jungėnų kaimas,Vyšnių gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Juodelių kaimas,,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Juodųjų Šaltinių kaimas,,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Jurgežerių kaimas,,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Jusevičių kaimas,Didžioji gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Jusevičių kaimas,Liepų gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Jusevičių kaimas,Liepų skersgatvis,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Jusevičių kaimas,Mokyklos gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Jusevičių kaimas,Ugniagesių gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Jusevičių kaimas,Ūkininkų gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Kalvarijos miestas,A. Strazdo gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Kalvarijos miestas,Alytaus gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Kalvarijos miestas,Alyvų gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Kalvarijos miestas,Artojų gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Kalvarijos miestas,Aušros gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Kalvarijos miestas,Birutės gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Kalvarijos miestas,Darbininkų gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Kalvarijos miestas,Dariaus ir Girėno gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Kalvarijos miestas,Gardino gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Kalvarijos miestas,Gėlių gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Kalvarijos miestas,J. Basanavičiaus gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Kalvarijos miestas,J. Biliūno gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Kalvarijos miestas,J. Kanclerio gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Kalvarijos miestas,J. Kubiliaus gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Kalvarijos miestas,Kęstučio gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Kalvarijos miestas,Laisvės gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Kalvarijos miestas,Laukų gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Kalvarijos miestas,M. K. Čiurlionio gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Kalvarijos miestas,Mokyklos gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Kalvarijos miestas,Naujoji gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Kalvarijos miestas,P. Klimo gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Kalvarijos miestas,P. Žadeikos gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Kalvarijos miestas,Paupio gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Kalvarijos miestas,Pašešupio gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Kalvarijos miestas,Pievų gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Kalvarijos miestas,Plytinės gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Kalvarijos miestas,Ramybės gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Kalvarijos miestas,S. Nėries gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Kalvarijos miestas,Savanorių gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Kalvarijos miestas,Seinų gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Kalvarijos miestas,Sodų gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Kalvarijos miestas,Suvalkų gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Kalvarijos miestas,Taikos gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Kalvarijos miestas,Ugniagesių gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Kalvarijos miestas,V. Kudirkos gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Kalvarijos miestas,V. Kudirkos skersgatvis,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Kalvarijos miestas,Vasario 16-osios gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Kalvarijos miestas,Vilkutaičių gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Kalvarijos miestas,Vilniaus gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Kalvarijos miestas,Vytauto gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Kalvarijos miestas,Šešupės gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Kalvarijos miestas,Žemaitės gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Kalvių kaimas,,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Kampinių kaimas,,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Kamšų kaimas,,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Karališkių kaimas,,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Kasauskų kaimas,,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Kestenių kaimas,,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Kimšų kaimas,,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Kreivosios kaimas,,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Kreivukės kaimas,,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Kumečių kaimas,,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Kušliškių kaimas,,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Kvietkinės kaimas,Tremtinių gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Laibikių kaimas,,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Margų kaimas,,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Menkupių kaimas,,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Mikalaukos kaimas,Gėlių gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Mikalaukos kaimas,Kranto gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Mikalaukos kaimas,Stoties gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Mikalaukos kaimas,Žalioji gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Mikališkių kaimas,,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Miluičiškių kaimas,,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Murgininkų kaimas,,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Naujienėlės I kaimas,,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Naujienėlės kaimas,Alksnyno gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Naujienėlės kaimas,Alyvų gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Naujienėlės kaimas,Aušros gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Naujienėlės kaimas,Beržų gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Naujienėlės kaimas,Eglių gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Naujienėlės kaimas,Ežero gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Naujienėlės kaimas,Girios gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Naujienėlės kaimas,Gėlių gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Naujienėlės kaimas,Jazminų gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Naujienėlės kaimas,Kalno gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Naujienėlės kaimas,Kalvarijos gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Naujienėlės kaimas,Kranto gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Naujienėlės kaimas,Lelijų gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Naujienėlės kaimas,Liepų gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Naujienėlės kaimas,Miško gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Naujienėlės kaimas,Orijos gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Naujienėlės kaimas,Pakalnučių gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Naujienėlės kaimas,Pirties gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Naujienėlės kaimas,Pušų gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Naujienėlės kaimas,Rasų gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Naujienėlės kaimas,Rytmečio gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Naujienėlės kaimas,Ryto gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Naujienėlės kaimas,Saulės gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Naujienėlės kaimas,Slyvų gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Naujienėlės kaimas,Smalininkų gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Naujienėlės kaimas,Sodų gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Naujienėlės kaimas,Upelio gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Naujienėlės kaimas,Vingio gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Naujienėlės kaimas,Šaltinio gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Naujienėlės kaimas,Šilo gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Naujienėlės kaimas,Žvejų gatvė,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Navasodų kaimas,,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Nemunaičių kaimas,,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Nendrių kaimas,,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Norvydų kaimas,,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Orijos kaimas,,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Pabalinės kaimas,,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Pagrandų kaimas,,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Pakirsnių kaimas,,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Palnyčios kaimas,,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Papiliakalnių kaimas,,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Pasūduonio kaimas,,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Patašinės kaimas,,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Pašešupio kaimas,,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Pliumbėnų kaimas,,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Raudenio kaimas,,
Kalvarijos savivaldybė Kalvarijos seniūnija,,Raudeniškių kaimas,Ežero gatvė,
