institution,elderate,city,street,numbers
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Akademijos miestelis,,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Altoniškių kaimas,,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Alšėnų kaimas,,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Arlaviškių kaimas,,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Armaniškių kaimas,,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Bagniškės kaimas,,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Bajorų kaimas,,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Bijūnų kaimas,,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Biruliškių kaimas,,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Bliovų kaimas,,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Braziūkų kaimas,,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Budrių kaimas,,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Dankstytės kaimas,,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Dievogalos kaimas,,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Digrių kaimas,,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Dobilijos kaimas,,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Dubravų kaimas,,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Durpyno kaimas,,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Ežerėlio miestas,A. Baranausko gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Ežerėlio miestas,Durpyno gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Ežerėlio miestas,J. Biliūno gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Ežerėlio miestas,J. Janonio gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Ežerėlio miestas,Juodalksnių gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Ežerėlio miestas,Kalno gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Ežerėlio miestas,Kauno gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Ežerėlio miestas,Liepų gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Ežerėlio miestas,Miško gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Ežerėlio miestas,Obuolių gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Ežerėlio miestas,Pušų gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Ežerėlio miestas,S. Nėries gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Ežerėlio miestas,SB „PAGIRYS“,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Ežerėlio miestas,Sodų gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Ežerėlio miestas,Taikos gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Ežerėlio miestas,Upelio gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Ežerėlio miestas,Zapyškio gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Ežerėlio miestas,Žemaitės gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Gaižėnėlių kaimas,,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Gaižėnų kaimas,,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garanciškės kaimas,,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garliavos miestas,A. Baranausko gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garliavos miestas,Akacijų gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garliavos miestas,Algirdo gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garliavos miestas,Alyvų gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garliavos miestas,Arimų gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garliavos miestas,Ateities gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garliavos miestas,Atžalyno gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garliavos miestas,Aukštoji gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garliavos miestas,Bažnyčios gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garliavos miestas,Beržų gatvė,"1-57 odd, 2-52 even, 59-73 odd"
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garliavos miestas,Bijūnų gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garliavos miestas,Budrių gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garliavos miestas,Darbininkų gatvė,"1-25 odd, 2-30 even, 27-99 odd, 32-122 even"
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garliavos miestas,Darbininkų skersgatvis,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garliavos miestas,Dariaus ir Girėno gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garliavos miestas,Digrių gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garliavos miestas,Dobilų gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garliavos miestas,Gedimino gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garliavos miestas,Girininkų gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garliavos miestas,Gluosnių gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garliavos miestas,Gėlių gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garliavos miestas,J. Basanavičiaus gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garliavos miestas,J. Biliūno gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garliavos miestas,J. Biliūno skersgatvis,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garliavos miestas,J. Gabrio gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garliavos miestas,J. Godliausko gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garliavos miestas,J. Lukšos gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garliavos miestas,J. Šimkaus gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garliavos miestas,Jazminų gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garliavos miestas,Jovarų gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garliavos miestas,K. Aglinsko gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garliavos miestas,K. Donelaičio gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garliavos miestas,Kaštonų gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garliavos miestas,Kęstučio gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garliavos miestas,Lauko gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garliavos miestas,Lazdynų gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garliavos miestas,Lelijų gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garliavos miestas,Liepų gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garliavos miestas,M. Valančiaus gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garliavos miestas,Maironio gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garliavos miestas,Marijampolės gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garliavos miestas,Melioratorių gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garliavos miestas,Milžinų gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garliavos miestas,Mindaugo gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garliavos miestas,Narcizų gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garliavos miestas,P. Vaičaičio gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garliavos miestas,Pakraščio gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garliavos miestas,Pavasario gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garliavos miestas,Pažangos gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garliavos miestas,Pažėrų gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garliavos miestas,Pienių gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garliavos miestas,Pievų gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garliavos miestas,Putinų gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garliavos miestas,Pušų gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garliavos miestas,R. Mizaros gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garliavos miestas,R. Šliūpo gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garliavos miestas,Rambyno gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garliavos miestas,Ramybės gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garliavos miestas,Reneto gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garliavos miestas,Rūtų gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garliavos miestas,S. Lozoraičio gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garliavos miestas,SB „HIDROTECHNIKA“,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garliavos miestas,SB „MELIORATORIUS“,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garliavos miestas,Slėnio gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garliavos miestas,Sodininkų gatvė,
Kauno kaimiškoji rinkimų apygarda Nr. 66,,Garliavos miestas,Sodų gatvė,
