institution,elderate,city,street,numbers
Kazlų Rūdos savivaldybė,,,,
Kazlų Rūdos savivaldybė Antanavo seniūnija,,Antanavo kaimas,Bagotosios gatvė,
Kazlų Rūdos savivaldybė Antanavo seniūnija,,Antanavo kaimas,Marijampolės gatvė,
Kazlų Rūdos savivaldybė Antanavo seniūnija,,Antanavo kaimas,Mokyklos gatvė,
Kazlų Rūdos savivaldybė Antanavo seniūnija,,Antanavo kaimas,Naujoji gatvė,
Kazlų Rūdos savivaldybė Antanavo seniūnija,,Antanavo kaimas,Saulėtekio gatvė,
Kazlų Rūdos savivaldybė Antanavo seniūnija,,Antanavo kaimas,Sodų gatvė,
Kazlų Rūdos savivaldybė Antanavo seniūnija,,Antanavo kaimas,Sūduvos gatvė,
Kazlų Rūdos savivaldybė Antanavo seniūnija,,Antanavo kaimas,Taikos gatvė,
Kazlų Rūdos savivaldybė Antanavo seniūnija,,Antanavo kaimas,Šešupės gatvė,
Kazlų Rūdos savivaldybė Antanavo seniūnija,,Eglupio kaimas,,
Kazlų Rūdos savivaldybė Antanavo seniūnija,,Gaisrių kaimas,,
Kazlų Rūdos savivaldybė Antanavo seniūnija,,Kirsnokiškės kaimas,,
Kazlų Rūdos savivaldybė Antanavo seniūnija,,Linksmakalnio kaimas,,
Kazlų Rūdos savivaldybė Antanavo seniūnija,,Plioplių kaimas,,
Kazlų Rūdos savivaldybė Antanavo seniūnija,,Skučiškės kaimas,,
Kazlų Rūdos savivaldybė Antanavo seniūnija,,Timinciškės kaimas,,
Kazlų Rūdos savivaldybė Antanavo seniūnija,,Užpilvių kaimas,,
Kazlų Rūdos savivaldybė Antanavo seniūnija,,Užuoganų kaimas,,
Kazlų Rūdos savivaldybė Antanavo seniūnija,,Vitkiškės kaimas,,
Kazlų Rūdos savivaldybė Antanavo seniūnija,,Višakiškės kaimas,,
Kazlų Rūdos savivaldybė Antanavo seniūnija,,Šiaudiniškės kaimas,,
Kazlų Rūdos savivaldybė Jankų seniūnija,,Beržupių kaimas,,
Kazlų Rūdos savivaldybė Jankų seniūnija,,Būdelės kaimas,,
Kazlų Rūdos savivaldybė Jankų seniūnija,,Būdos kaimas,Beržų gatvė,
Kazlų Rūdos savivaldybė Jankų seniūnija,,Būdos kaimas,Gandrų gatvė,
Kazlų Rūdos savivaldybė Jankų seniūnija,,Būdos kaimas,Laisvės gatvė,
Kazlų Rūdos savivaldybė Jankų seniūnija,,Būdos kaimas,Liepų gatvė,
Kazlų Rūdos savivaldybė Jankų seniūnija,,Būdos kaimas,Pievų gatvė,
