institution,elderate,city,street,numbers
Kelmės rajono savivaldybė,,,,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Apelkio viensėdis,,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Aukštmiškio viensėdis,,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Balalės kaimas,,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Baldužių kaimas,,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Beržiniškės kaimas,,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Biliškiukų kaimas,,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Biliškių kaimas,,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Bitikų kaimas,,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Butkiškės kaimas,,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Dankšių kaimas,,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Dievonių kaimas,,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Dimgailių kaimas,,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Duburių kaimas,,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Gaugariškių viensėdis,,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Gaštynukų kaimas,,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Gaštynų kaimas,Gaštynų gatvė,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Gerdžiogalikės kaimas,,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Gerdžiogalos kaimas,,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Gineikių kaimas,Kelmės gatvė,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Gineikių kaimas,Pamiškės gatvė,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Graužikų kaimas,,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Graužų kaimas,,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Janaučių kaimas,Jaunimo gatvė,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Janaučių kaimas,Malūnų gatvė,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Janaučių kaimas,Plento gatvė,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Jančiaušiškės viensėdis,,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Jasiškės kaimas,,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Kadaginės viensėdis,,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Kakoniškės kaimas,Alyvų gatvė,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Kakoniškės kaimas,Aušros gatvė,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Kakoniškės kaimas,Beržų gatvė,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Kakoniškės kaimas,Jazminų gatvė,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Kakoniškės kaimas,Lakštingalų gatvė,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Kakoniškės kaimas,Pašalės gatvė,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Kakoniškės kaimas,Rasos gatvė,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Kakoniškės kaimas,Statybininkų gatvė,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Kakoniškės kaimas,Trešnių gatvė,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Kakoniškės kaimas,Tulpių gatvė,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Kakoniškės kaimas,Žalioji gatvė,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Kalnų kaimas,,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Kipšių viensėdis,,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Knašių kaimas,,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Kryžbarko kaimas,,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Kubiliškės viensėdis,,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Kuršukų kaimas,,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Kušleikių kaimas,,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Laukių kaimas,,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Laukodumikės kaimas,,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Laukodumos kaimas,,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Lašinskių kaimas,,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Lopetiškės viensėdis,,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Malioriškės kaimas,,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Mateikių kaimas,,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Mažūniukų kaimas,,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Mažūnų kaimas,,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Mickių kaimas,,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Miežaičių kaimas,Gluosnių gatvė,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Miežaičių kaimas,Sodų gatvė,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Minergių kaimas,,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Naudvario kaimas,Kaštonų gatvė,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Naudvario kaimas,Lyros gatvė,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Naudvario kaimas,Malūno gatvė,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Naudvario kaimas,Prūdo gatvė,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Naudvario kaimas,Putinų gatvė,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Naudvario kaimas,Riešutų gatvė,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Naudvario kaimas,Uosių gatvė,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Noruišių kaimas,,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Notėnų kaimas,,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Opškalnio viensėdis,,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Paberžių viensėdis,,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Pagojo kaimas,,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Pakalnės kaimas,,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Pakarčemio kaimas,,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Palendrių kaimas,,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Palėpšų kaimas,,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Palšių kaimas,,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Panūdžių kaimas,,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Paprūdžių kaimas,Miško gatvė,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Paprūdžių kaimas,Plento gatvė,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Paprūdžių kaimas,Smėlio gatvė,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Paramotėlio kaimas,,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Paramočio kaimas,Dvaro gatvė,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Paramočio kaimas,Lauko gatvė,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Paramočio kaimas,Mokyklos gatvė,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,Paramočio kaimas,Šaukėnų gatvė,
