institution,elderate,city,street,numbers
Baltijos rinkimų apygarda Nr. 20,,Klaipėdos miestas,Baltijos prospektas,"1-27 odd, 2-10 even, 29-65 odd, 95-115 odd, 12-24 even, 67-91 odd, 93"
Baltijos rinkimų apygarda Nr. 20,,Klaipėdos miestas,Debreceno gatvė,"2-26 even, 28-60 even, 62-86 even, 92-94 even, 90, 96, 55-59 odd, 1-53 odd"
Baltijos rinkimų apygarda Nr. 20,,Klaipėdos miestas,Gedminų gatvė,"3-11 odd, 2-10 even, 14-18 even, 20-22 even"
Baltijos rinkimų apygarda Nr. 20,,Klaipėdos miestas,Kauno gatvė,"45-47 odd, 1-43 odd"
Baltijos rinkimų apygarda Nr. 20,,Klaipėdos miestas,Mainų gatvė,
Baltijos rinkimų apygarda Nr. 20,,Klaipėdos miestas,Naujakiemio gatvė,"2-26 even, 1-27 odd"
Baltijos rinkimų apygarda Nr. 20,,Klaipėdos miestas,Paryžiaus Komunos gatvė,"14-26 even, 23-27 odd, 1, 1A, 1B, 2-12 even"
Baltijos rinkimų apygarda Nr. 20,,Klaipėdos miestas,Rumpiškės gatvė,"27- odd, 24-32 even"
Baltijos rinkimų apygarda Nr. 20,,Klaipėdos miestas,Ryšininkų gatvė,"25, 13-19 odd, 2- even"
Baltijos rinkimų apygarda Nr. 20,,Klaipėdos miestas,Sandėlių gatvė,
Baltijos rinkimų apygarda Nr. 20,,Klaipėdos miestas,Statybininkų prospektas,"24-32 even, 2-22 even"
Baltijos rinkimų apygarda Nr. 20,,Klaipėdos miestas,Svajonės gatvė,
Baltijos rinkimų apygarda Nr. 20,,Klaipėdos miestas,Taikos prospektas,"23-35 odd, 37-55 odd, 57-59 odd, 67-73 odd, 75-91 odd, 95-113 odd"
Baltijos rinkimų apygarda Nr. 20,,Klaipėdos miestas,Šiaulių gatvė,
Baltijos rinkimų apygarda Nr. 20,,Klaipėdos miestas,Šilutės plentas,"2-24 even, 13-49 odd, 34-40 even, 42-44 even, 71-79 odd, 46-52 even"
Danės rinkimų apygarda Nr. 19,,Klaipėdos miestas,2-oji Melnragė gatvė,
Danės rinkimų apygarda Nr. 19,,Klaipėdos miestas,Agluonos gatvė,2- even
Danės rinkimų apygarda Nr. 19,,Klaipėdos miestas,Aguonų gatvė,
Danės rinkimų apygarda Nr. 19,,Klaipėdos miestas,Ajerų gatvė,
Danės rinkimų apygarda Nr. 19,,Klaipėdos miestas,Akmenų gatvė,
Danės rinkimų apygarda Nr. 19,,Klaipėdos miestas,Alytaus gatvė,
Danės rinkimų apygarda Nr. 19,,Klaipėdos miestas,Alyvų gatvė,
Danės rinkimų apygarda Nr. 19,,Klaipėdos miestas,Anykščių gatvė,
Danės rinkimų apygarda Nr. 19,,Klaipėdos miestas,Apynių gatvė,
Danės rinkimų apygarda Nr. 19,,Klaipėdos miestas,Arimų gatvė,
Danės rinkimų apygarda Nr. 19,,Klaipėdos miestas,Artojo gatvė,
Danės rinkimų apygarda Nr. 19,,Klaipėdos miestas,Atgimimo aikštė,
Danės rinkimų apygarda Nr. 19,,Klaipėdos miestas,Audros gatvė,
Danės rinkimų apygarda Nr. 19,,Klaipėdos miestas,Audėjų gatvė,
Danės rinkimų apygarda Nr. 19,,Klaipėdos miestas,Aukštaičių gatvė,
Danės rinkimų apygarda Nr. 19,,Klaipėdos miestas,Aukštoji gatvė,
Danės rinkimų apygarda Nr. 19,,Klaipėdos miestas,Aušrinės gatvė,
Danės rinkimų apygarda Nr. 19,,Klaipėdos miestas,Aušros gatvė,
Danės rinkimų apygarda Nr. 19,,Klaipėdos miestas,Balandžių gatvė,
Danės rinkimų apygarda Nr. 19,,Klaipėdos miestas,Baltijos 1-oji gatvė,
Danės rinkimų apygarda Nr. 19,,Klaipėdos miestas,Baltijos 10-oji gatvė,
Danės rinkimų apygarda Nr. 19,,Klaipėdos miestas,Baltijos 11-oji gatvė,
Danės rinkimų apygarda Nr. 19,,Klaipėdos miestas,Baltijos 12-oji gatvė,
Danės rinkimų apygarda Nr. 19,,Klaipėdos miestas,Baltijos 13-oji gatvė,
Danės rinkimų apygarda Nr. 19,,Klaipėdos miestas,Baltijos 14-oji gatvė,
Danės rinkimų apygarda Nr. 19,,Klaipėdos miestas,Baltijos 2-oji gatvė,
Danės rinkimų apygarda Nr. 19,,Klaipėdos miestas,Baltijos 3-ioji gatvė,
Danės rinkimų apygarda Nr. 19,,Klaipėdos miestas,Baltijos 4-oji gatvė,
Danės rinkimų apygarda Nr. 19,,Klaipėdos miestas,Baltijos 5-oji gatvė,
Danės rinkimų apygarda Nr. 19,,Klaipėdos miestas,Baltijos 6-oji gatvė,
Danės rinkimų apygarda Nr. 19,,Klaipėdos miestas,Baltijos 7-oji gatvė,
Danės rinkimų apygarda Nr. 19,,Klaipėdos miestas,Baltijos 8-oji gatvė,
Danės rinkimų apygarda Nr. 19,,Klaipėdos miestas,Baltijos 9-oji gatvė,
Danės rinkimų apygarda Nr. 19,,Klaipėdos miestas,Baltikalnio gatvė,
Danės rinkimų apygarda Nr. 19,,Klaipėdos miestas,Bangų gatvė,
Danės rinkimų apygarda Nr. 19,,Klaipėdos miestas,Barškių gatvė,
Danės rinkimų apygarda Nr. 19,,Klaipėdos miestas,Bastionų gatvė,
Danės rinkimų apygarda Nr. 19,,Klaipėdos miestas,Bažnyčių gatvė,
Danės rinkimų apygarda Nr. 19,,Klaipėdos miestas,Beržų gatvė,
Danės rinkimų apygarda Nr. 19,,Klaipėdos miestas,Bijūnų gatvė,
Danės rinkimų apygarda Nr. 19,,Klaipėdos miestas,Birutės gatvė,
Danės rinkimų apygarda Nr. 19,,Klaipėdos miestas,Biržų gatvė,
Danės rinkimų apygarda Nr. 19,,Klaipėdos miestas,Bičiulių gatvė,
Danės rinkimų apygarda Nr. 19,,Klaipėdos miestas,Blušių gatvė,
Danės rinkimų apygarda Nr. 19,,Klaipėdos miestas,Bokštų gatvė,
Danės rinkimų apygarda Nr. 19,,Klaipėdos miestas,Bružės gatvė,
Danės rinkimų apygarda Nr. 19,,Klaipėdos miestas,Burių gatvė,
Danės rinkimų apygarda Nr. 19,,Klaipėdos miestas,Butkų Juzės gatvė,
Danės rinkimų apygarda Nr. 19,,Klaipėdos miestas,Butsargių gatvė,
Danės rinkimų apygarda Nr. 19,,Klaipėdos miestas,Dailidžių gatvė,"19-49 odd, 2-6 even, 1-15 odd, 12-26 even"
Danės rinkimų apygarda Nr. 19,,Klaipėdos miestas,Danės gatvė,"28, 19-45 odd, 5-17 odd"
