institution,elderate,city,street,numbers
Gargždų rinkimų apygarda Nr. 31,,,Klausmylių vs.,
Gargždų rinkimų apygarda Nr. 31,,Ablingos kaimas,,
Gargždų rinkimų apygarda Nr. 31,,Agluonėnų kaimas,,
Gargždų rinkimų apygarda Nr. 31,,Aisėnų kaimas,,
Gargždų rinkimų apygarda Nr. 31,,Alksnių kaimas,,
Gargždų rinkimų apygarda Nr. 31,,Anaičių kaimas,,
Gargždų rinkimų apygarda Nr. 31,,Antkalnio kaimas,,
Gargždų rinkimų apygarda Nr. 31,,Antkopčio kaimas,,
Gargždų rinkimų apygarda Nr. 31,,Auksoro kaimas,,
Gargždų rinkimų apygarda Nr. 31,,Aukštkiemių kaimas,,
Gargždų rinkimų apygarda Nr. 31,,Ažpurvių kaimas,,
Gargždų rinkimų apygarda Nr. 31,,Baičių kaimas,,
Gargždų rinkimų apygarda Nr. 31,,Balsėnų kaimas,,
Gargždų rinkimų apygarda Nr. 31,,Bareikų kaimas,,
Gargždų rinkimų apygarda Nr. 31,,Baukštininkų kaimas,,
Gargždų rinkimų apygarda Nr. 31,,Bendikų kaimas,,
Gargždų rinkimų apygarda Nr. 31,,Bilviečio kaimas,,
Gargždų rinkimų apygarda Nr. 31,,Birbinčių kaimas,,
Gargždų rinkimų apygarda Nr. 31,,Biržininkų kaimas,,
Gargždų rinkimų apygarda Nr. 31,,Brožių kaimas,,
Gargždų rinkimų apygarda Nr. 31,,Bruzdeilyno kaimas,,
Gargždų rinkimų apygarda Nr. 31,,Budelkiemio kaimas,,
Gargždų rinkimų apygarda Nr. 31,,Budrikų kaimas,,
Gargždų rinkimų apygarda Nr. 31,,Butkų kaimas,,
Gargždų rinkimų apygarda Nr. 31,,Būdviečių kaimas,,
Gargždų rinkimų apygarda Nr. 31,,Cirulių kaimas,,
Gargždų rinkimų apygarda Nr. 31,,Dargužių kaimas,,
Gargždų rinkimų apygarda Nr. 31,,Dariaus kaimas,,
Gargždų rinkimų apygarda Nr. 31,,Daugmantų kaimas,,
Gargždų rinkimų apygarda Nr. 31,,Daugėlų kaimas,,
Gargždų rinkimų apygarda Nr. 31,,Daukšaičių kaimas,,
Gargždų rinkimų apygarda Nr. 31,,Dauparų kaimas,,
Gargždų rinkimų apygarda Nr. 31,,Dauskių kaimas,,
Gargždų rinkimų apygarda Nr. 31,,Dausynų kaimas,,
Gargždų rinkimų apygarda Nr. 31,,Derceklių kaimas,,
Gargždų rinkimų apygarda Nr. 31,,Dirvupių kaimas,,
Gargždų rinkimų apygarda Nr. 31,,Dituvos kaimas,,
Gargždų rinkimų apygarda Nr. 31,,Dovilų miestelis,,
Gargždų rinkimų apygarda Nr. 31,,Dreižių kaimas,,
Gargždų rinkimų apygarda Nr. 31,,Drevernos kaimas,,
Gargždų rinkimų apygarda Nr. 31,,Drukių kaimas,,
Gargždų rinkimų apygarda Nr. 31,,Dumpių kaimas,,
Gargždų rinkimų apygarda Nr. 31,,Dvylių kaimas,,
Gargždų rinkimų apygarda Nr. 31,,Dūdinėlių kaimas,,
Gargždų rinkimų apygarda Nr. 31,,Egliškių kaimas,,
Gargždų rinkimų apygarda Nr. 31,,Eglynų kaimas,,
Gargždų rinkimų apygarda Nr. 31,,Eidukų kaimas,,
Gargždų rinkimų apygarda Nr. 31,,Endriejavo miestelis,,
Gargždų rinkimų apygarda Nr. 31,,Ežaičių kaimas,,
Gargždų rinkimų apygarda Nr. 31,,Galčių kaimas,,
Gargždų rinkimų apygarda Nr. 31,,Gargždų miestas,Agrastų Tako gatvė,
Gargždų rinkimų apygarda Nr. 31,,Gargždų miestas,Akacijų Tako gatvė,
Gargždų rinkimų apygarda Nr. 31,,Gargždų miestas,Alyvų gatvė,
Gargždų rinkimų apygarda Nr. 31,,Gargždų miestas,Astrų Tako gatvė,
Gargždų rinkimų apygarda Nr. 31,,Gargždų miestas,Ateitininkų gatvė,
Gargždų rinkimų apygarda Nr. 31,,Gargždų miestas,Atkalnės Tako gatvė,
Gargždų rinkimų apygarda Nr. 31,,Gargždų miestas,Aukštoji gatvė,
Gargždų rinkimų apygarda Nr. 31,,Gargždų miestas,Aušros gatvė,
Gargždų rinkimų apygarda Nr. 31,,Gargždų miestas,Beržų gatvė,
Gargždų rinkimų apygarda Nr. 31,,Gargždų miestas,Bijūnų Tako gatvė,
Gargždų rinkimų apygarda Nr. 31,,Gargždų miestas,Birutės gatvė,
Gargždų rinkimų apygarda Nr. 31,,Gargždų miestas,Bokšto Tako gatvė,
Gargždų rinkimų apygarda Nr. 31,,Gargždų miestas,Braškių Tako gatvė,
Gargždų rinkimų apygarda Nr. 31,,Gargždų miestas,Butkų Juzės gatvė,
Gargždų rinkimų apygarda Nr. 31,,Gargždų miestas,Dainavos gatvė,
Gargždų rinkimų apygarda Nr. 31,,Gargždų miestas,Dariaus ir Girėno gatvė,
Gargždų rinkimų apygarda Nr. 31,,Gargždų miestas,Derliaus Tako gatvė,
Gargždų rinkimų apygarda Nr. 31,,Gargždų miestas,Dvarelio Tako gatvė,
Gargždų rinkimų apygarda Nr. 31,,Gargždų miestas,Erškėtrožių Tako gatvė,
Gargždų rinkimų apygarda Nr. 31,,Gargždų miestas,Gamyk-los gatvė,
Gargždų rinkimų apygarda Nr. 31,,Gargždų miestas,Garažų Tako gatvė,
Gargždų rinkimų apygarda Nr. 31,,Gargždų miestas,Gargždupio gatvė,
Gargždų rinkimų apygarda Nr. 31,,Gargždų miestas,Gargždės gatvė,
Gargždų rinkimų apygarda Nr. 31,,Gargždų miestas,Gedimino gatvė,
Gargždų rinkimų apygarda Nr. 31,,Gargždų miestas,Geležinkelio Pylimo gatvė,
Gargždų rinkimų apygarda Nr. 31,,Gargždų miestas,Gintaro gatvė,
Gargždų rinkimų apygarda Nr. 31,,Gargždų miestas,Globėjų gatvė,
Gargždų rinkimų apygarda Nr. 31,,Gargždų miestas,Gluosnių gatvė,
Gargždų rinkimų apygarda Nr. 31,,Gargždų miestas,Gulbių Tako gatvė,
Gargždų rinkimų apygarda Nr. 31,,Gargždų miestas,Gulbių gatvė,
Gargždų rinkimų apygarda Nr. 31,,Gargždų miestas,Gėlių gatvė,
Gargždų rinkimų apygarda Nr. 31,,Gargždų miestas,Ievų Tako gatvė,
Gargždų rinkimų apygarda Nr. 31,,Gargždų miestas,J. Basanavičiaus gatvė,
Gargždų rinkimų apygarda Nr. 31,,Gargždų miestas,J. Janonio gatvė,"1-9 odd, 2-26 even, 11-19 odd, 28-42 even"
Gargždų rinkimų apygarda Nr. 31,,Gargždų miestas,Jaunimo gatvė,
Gargždų rinkimų apygarda Nr. 31,,Gargždų miestas,Jonažolių Tako gatvė,
Gargždų rinkimų apygarda Nr. 31,,Gargždų miestas,Jovarų gatvė,
Gargždų rinkimų apygarda Nr. 31,,Gargždų miestas,Jurginų Tako gatvė,
Gargždų rinkimų apygarda Nr. 31,,Gargždų miestas,Jūratės gatvė,
Gargždų rinkimų apygarda Nr. 31,,Gargždų miestas,Kalnalio Tako gatvė,
Gargždų rinkimų apygarda Nr. 31,,Gargždų miestas,Karaliaus Mindaugo gatvė,
