institution,elderate,city,street,numbers
Kretingos rajono savivaldybė,,,,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Akmenalių kaimas,,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Auksūdžio kaimas,,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Aušrakaimio kaimas,,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Barkelių kaimas,,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Benaičių kaimas,,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Biržtvininkų kaimas,,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Buginių kaimas,,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Darataičių kaimas,,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Darbalių kaimas,,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Darbėnų miestelis,Alyvų gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Darbėnų miestelis,Aušros gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Darbėnų miestelis,Draugystės gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Darbėnų miestelis,Eglyno gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Darbėnų miestelis,Gluosnių gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Darbėnų miestelis,Juzumų gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Darbėnų miestelis,Kašučių gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Darbėnų miestelis,Klevų gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Darbėnų miestelis,Kretingos gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Darbėnų miestelis,Laisvės gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Darbėnų miestelis,Lakštingalų gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Darbėnų miestelis,Laukžemės gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Darbėnų miestelis,Maloniškių gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Darbėnų miestelis,Miško gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Darbėnų miestelis,Naujoji gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Darbėnų miestelis,Palangos gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Darbėnų miestelis,Pirties gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Darbėnų miestelis,Pušyno gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Darbėnų miestelis,Rožių gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Darbėnų miestelis,Salantų gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Darbėnų miestelis,Skuodo gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Darbėnų miestelis,Smėlio gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Darbėnų miestelis,Turgaus aikštė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Darbėnų miestelis,Tvenkinio gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Darbėnų miestelis,Vaineikių gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Darbėnų miestelis,Vidurinė gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Darbėnų miestelis,Vilties gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Darbėnų miestelis,Vytauto gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Darbėnų miestelis,Ąžuolų gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Daubėnų kaimas,,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Dirgalio kaimas,,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Drumulio kaimas,,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Dubašių kaimas,,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Ežkepių kaimas,,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Gargždupio kaimas,,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Genčų Medsėdžių kaimas,,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Grūšlaukės kaimas,Darbėnų gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Grūšlaukės kaimas,Jazminų gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Grūšlaukės kaimas,Klebonijos gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Grūšlaukės kaimas,Klevų gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Grūšlaukės kaimas,Lakštingalų gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Grūšlaukės kaimas,Laukų gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Grūšlaukės kaimas,Malūno gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Grūšlaukės kaimas,Mokyklos gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Grūšlaukės kaimas,Peldžių gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Grūšlaukės kaimas,Rytų gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Grūšlaukės kaimas,Saulėtekio gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Grūšlaukės kaimas,Smėlio gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Grūšlaukės kaimas,Vaineikių gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Grūšlaukės kaimas,Vakarų gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Grūšlaukės kaimas,Ąžuolų gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Grūšlaukės kaimas,Žalioji gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Ilginių kaimas,,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Joskaudų kaimas,Vlado Jurgučio gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Juzumų kaimas,,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Kadagynų kaimas,,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Kalgraužių kaimas,,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Kašučių kaimas,,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Kiaupiškių kaimas,,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Knėžų kaimas,,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Kumpikų kaimas,Bitininkų gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Kumpikų kaimas,Kūdros gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Kumpikų kaimas,Lankų gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Kumpikų kaimas,Liepų gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Kumpikų kaimas,Pušų gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Kumpikų kaimas,Užupio gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Kuniginės kaimas,,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Latvelių kaimas,,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Laukelių kaimas,,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Laukžemės kaimas,Alyvų gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Laukžemės kaimas,Beržų gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Laukžemės kaimas,Ilgoji gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Laukžemės kaimas,Klevų gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Laukžemės kaimas,Laukų gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Laukžemės kaimas,Malūno gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Laukžemės kaimas,Miško gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Laukžemės kaimas,Paupio gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Laukžemės kaimas,Saulėtekio gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Laukžemės kaimas,Trumpoji gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Laukžemės kaimas,Vingio gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Laukžemės kaimas,Šventosios gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Laukžemės kaimas,Žiburių gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Lazdininkų kaimas,Alkos gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Lazdininkų kaimas,Eršketyno gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Lazdininkų kaimas,Gintaro gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Lazdininkų kaimas,Joskaudų gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Lazdininkų kaimas,Naujo gyvenimo gatvė,
Kretingos rajono savivaldybė Darbėnų seniūnija,,Lazdininkų kaimas,Saulėtekio gatvė,
