institution,elderate,city,street,numbers
Kauno-Kėdainių rinkimų apygarda Nr. 65,,,Antanavos vs.,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,,Girlaukio vs.,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,,Pasmilgio vs.,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,,Prapuolenių vs.,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,,Rimuolių vs.,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,,Slikių gst.,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Akmenių kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Ambraziūnų kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Angirių kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Ansainių kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Antežerių kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Antkalnio kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Apirubių kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Apušroto kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Aukupėnų kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Aukštdvario kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Aukštkalnių kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Aukštuoliukų kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Ažytėnų kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Bagotiškių kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Bajėnų I kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Bajėnų II kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Baldinkos kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Barkūniškio kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Barkūnėlių kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Barsukynės kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Beinaičių kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Beržytės kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Blandžių kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Bumbulynės kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Bučiūnų kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Būdviečių kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Daržbalio kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Daubarų kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Daukšų kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Degimų kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Deveikiškių kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Deveikiškėlių kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Digraičių kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Diksių kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Donavos kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Dovydiškių kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Dratkalnio kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Duogių kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Eigulių kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Gaidelių kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Gailiakaimio kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Galulaukių kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Gegužių kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Gelnų kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Gersonės kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Girvainių kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Girynės kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Gižiemių kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Gožių kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Grašvos kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Grinelių kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Grinių kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Gudaičių kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Guptilčių kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Gučkampio kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Ivaniškių kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Jagminų kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Jakšių kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Jankūnų kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Jasnagurkos kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Jaugilių kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Jaugilkos kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Josvainių kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Josvainių miestelis,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Juciūnų kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Juodgirio kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Juodkaimių kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Juodžių kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Jurgaičių kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Kampų I kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Kampų II kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Kanapėnos kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Kantrimo kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Karūnavos kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Kačergių kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Keturkiemių kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Kilbisų kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Krakių kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Krakių miestelis,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Kruopių kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Krymo kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Kudžionių kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Kukoriškių kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Kunionių kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Kupsčių kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Labūnavos kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Langakių kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Laučynės kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Lenčių kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Lesčiukų kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Lesčių kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Liaudiškių kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Linelių kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Liogailiškių kaimas,,
Kauno-Kėdainių rinkimų apygarda Nr. 65,,Liubokinės kaimas,,
