institution,elderate,city,street,numbers
Lazdijų rajono savivaldybė,,,,
Lazdijų rajono savivaldybė Būdviečio seniūnija,,Aštriosios Kirsnos kaimas,Gaisrinės gatvė,
Lazdijų rajono savivaldybė Būdviečio seniūnija,,Aštriosios Kirsnos kaimas,Paliūnų gatvė,
Lazdijų rajono savivaldybė Būdviečio seniūnija,,Aštriosios Kirsnos kaimas,Žvejų gatvė,
Lazdijų rajono savivaldybė Būdviečio seniūnija,,Bielėnų kaimas,,
Lazdijų rajono savivaldybė Būdviečio seniūnija,,Bilvyčių kaimas,,
Lazdijų rajono savivaldybė Būdviečio seniūnija,,Bulotiškės kaimas,,
Lazdijų rajono savivaldybė Būdviečio seniūnija,,Burbiškių kaimas,,
Lazdijų rajono savivaldybė Būdviečio seniūnija,,Būdviečio kaimas,Bažnyčios gatvė,
Lazdijų rajono savivaldybė Būdviečio seniūnija,,Būdviečio kaimas,Būdviečio gatvė,
Lazdijų rajono savivaldybė Būdviečio seniūnija,,Būdviečio kaimas,Laukų gatvė,
Lazdijų rajono savivaldybė Būdviečio seniūnija,,Būdviečio kaimas,Mokyklos gatvė,
Lazdijų rajono savivaldybė Būdviečio seniūnija,,Būdviečio kaimas,Parko gatvė,
Lazdijų rajono savivaldybė Būdviečio seniūnija,,Būdviečio kaimas,Raudondvario gatvė,
Lazdijų rajono savivaldybė Būdviečio seniūnija,,Būdviečio kaimas,Žaliakalnio gatvė,
Lazdijų rajono savivaldybė Būdviečio seniūnija,,Dainavėlės kaimas,,
Lazdijų rajono savivaldybė Būdviečio seniūnija,,Dervinių kaimas,,
Lazdijų rajono savivaldybė Būdviečio seniūnija,,Dzūkų kaimas,Dzūkų gatvė,
Lazdijų rajono savivaldybė Būdviečio seniūnija,,Filicijanavo kaimas,,
Lazdijų rajono savivaldybė Būdviečio seniūnija,,Gurčiškės kaimas,,
Lazdijų rajono savivaldybė Būdviečio seniūnija,,Inkištų kaimas,,
Lazdijų rajono savivaldybė Būdviečio seniūnija,,Jaseniaukos kaimas,,
Lazdijų rajono savivaldybė Būdviečio seniūnija,,Kelmaičių kaimas,,
Lazdijų rajono savivaldybė Būdviečio seniūnija,,Kybartų kaimas,,
Lazdijų rajono savivaldybė Būdviečio seniūnija,,Mastaukos kaimas,,
Lazdijų rajono savivaldybė Būdviečio seniūnija,,Natalinos kaimas,,
Lazdijų rajono savivaldybė Būdviečio seniūnija,,Pagrūdų kaimas,,
Lazdijų rajono savivaldybė Būdviečio seniūnija,,Paliūnų kaimas,Gaisrinės gatvė,
Lazdijų rajono savivaldybė Būdviečio seniūnija,,Paliūnų kaimas,Paliūnų gatvė,
Lazdijų rajono savivaldybė Būdviečio seniūnija,,Paliūnų kaimas,Vidzgailų gatvė,
Lazdijų rajono savivaldybė Būdviečio seniūnija,,Papartėlių kaimas,Pievų gatvė,
Lazdijų rajono savivaldybė Būdviečio seniūnija,,Papartėlių kaimas,Vidzgailų gatvė,
Lazdijų rajono savivaldybė Būdviečio seniūnija,,Papartėlių kaimas,Ūkininkų gatvė,
Lazdijų rajono savivaldybė Būdviečio seniūnija,,Strumbagalvės kaimas,Kybartų gatvė,
Lazdijų rajono savivaldybė Būdviečio seniūnija,,Strumbagalvės kaimas,Mažoji gatvė,
Lazdijų rajono savivaldybė Būdviečio seniūnija,,Varnakampio kaimas,,
Lazdijų rajono savivaldybė Būdviečio seniūnija,,Vidzgailų kaimas,Vidzgailų gatvė,
Lazdijų rajono savivaldybė Būdviečio seniūnija,,Vilkakarčemės kaimas,,
Lazdijų rajono savivaldybė Būdviečio seniūnija,,Vilkinyčios kaimas,,
Lazdijų rajono savivaldybė Būdviečio seniūnija,,Vingrėnų kaimas,,
Lazdijų rajono savivaldybė Būdviečio seniūnija,,Virbalų kaimas,,
Lazdijų rajono savivaldybė Būdviečio seniūnija,,Vosyliškės kaimas,,
Lazdijų rajono savivaldybė Būdviečio seniūnija,,Zelionkos kaimas,,
Lazdijų rajono savivaldybė Kapčiamiesčio seniūnija,,Alekniškių kaimas,,
Lazdijų rajono savivaldybė Kapčiamiesčio seniūnija,,Bugiedos kaimas,,
Lazdijų rajono savivaldybė Kapčiamiesčio seniūnija,,Burbų kaimas,,
Lazdijų rajono savivaldybė Kapčiamiesčio seniūnija,,Dumbliauskų kaimas,,
Lazdijų rajono savivaldybė Kapčiamiesčio seniūnija,,Gervelių kaimas,,
Lazdijų rajono savivaldybė Kapčiamiesčio seniūnija,,Gryckavo kaimas,,
Lazdijų rajono savivaldybė Kapčiamiesčio seniūnija,,Gulbiniškės kaimas,,
Lazdijų rajono savivaldybė Kapčiamiesčio seniūnija,,Ivoškų kaimas,,
Lazdijų rajono savivaldybė Kapčiamiesčio seniūnija,,Jančiulių kaimas,,
Lazdijų rajono savivaldybė Kapčiamiesčio seniūnija,,Jezdo kaimas,,
Lazdijų rajono savivaldybė Kapčiamiesčio seniūnija,,Kalvių kaimas,,
Lazdijų rajono savivaldybė Kapčiamiesčio seniūnija,,Kapčiamiesčio miestelis,B. Ančios gatvė,
Lazdijų rajono savivaldybė Kapčiamiesčio seniūnija,,Kapčiamiesčio miestelis,Eigulių gatvė,
Lazdijų rajono savivaldybė Kapčiamiesčio seniūnija,,Kapčiamiesčio miestelis,Kranto gatvė,
Lazdijų rajono savivaldybė Kapčiamiesčio seniūnija,,Kapčiamiesčio miestelis,Liepų gatvė,
Lazdijų rajono savivaldybė Kapčiamiesčio seniūnija,,Kapčiamiesčio miestelis,Linų gatvė,
Lazdijų rajono savivaldybė Kapčiamiesčio seniūnija,,Kapčiamiesčio miestelis,Mechanizatorių gatvė,
Lazdijų rajono savivaldybė Kapčiamiesčio seniūnija,,Kapčiamiesčio miestelis,Paupio gatvė,
Lazdijų rajono savivaldybė Kapčiamiesčio seniūnija,,Kapčiamiesčio miestelis,Pušų gatvė,
Lazdijų rajono savivaldybė Kapčiamiesčio seniūnija,,Kapčiamiesčio miestelis,Raisto gatvė,
