institution,elderate,city,street,numbers
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,A. Baltūšio gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,A. Civinskio gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,A. J. Greimo gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,A. Tatarės gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,A. Yliaus gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Aistmarių gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Aišbės gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Algimanto gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Algirdo gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Alytaus gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Alyvų gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Amalvos gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Antakalnio gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Artojų gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Artojų skersgatvis,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Atgimimo gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Audėjų gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Augustavo gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Aukštaičių gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Aušros gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Ašmenos gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,B. Sruogos gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Balsupių gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Baseino gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Bažnyčios gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Bendoriaus gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Beržų gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Beržų skersgatvis,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Birutės gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Birštono gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Budavisko gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Dainavos gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Dariaus ir Girėno gatvė,"3-13 odd, 2-36 even"
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Dariaus ir Girėno skersgatvis,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Daržininkų gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Daukšių gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Degučių gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Dovinės gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Draugystės gatvė,"13-27 odd, 1-11 odd, 6-22 even"
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Druskininkų gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Dzūkų gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Eglės gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Eitkūnų gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Fabriko gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,G. Butlerienės gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,G. Butlerienės skersgatvis,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Gamyklų gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Gardino gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Gedimino gatvė,"41-103 odd, 52-100 even, 1-39 odd, 2-46 even"
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Gedimino skersgatvis,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Geležinkelio gatvė,"54-146 even, 2A, 4-2 even, 2-52 even"
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Gen. A. Gustaičio gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Gluosnių gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Gumbinės gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Gėlių gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Gėlyno gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Išdagėlių gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,J. Ambrazevičiaus-Brazaičio gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,J. Basanavičiaus aikštė,13-18 odd
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,J. Basanavičiaus gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,J. Biliūno gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,J. Jablonskio gatvė,"2-20 even, 1-41 odd"
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,J. Janonio gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,J. Kriščiūno gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,J. Totoraičio gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,J. Basanavičiaus aikštė,1-7 odd
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,J. Tallat Kelpšos gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Jaunimo gatvė,"1-11 odd, 2-22 even"
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Javonio gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Javonio skersgatvis,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Jazminų gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Jono Dailidės gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Jotvingių gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Juodkrantės gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Juodųjų Šaltinių gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,K. Būgos gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,K. Donelaičio gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,K. Griniaus gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Kalkinės gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Kalno gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Kalvarijos gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Kalvių gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Kapų gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Karaliaučiaus gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Karklų gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Kauno gatvė,"103-153 odd, 94-154 even, 3-75 odd, 60-92 even, 26, 40-58 even, 12-22 even"
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Kauno skersgatvis,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Kazimieraičio gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Kaštonų gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Kempingo gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Klaipėdos gatvė,"69-103 odd, 34-76 even, 1-65 odd, 2-32 even"
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Klevų gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Knygnešių gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Kokolos gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Kosmonautų gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Kovo 11-osios gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Kranto gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Krosnos gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Kvietiškio gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Kybartų gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Kęstučio gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,L. Giros gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Laikštės gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Laisvės gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Lauko gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Lazdijų gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Lazdynų gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Liejyklos gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Liepynų gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Liepų gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Lietuvininkų gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Lino gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Lydos gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,M. Akelaičio gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,M. K. Čiurlionio gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,M. Krupavičiaus gatvė,
Marijampolės rinkimų apygarda Nr. 29,,Marijampolės miestas,Maironio gatvė,"17-63 odd, 26-66 even, 1-15 odd, 2-24 even"
