institution,elderate,city,street,numbers
Mažeikių rajono savivaldybė,,,,
Mažeikių rajono savivaldybė Laižuvos seniūnija,,Auksūdžio kaimas,Ateities gatvė,
Mažeikių rajono savivaldybė Laižuvos seniūnija,,Auksūdžio kaimas,Aušros gatvė,
Mažeikių rajono savivaldybė Laižuvos seniūnija,,Auksūdžio kaimas,Darželio skersgatvis,
Mažeikių rajono savivaldybė Laižuvos seniūnija,,Auksūdžio kaimas,Draugystės skersgatvis,
Mažeikių rajono savivaldybė Laižuvos seniūnija,,Auksūdžio kaimas,Mažeikių gatvė,
Mažeikių rajono savivaldybė Laižuvos seniūnija,,Auksūdžio kaimas,Stumbrų gatvė,
Mažeikių rajono savivaldybė Laižuvos seniūnija,,Auksūdžio kaimas,Taikos gatvė,
Mažeikių rajono savivaldybė Laižuvos seniūnija,,Auksūdžio kaimas,Žemaičių gatvė,
Mažeikių rajono savivaldybė Laižuvos seniūnija,,Barysčių kaimas,,
Mažeikių rajono savivaldybė Laižuvos seniūnija,,Duobgirių kaimas,,
Mažeikių rajono savivaldybė Laižuvos seniūnija,,Kalniškių kaimas,,
Mažeikių rajono savivaldybė Laižuvos seniūnija,,Laižuvos miestelis,A. Vienažindžio gatvė,
Mažeikių rajono savivaldybė Laižuvos seniūnija,,Laižuvos miestelis,Alyvų takas,
Mažeikių rajono savivaldybė Laižuvos seniūnija,,Laižuvos miestelis,Dariaus ir Girėno gatvė,
Mažeikių rajono savivaldybė Laižuvos seniūnija,,Laižuvos miestelis,Kuršo gatvė,
Mažeikių rajono savivaldybė Laižuvos seniūnija,,Laižuvos miestelis,Liepų gatvė,
Mažeikių rajono savivaldybė Laižuvos seniūnija,,Laižuvos miestelis,Mažeikių gatvė,
Mažeikių rajono savivaldybė Laižuvos seniūnija,,Laižuvos miestelis,Mokyklos gatvė,
Mažeikių rajono savivaldybė Laižuvos seniūnija,,Laižuvos miestelis,Saulės gatvė,
Mažeikių rajono savivaldybė Laižuvos seniūnija,,Laižuvos miestelis,Stoties gatvė,
