institution,elderate,city,street,numbers
Molėtų rajono savivaldybė,,,,
Molėtų rajono savivaldybė Alantos seniūnija,,Adomiškio kaimas,,
Molėtų rajono savivaldybė Alantos seniūnija,,Adomiškėlio viensėdis,,
Molėtų rajono savivaldybė Alantos seniūnija,,Alantos kaimas,Drobiškių gatvė,
Molėtų rajono savivaldybė Alantos seniūnija,,Alantos kaimas,Girsteitiškio gatvė,
Molėtų rajono savivaldybė Alantos seniūnija,,Alantos kaimas,Klevų aklgatvė,
Molėtų rajono savivaldybė Alantos seniūnija,,Alantos kaimas,Miško gatvė,
Molėtų rajono savivaldybė Alantos seniūnija,,Alantos kaimas,Patiltės gatvė,
Molėtų rajono savivaldybė Alantos seniūnija,,Alantos kaimas,Pievų gatvė,
Molėtų rajono savivaldybė Alantos seniūnija,,Alantos kaimas,Sodo gatvė,
Molėtų rajono savivaldybė Alantos seniūnija,,Alantos miestelis,Antano Kraujelio gatvė,
Molėtų rajono savivaldybė Alantos seniūnija,,Alantos miestelis,Aukštaičių gatvė,
Molėtų rajono savivaldybė Alantos seniūnija,,Alantos miestelis,Bažnyčios gatvė,
Molėtų rajono savivaldybė Alantos seniūnija,,Alantos miestelis,Dariaus ir Girėno gatvė,
Molėtų rajono savivaldybė Alantos seniūnija,,Alantos miestelis,Naujakurių gatvė,
Molėtų rajono savivaldybė Alantos seniūnija,,Alantos miestelis,Pakalnės gatvė,
Molėtų rajono savivaldybė Alantos seniūnija,,Alantos miestelis,Paupio gatvė,
Molėtų rajono savivaldybė Alantos seniūnija,,Alantos miestelis,Paversmio gatvė,
Molėtų rajono savivaldybė Alantos seniūnija,,Alantos miestelis,Turgaus aikštė,
Molėtų rajono savivaldybė Alantos seniūnija,,Alantos miestelis,Ukmergės gatvė,
Molėtų rajono savivaldybė Alantos seniūnija,,Alantos miestelis,Virintos gatvė,
Molėtų rajono savivaldybė Alantos seniūnija,,Alantėlės kaimas,,
Molėtų rajono savivaldybė Alantos seniūnija,,Alantėlės viensėdis,,
Molėtų rajono savivaldybė Alantos seniūnija,,Antakščių kaimas,Ežero gatvė,
Molėtų rajono savivaldybė Alantos seniūnija,,Antakščių kaimas,Skiemonių gatvė,
Molėtų rajono savivaldybė Alantos seniūnija,,Antakščių kaimas,Varnakalio gatvė,
Molėtų rajono savivaldybė Alantos seniūnija,,Antaliežių kaimas,Ežero gatvė,
Molėtų rajono savivaldybė Alantos seniūnija,,Antaliežių kaimas,Girsteitiškio gatvė,
Molėtų rajono savivaldybė Alantos seniūnija,,Antaliežių kaimas,Liežio gatvė,
Molėtų rajono savivaldybė Alantos seniūnija,,Antaliežių kaimas,Molėtų gatvė,
Molėtų rajono savivaldybė Alantos seniūnija,,Antanavos kaimas,,
Molėtų rajono savivaldybė Alantos seniūnija,,Avilčių kaimas,Molėtų gatvė,
Molėtų rajono savivaldybė Alantos seniūnija,,Ažubalių kaimas,,
Molėtų rajono savivaldybė Alantos seniūnija,,Ažuprūdžių kaimas,,
Molėtų rajono savivaldybė Alantos seniūnija,,Bajorų kaimas,,
Molėtų rajono savivaldybė Alantos seniūnija,,Bareikių kaimas,,
Molėtų rajono savivaldybė Alantos seniūnija,,Buržilų kaimas,,
Molėtų rajono savivaldybė Alantos seniūnija,,Bučiškių kaimas,,
Molėtų rajono savivaldybė Alantos seniūnija,,Cezariškio kaimas,,
Molėtų rajono savivaldybė Alantos seniūnija,,Dauniškių kaimas,,
Molėtų rajono savivaldybė Alantos seniūnija,,Debeikių kaimas,,
Molėtų rajono savivaldybė Alantos seniūnija,,Degsnių kaimas,,
Molėtų rajono savivaldybė Alantos seniūnija,,Duobinių kaimas,,
Molėtų rajono savivaldybė Alantos seniūnija,,Duobytės kaimas,,
Molėtų rajono savivaldybė Alantos seniūnija,,Gabrieliškio viensėdis,,
Molėtų rajono savivaldybė Alantos seniūnija,,Gaidamonių kaimas,,
Molėtų rajono savivaldybė Alantos seniūnija,,Gaigalų kaimas,,
Molėtų rajono savivaldybė Alantos seniūnija,,Galinių kaimas,,
Molėtų rajono savivaldybė Alantos seniūnija,,Gegužinės viensėdis,,
Molėtų rajono savivaldybė Alantos seniūnija,,Glembuvkos viensėdis,,
Molėtų rajono savivaldybė Alantos seniūnija,,Išdegos viensėdis,,
Molėtų rajono savivaldybė Alantos seniūnija,,Janonių kaimas,,
Molėtų rajono savivaldybė Alantos seniūnija,,Jaurų kaimas,,
Molėtų rajono savivaldybė Alantos seniūnija,,Juodiškio kaimas,,
Molėtų rajono savivaldybė Alantos seniūnija,,Juodiškių kaimas,,
Molėtų rajono savivaldybė Alantos seniūnija,,Juotiškių kaimas,,
Molėtų rajono savivaldybė Alantos seniūnija,,Juozapavos kaimas,,
Molėtų rajono savivaldybė Alantos seniūnija,,Jurgiškio viensėdis,,
Molėtų rajono savivaldybė Alantos seniūnija,,Kadariškių kaimas,,
Molėtų rajono savivaldybė Alantos seniūnija,,Kalvių kaimas,,
Molėtų rajono savivaldybė Alantos seniūnija,,Kameniškio kaimas,,
Molėtų rajono savivaldybė Alantos seniūnija,,Karalinavos kaimas,,
Molėtų rajono savivaldybė Alantos seniūnija,,Karališkio viensėdis,,
Molėtų rajono savivaldybė Alantos seniūnija,,Karališkių kaimas,,
Molėtų rajono savivaldybė Alantos seniūnija,,Kazlų kaimas,Skiemonių gatvė,
Molėtų rajono savivaldybė Alantos seniūnija,,Kazlų kaimas,Utenos gatvė,
Molėtų rajono savivaldybė Alantos seniūnija,,Klabinių kaimas,Kalno gatvė,
Molėtų rajono savivaldybė Alantos seniūnija,,Klabinių kaimas,Klabinių gatvė,
Molėtų rajono savivaldybė Alantos seniūnija,,Klabinių kaimas,Lankų gatvė,
Molėtų rajono savivaldybė Alantos seniūnija,,Klabinių kaimas,Lauko gatvė,
Molėtų rajono savivaldybė Alantos seniūnija,,Klabinių kaimas,Ramybės gatvė,
Molėtų rajono savivaldybė Alantos seniūnija,,Laičių kaimas,Girsteitiškio gatvė,
Molėtų rajono savivaldybė Alantos seniūnija,,Laičių kaimas,Laurų gatvė,
Molėtų rajono savivaldybė Alantos seniūnija,,Laičių kaimas,Pakalnės gatvė,
Molėtų rajono savivaldybė Alantos seniūnija,,Laičių kaimas,Pakluonio gatvė,
Molėtų rajono savivaldybė Alantos seniūnija,,Laičių kaimas,Perkalių gatvė,
Molėtų rajono savivaldybė Alantos seniūnija,,Laičių kaimas,Pušyno gatvė,
Molėtų rajono savivaldybė Alantos seniūnija,,Laičių kaimas,Sabalos gatvė,
Molėtų rajono savivaldybė Alantos seniūnija,,Liobiškių kaimas,,
Molėtų rajono savivaldybė Alantos seniūnija,,Maišiakulės kaimas,,
Molėtų rajono savivaldybė Alantos seniūnija,,Marcelinos kaimas,,
Molėtų rajono savivaldybė Alantos seniūnija,,Mediniškių kaimas,,
Molėtų rajono savivaldybė Alantos seniūnija,,Meilelės kaimas,,
Molėtų rajono savivaldybė Alantos seniūnija,,Migiškių kaimas,,
Molėtų rajono savivaldybė Alantos seniūnija,,Mokylių kaimas,,
Molėtų rajono savivaldybė Alantos seniūnija,,Motiejūnų kaimas,Utenos gatvė,
Molėtų rajono savivaldybė Alantos seniūnija,,Naujasodžio kaimas,Alantėlės gatvė,
Molėtų rajono savivaldybė Alantos seniūnija,,Naujasodžio kaimas,Aukštaičių gatvė,
Molėtų rajono savivaldybė Alantos seniūnija,,Naujasodžio kaimas,Gojaus gatvė,
Molėtų rajono savivaldybė Alantos seniūnija,,Naujasodžio kaimas,Jaunimo aikštė,
Molėtų rajono savivaldybė Alantos seniūnija,,Naujasodžio kaimas,Padegsnio gatvė,
Molėtų rajono savivaldybė Alantos seniūnija,,Naujasodžio kaimas,Parko gatvė,
Molėtų rajono savivaldybė Alantos seniūnija,,Naujasodžio kaimas,Sodo alėja,
Molėtų rajono savivaldybė Alantos seniūnija,,Naujasodžio kaimas,Technikumo gatvė,
Molėtų rajono savivaldybė Alantos seniūnija,,Naujasodžio kaimas,Verpeto gatvė,
Molėtų rajono savivaldybė Alantos seniūnija,,Naujasodžio kaimas,Ąžuolijos gatvė,
Molėtų rajono savivaldybė Alantos seniūnija,,Padvarnių kaimas,,
Molėtų rajono savivaldybė Alantos seniūnija,,Pagirių kaimas,,
Molėtų rajono savivaldybė Alantos seniūnija,,Pagojo viensėdis,,
Molėtų rajono savivaldybė Alantos seniūnija,,Pagulbio kaimas,,
Molėtų rajono savivaldybė Alantos seniūnija,,Pakryžės kaimas,,
Molėtų rajono savivaldybė Alantos seniūnija,,Paraudinės viensėdis,,
Molėtų rajono savivaldybė Alantos seniūnija,,Pasuojės kaimas,,
Molėtų rajono savivaldybė Alantos seniūnija,,Patiltės viensėdis,,
Molėtų rajono savivaldybė Alantos seniūnija,,Pavirinčių kaimas,,
Molėtų rajono savivaldybė Alantos seniūnija,,Paąžuolių kaimas,,
Molėtų rajono savivaldybė Alantos seniūnija,,Petruvkos kaimas,,
Molėtų rajono savivaldybė Alantos seniūnija,,Piešiškių kaimas,Svobiškėlio gatvė,
Molėtų rajono savivaldybė Alantos seniūnija,,Piešiškių kaimas,Virintos gatvė,
Molėtų rajono savivaldybė Alantos seniūnija,,Rasokalnio kaimas,,
Molėtų rajono savivaldybė Alantos seniūnija,,Runionių kaimas,Bajorų gatvė,
Molėtų rajono savivaldybė Alantos seniūnija,,Runionių kaimas,Liepų gatvė,
Molėtų rajono savivaldybė Alantos seniūnija,,Runionių kaimas,Miško gatvė,
Molėtų rajono savivaldybė Alantos seniūnija,,Runionių kaimas,Runionių gatvė,
Molėtų rajono savivaldybė Alantos seniūnija,,Runionių kaimas,Suojos gatvė,
Molėtų rajono savivaldybė Alantos seniūnija,,Runionių kaimas,Tiesiūniškio gatvė,
Molėtų rajono savivaldybė Alantos seniūnija,,Runionių kaimas,Utenos gatvė,
Molėtų rajono savivaldybė Alantos seniūnija,,Salų viensėdis,,
Molėtų rajono savivaldybė Alantos seniūnija,,Sedūniškio kaimas,,
Molėtų rajono savivaldybė Alantos seniūnija,,Semeniškio kaimas,,
Molėtų rajono savivaldybė Alantos seniūnija,,Semenuvkos kaimas,,
Molėtų rajono savivaldybė Alantos seniūnija,,Sikariškių kaimas,,
Molėtų rajono savivaldybė Alantos seniūnija,,Sikūnių kaimas,,
Molėtų rajono savivaldybė Alantos seniūnija,,Skritakalnio viensėdis,,
Molėtų rajono savivaldybė Alantos seniūnija,,Smėlinkos kaimas,,
Molėtų rajono savivaldybė Alantos seniūnija,,Spulių kaimas,,
