institution,elderate,city,street,numbers
Neringos savivaldybė,,,,
Pajūrio rinkimų apygarda Nr. 22,,Neringos miestas,Alksnynės gatvė,
Pajūrio rinkimų apygarda Nr. 22,,Neringos miestas,G. D. Kuverto gatvė,
Pajūrio rinkimų apygarda Nr. 22,,Neringos miestas,Gintaro Įlankos gatvė,
Pajūrio rinkimų apygarda Nr. 22,,Neringos miestas,Ievos Kalno gatvė,
Pajūrio rinkimų apygarda Nr. 22,,Neringos miestas,Kalno gatvė,
Pajūrio rinkimų apygarda Nr. 22,,Neringos miestas,Kopų gatvė,
Pajūrio rinkimų apygarda Nr. 22,,Neringos miestas,Kuršių gatvė,
Pajūrio rinkimų apygarda Nr. 22,,Neringos miestas,L. Rėzos gatvė,
Pajūrio rinkimų apygarda Nr. 22,,Neringos miestas,Lotmiškio gatvė,
Pajūrio rinkimų apygarda Nr. 22,,Neringos miestas,Miško gatvė,
Pajūrio rinkimų apygarda Nr. 22,,Neringos miestas,Naglių gatvė,
Pajūrio rinkimų apygarda Nr. 22,,Neringos miestas,Nidos-Smiltynės plentas,
Pajūrio rinkimų apygarda Nr. 22,,Neringos miestas,Pamario gatvė,
Pajūrio rinkimų apygarda Nr. 22,,Neringos miestas,Pervalkos gatvė,
Pajūrio rinkimų apygarda Nr. 22,,Neringos miestas,Preilos gatvė,
Pajūrio rinkimų apygarda Nr. 22,,Neringos miestas,Purvynės gatvė,
Pajūrio rinkimų apygarda Nr. 22,,Neringos miestas,Skruzdynės gatvė,
Pajūrio rinkimų apygarda Nr. 22,,Neringos miestas,Taikos gatvė,
Pajūrio rinkimų apygarda Nr. 22,,Neringos miestas,Žaliojo Kelio gatvė,
