institution,elderate,city,street,numbers
Pagėgių savivaldybė,,,,
Pagėgių savivaldybė Lumpėnų seniūnija,,Bardinų kaimas,,
Pagėgių savivaldybė Lumpėnų seniūnija,,Bitėnų kaimas,,
Pagėgių savivaldybė Lumpėnų seniūnija,,Kerkutviečių kaimas,,
Pagėgių savivaldybė Lumpėnų seniūnija,,Krakeniškių kaimas,,
Pagėgių savivaldybė Lumpėnų seniūnija,,Lumpėnų kaimas,Bitėnų gatvė,
Pagėgių savivaldybė Lumpėnų seniūnija,,Lumpėnų kaimas,Bokšto gatvė,
Pagėgių savivaldybė Lumpėnų seniūnija,,Lumpėnų kaimas,Javų gatvė,
Pagėgių savivaldybė Lumpėnų seniūnija,,Lumpėnų kaimas,Lauko gatvė,
Pagėgių savivaldybė Lumpėnų seniūnija,,Lumpėnų kaimas,Liepų gatvė,
Pagėgių savivaldybė Lumpėnų seniūnija,,Lumpėnų kaimas,Lumpės gatvė,
Pagėgių savivaldybė Lumpėnų seniūnija,,Lumpėnų kaimas,Malūno gatvė,
Pagėgių savivaldybė Lumpėnų seniūnija,,Lumpėnų kaimas,Miško gatvė,
Pagėgių savivaldybė Lumpėnų seniūnija,,Lumpėnų kaimas,Pievų gatvė,
Pagėgių savivaldybė Lumpėnų seniūnija,,Lumpėnų kaimas,Rambyno gatvė,
Pagėgių savivaldybė Lumpėnų seniūnija,,Lumpėnų kaimas,Skalvos gatvė,
Pagėgių savivaldybė Lumpėnų seniūnija,,Lumpėnų kaimas,Sodėnų gatvė,
Pagėgių savivaldybė Lumpėnų seniūnija,,Lumpėnų kaimas,Sodų gatvė,
Pagėgių savivaldybė Lumpėnų seniūnija,,Lumpėnų kaimas,Topolių gatvė,
Pagėgių savivaldybė Lumpėnų seniūnija,,Lumpėnų kaimas,Viensėdžių gatvė,
Pagėgių savivaldybė Lumpėnų seniūnija,,Lumpėnų kaimas,Žalioji gatvė,
Pagėgių savivaldybė Lumpėnų seniūnija,,Nepertlaukių kaimas,,
Pagėgių savivaldybė Lumpėnų seniūnija,,Palumpių kaimas,,
Pagėgių savivaldybė Lumpėnų seniūnija,,Pempynės kaimas,,
Pagėgių savivaldybė Lumpėnų seniūnija,,Sodėnų kaimas,,
Pagėgių savivaldybė Lumpėnų seniūnija,,Strazdelių kaimas,,
Pagėgių savivaldybė Lumpėnų seniūnija,,Strazdų kaimas,,
Pagėgių savivaldybė Lumpėnų seniūnija,,Trakininkų kaimas,,
Pagėgių savivaldybė Lumpėnų seniūnija,,Šakininkų kaimas,,
Pagėgių savivaldybė Natkiškių seniūnija,,Daubarų kaimas,,
Pagėgių savivaldybė Natkiškių seniūnija,,Endrikaičių viensėdis,,
Pagėgių savivaldybė Natkiškių seniūnija,,Gailiškių viensėdis,,
Pagėgių savivaldybė Natkiškių seniūnija,,Giegždų kaimas,,
Pagėgių savivaldybė Natkiškių seniūnija,,Kiūpelių kaimas,,
Pagėgių savivaldybė Natkiškių seniūnija,,Kuturių kaimas,,
Pagėgių savivaldybė Natkiškių seniūnija,,Minjotų kaimas,,
Pagėgių savivaldybė Natkiškių seniūnija,,Natkiškių kaimas,Alyvų gatvė,
Pagėgių savivaldybė Natkiškių seniūnija,,Natkiškių kaimas,Pievų gatvė,
Pagėgių savivaldybė Natkiškių seniūnija,,Natkiškių kaimas,Putinų gatvė,
Pagėgių savivaldybė Natkiškių seniūnija,,Natkiškių kaimas,Saulėtekio gatvė,
Pagėgių savivaldybė Natkiškių seniūnija,,Natkiškių kaimas,Sodo gatvė,
Pagėgių savivaldybė Natkiškių seniūnija,,Natkiškių kaimas,Vilties gatvė,
