institution,elderate,city,street,numbers
Pakruojo rajono savivaldybė,,,,
Pakruojo rajono savivaldybė Guostagalio seniūnija,,Antkalnių kaimas,,
Pakruojo rajono savivaldybė Guostagalio seniūnija,,Butniūnų kaimas,Sandėlių gatvė,
Pakruojo rajono savivaldybė Guostagalio seniūnija,,Butniūnų kaimas,Stoties gatvė,
Pakruojo rajono savivaldybė Guostagalio seniūnija,,Butniūnų kaimas,Žalioji gatvė,
Pakruojo rajono savivaldybė Guostagalio seniūnija,,Butniūnų kaimas,Žiedo gatvė,
Pakruojo rajono savivaldybė Guostagalio seniūnija,,Degėsių kaimas,Kalno gatvė,
Pakruojo rajono savivaldybė Guostagalio seniūnija,,Degėsių kaimas,Mokyklos gatvė,
Pakruojo rajono savivaldybė Guostagalio seniūnija,,Degėsių kaimas,Plonės gatvė,
Pakruojo rajono savivaldybė Guostagalio seniūnija,,Degėsių kaimas,Saulės gatvė,
Pakruojo rajono savivaldybė Guostagalio seniūnija,,Degėsių kaimas,Tujų gatvė,
Pakruojo rajono savivaldybė Guostagalio seniūnija,,Degėsių kaimas,Tulpių gatvė,
Pakruojo rajono savivaldybė Guostagalio seniūnija,,Degėsių kaimas,Žalioji gatvė,
Pakruojo rajono savivaldybė Guostagalio seniūnija,,Devynergių kaimas,,
Pakruojo rajono savivaldybė Guostagalio seniūnija,,Dvariūkų kaimas,Mokyklos gatvė,
Pakruojo rajono savivaldybė Guostagalio seniūnija,,Dvariūkų kaimas,Mūšos gatvė,
Pakruojo rajono savivaldybė Guostagalio seniūnija,,Dvariūkų kaimas,Sandėlio gatvė,
Pakruojo rajono savivaldybė Guostagalio seniūnija,,Dvariūkų kaimas,Upelio gatvė,
Pakruojo rajono savivaldybė Guostagalio seniūnija,,Gedučių kaimas,,
Pakruojo rajono savivaldybė Guostagalio seniūnija,,Gedžiūnų kaimas,,
Pakruojo rajono savivaldybė Guostagalio seniūnija,,Guostagalio kaimas,Beržų gatvė,
Pakruojo rajono savivaldybė Guostagalio seniūnija,,Guostagalio kaimas,Bokšto gatvė,
Pakruojo rajono savivaldybė Guostagalio seniūnija,,Guostagalio kaimas,Centrinė gatvė,
Pakruojo rajono savivaldybė Guostagalio seniūnija,,Guostagalio kaimas,Ežero gatvė,
Pakruojo rajono savivaldybė Guostagalio seniūnija,,Guostagalio kaimas,Kalno gatvė,
Pakruojo rajono savivaldybė Guostagalio seniūnija,,Guostagalio kaimas,Lauko gatvė,
Pakruojo rajono savivaldybė Guostagalio seniūnija,,Guostagalio kaimas,Palinkuvės gatvė,
Pakruojo rajono savivaldybė Guostagalio seniūnija,,Guostagalio kaimas,Parko gatvė,
Pakruojo rajono savivaldybė Guostagalio seniūnija,,Guostagalio kaimas,Ąžuolų gatvė,
Pakruojo rajono savivaldybė Guostagalio seniūnija,,Guostagalio kaimas,Žaldoko gatvė,
Pakruojo rajono savivaldybė Guostagalio seniūnija,,Javydonių kaimas,,
Pakruojo rajono savivaldybė Guostagalio seniūnija,,Keliuotiškių kaimas,,
Pakruojo rajono savivaldybė Guostagalio seniūnija,,Krupavičių kaimas,,
Pakruojo rajono savivaldybė Guostagalio seniūnija,,Linkavičių kaimas,,
Pakruojo rajono savivaldybė Guostagalio seniūnija,,Majelių kaimas,,
Pakruojo rajono savivaldybė Guostagalio seniūnija,,Masčionių kaimas,,
Pakruojo rajono savivaldybė Guostagalio seniūnija,,Pagirių kaimas,,
Pakruojo rajono savivaldybė Guostagalio seniūnija,,Palinkuvės kaimas,,
Pakruojo rajono savivaldybė Guostagalio seniūnija,,Paplonės kaimas,,
Pakruojo rajono savivaldybė Guostagalio seniūnija,,Papušų kaimas,,
Pakruojo rajono savivaldybė Guostagalio seniūnija,,Raudonpamūšio kaimas,,
Pakruojo rajono savivaldybė Guostagalio seniūnija,,Rudžionių kaimas,,
Pakruojo rajono savivaldybė Guostagalio seniūnija,,Ručinių kaimas,,
Pakruojo rajono savivaldybė Guostagalio seniūnija,,Uniūnų kaimas,,
Pakruojo rajono savivaldybė Guostagalio seniūnija,,Vainaronių kaimas,,
Pakruojo rajono savivaldybė Guostagalio seniūnija,,Šikšnių kaimas,,
Pakruojo rajono savivaldybė Guostagalio seniūnija,,Šlapelių kaimas,,
Pakruojo rajono savivaldybė Klovainių seniūnija,,Augustavo kaimas,,
Pakruojo rajono savivaldybė Klovainių seniūnija,,Balsių kaimas,Alyvų gatvė,
Pakruojo rajono savivaldybė Klovainių seniūnija,,Balsių kaimas,Augustavo gatvė,
Pakruojo rajono savivaldybė Klovainių seniūnija,,Balsių kaimas,Beržinėlio gatvė,
Pakruojo rajono savivaldybė Klovainių seniūnija,,Balsių kaimas,Darželio gatvė,
Pakruojo rajono savivaldybė Klovainių seniūnija,,Balsių kaimas,Kalnelio gatvė,
Pakruojo rajono savivaldybė Klovainių seniūnija,,Balsių kaimas,Kaštonų gatvė,
Pakruojo rajono savivaldybė Klovainių seniūnija,,Balsių kaimas,Meilūnų gatvė,
Pakruojo rajono savivaldybė Klovainių seniūnija,,Balsių kaimas,Pienių gatvė,
Pakruojo rajono savivaldybė Klovainių seniūnija,,Balsių kaimas,Senoji gatvė,
Pakruojo rajono savivaldybė Klovainių seniūnija,,Balsių kaimas,Vilties gatvė,
Pakruojo rajono savivaldybė Klovainių seniūnija,,Balsių kaimas,Žalioji gatvė,
Pakruojo rajono savivaldybė Klovainių seniūnija,,Barvainių kaimas,,
Pakruojo rajono savivaldybė Klovainių seniūnija,,Beržinių kaimas,,
Pakruojo rajono savivaldybė Klovainių seniūnija,,Bešonių kaimas,,
Pakruojo rajono savivaldybė Klovainių seniūnija,,Bučiūnų kaimas,,
Pakruojo rajono savivaldybė Klovainių seniūnija,,Gailionių kaimas,Geležinkelio gatvė,
Pakruojo rajono savivaldybė Klovainių seniūnija,,Gailionių kaimas,Kazimiero Paltaroko gatvė,
Pakruojo rajono savivaldybė Klovainių seniūnija,,Gačionių kaimas,Beržų gatvė,
Pakruojo rajono savivaldybė Klovainių seniūnija,,Gačionių kaimas,Centro gatvė,
Pakruojo rajono savivaldybė Klovainių seniūnija,,Gačionių kaimas,Mažupės gatvė,
Pakruojo rajono savivaldybė Klovainių seniūnija,,Gačionių kaimas,Miško gatvė,
Pakruojo rajono savivaldybė Klovainių seniūnija,,Gačionių kaimas,Mokyklos gatvė,
Pakruojo rajono savivaldybė Klovainių seniūnija,,Gačionių kaimas,Ramybės gatvė,
Pakruojo rajono savivaldybė Klovainių seniūnija,,Gačionių kaimas,Rožių gatvė,
Pakruojo rajono savivaldybė Klovainių seniūnija,,Gačionių kaimas,Senolių gatvė,
Pakruojo rajono savivaldybė Klovainių seniūnija,,Gesvių kaimas,,
Pakruojo rajono savivaldybė Klovainių seniūnija,,Getautų kaimas,,
