institution,elderate,city,street,numbers
Pajūrio rinkimų apygarda Nr. 22,,Palangos miestas,A. Mickevičiaus gatvė,
Pajūrio rinkimų apygarda Nr. 22,,Palangos miestas,Aguonų Tako gatvė,
Pajūrio rinkimų apygarda Nr. 22,,Palangos miestas,Aido gatvė,
Pajūrio rinkimų apygarda Nr. 22,,Palangos miestas,Aitvarų gatvė,
Pajūrio rinkimų apygarda Nr. 22,,Palangos miestas,Ajerų gatvė,
Pajūrio rinkimų apygarda Nr. 22,,Palangos miestas,Akacijų gatvė,
Pajūrio rinkimų apygarda Nr. 22,,Palangos miestas,Aklinoji gatvė,
Pajūrio rinkimų apygarda Nr. 22,,Palangos miestas,Alksnių gatvė,
Pajūrio rinkimų apygarda Nr. 22,,Palangos miestas,Alyvų Tako gatvė,
Pajūrio rinkimų apygarda Nr. 22,,Palangos miestas,Anaičių gatvė,
Pajūrio rinkimų apygarda Nr. 22,,Palangos miestas,Aplinkkelio gatvė,
Pajūrio rinkimų apygarda Nr. 22,,Palangos miestas,Arklių gatvė,
Pajūrio rinkimų apygarda Nr. 22,,Palangos miestas,Audronašų gatvė,
Pajūrio rinkimų apygarda Nr. 22,,Palangos miestas,Audros gatvė,
Pajūrio rinkimų apygarda Nr. 22,,Palangos miestas,Aukštaičių gatvė,
Pajūrio rinkimų apygarda Nr. 22,,Palangos miestas,Austrinio gatvė,
Pajūrio rinkimų apygarda Nr. 22,,Palangos miestas,Austėjos gatvė,
Pajūrio rinkimų apygarda Nr. 22,,Palangos miestas,Aušros Tako gatvė,
Pajūrio rinkimų apygarda Nr. 22,,Palangos miestas,Aušros gatvė,
Pajūrio rinkimų apygarda Nr. 22,,Palangos miestas,Ašaralio gatvė,
Pajūrio rinkimų apygarda Nr. 22,,Palangos miestas,B. Oškinio gatvė,
Pajūrio rinkimų apygarda Nr. 22,,Palangos miestas,Baltijos aikštė,
Pajūrio rinkimų apygarda Nr. 22,,Palangos miestas,Baltų gatvė,
Pajūrio rinkimų apygarda Nr. 22,,Palangos miestas,Bangų gatvė,"13, 13A, 1-11 odd, 2-10 even"
Pajūrio rinkimų apygarda Nr. 22,,Palangos miestas,Bartų gatvė,
Pajūrio rinkimų apygarda Nr. 22,,Palangos miestas,Bebrų gatvė,
Pajūrio rinkimų apygarda Nr. 22,,Palangos miestas,Bendrovių gatvė,
Pajūrio rinkimų apygarda Nr. 22,,Palangos miestas,Beržų Tako gatvė,
Pajūrio rinkimų apygarda Nr. 22,,Palangos miestas,Bijūnų Tako gatvė,
Pajūrio rinkimų apygarda Nr. 22,,Palangos miestas,Birutės alėja,"29-56 odd, 1-25 odd"
Pajūrio rinkimų apygarda Nr. 22,,Palangos miestas,Bočių Sodų gatvė,
Pajūrio rinkimų apygarda Nr. 22,,Palangos miestas,Brukšvos gatvė,
Pajūrio rinkimų apygarda Nr. 22,,Palangos miestas,Būtingės Sodų gatvė,
Pajūrio rinkimų apygarda Nr. 22,,Palangos miestas,Būtingės gatvė,
Pajūrio rinkimų apygarda Nr. 22,,Palangos miestas,Darbo Sodų gatvė,
Pajūrio rinkimų apygarda Nr. 22,,Palangos miestas,Darbėnų Kelio gatvė,42
Pajūrio rinkimų apygarda Nr. 22,,Palangos miestas,Debesų gatvė,
Pajūrio rinkimų apygarda Nr. 22,,Palangos miestas,Diemiedžių Tako gatvė,
Pajūrio rinkimų apygarda Nr. 22,,Palangos miestas,Dobilų gatvė,
Pajūrio rinkimų apygarda Nr. 22,,Palangos miestas,Draugystės Tako gatvė,
Pajūrio rinkimų apygarda Nr. 22,,Palangos miestas,Drebulių gatvė,
Pajūrio rinkimų apygarda Nr. 22,,Palangos miestas,Druskininkų gatvė,"4-22 even, 1-19 odd"
Pajūrio rinkimų apygarda Nr. 22,,Palangos miestas,Dzūkų gatvė,
Pajūrio rinkimų apygarda Nr. 22,,Palangos miestas,Eglių gatvė,
Pajūrio rinkimų apygarda Nr. 22,,Palangos miestas,Elijos gatvė,
Pajūrio rinkimų apygarda Nr. 22,,Palangos miestas,Gabijos gatvė,
Pajūrio rinkimų apygarda Nr. 22,,Palangos miestas,Gandrų gatvė,
Pajūrio rinkimų apygarda Nr. 22,,Palangos miestas,Ganyklų gatvė,"6-28 even, 34, 5-69 odd"
Pajūrio rinkimų apygarda Nr. 22,,Palangos miestas,Garnių gatvė,
Pajūrio rinkimų apygarda Nr. 22,,Palangos miestas,Gedimino gatvė,
Pajūrio rinkimų apygarda Nr. 22,,Palangos miestas,Genio gatvė,
Pajūrio rinkimų apygarda Nr. 22,,Palangos miestas,Gervių gatvė,
Pajūrio rinkimų apygarda Nr. 22,,Palangos miestas,Gilių gatvė,
Pajūrio rinkimų apygarda Nr. 22,,Palangos miestas,Gintaro gatvė,"1-35 odd, 2-32 even, 37-51 odd, 34-50 even"
