institution,elderate,city,street,numbers
Aukštaitijos rinkimų apygarda Nr. 28,,Panevėžio miestas,Algirdo gatvė,"67- odd, 68- even, 1-11 odd, 2-28 even"
Aukštaitijos rinkimų apygarda Nr. 28,,Panevėžio miestas,Aukštaičių gatvė,"57- odd, 50- even, 1-11 odd, 2-8 even, 14-48 even"
Aukštaitijos rinkimų apygarda Nr. 28,,Panevėžio miestas,Bajoriškių gatvė,
Aukštaitijos rinkimų apygarda Nr. 28,,Panevėžio miestas,Beržų gatvė,"46B, 37- odd, 17-35 odd, 18-32 even"
Aukštaitijos rinkimų apygarda Nr. 28,,Panevėžio miestas,Daumėnų gatvė,
Aukštaitijos rinkimų apygarda Nr. 28,,Panevėžio miestas,Dzūkų gatvė,
Aukštaitijos rinkimų apygarda Nr. 28,,Panevėžio miestas,Gumbės gatvė,
Aukštaitijos rinkimų apygarda Nr. 28,,Panevėžio miestas,J. Basanavičiaus gatvė,"6-74 even, 33-61 odd, 67- odd"
Aukštaitijos rinkimų apygarda Nr. 28,,Panevėžio miestas,J. Biliūno gatvė,
Aukštaitijos rinkimų apygarda Nr. 28,,Panevėžio miestas,J. Miltinio gatvė,14-48 even
Aukštaitijos rinkimų apygarda Nr. 28,,Panevėžio miestas,J. Tallat Kelpšos gatvė,
Aukštaitijos rinkimų apygarda Nr. 28,,Panevėžio miestas,Jaunimo gatvė,
Aukštaitijos rinkimų apygarda Nr. 28,,Panevėžio miestas,Jotvingių gatvė,
Aukštaitijos rinkimų apygarda Nr. 28,,Panevėžio miestas,Kapsų gatvė,
Aukštaitijos rinkimų apygarda Nr. 28,,Panevėžio miestas,Kuršių gatvė,
Aukštaitijos rinkimų apygarda Nr. 28,,Panevėžio miestas,Kęstučio gatvė,"15- odd, 14- even"
Aukštaitijos rinkimų apygarda Nr. 28,,Panevėžio miestas,Lakštingalų gatvė,
Aukštaitijos rinkimų apygarda Nr. 28,,Panevėžio miestas,Lauko gatvė,
Aukštaitijos rinkimų apygarda Nr. 28,,Panevėžio miestas,Margių gatvė,"27- odd, 30- even"
Aukštaitijos rinkimų apygarda Nr. 28,,Panevėžio miestas,Marių gatvė,
Aukštaitijos rinkimų apygarda Nr. 28,,Panevėžio miestas,Pajuostės plentas,
Aukštaitijos rinkimų apygarda Nr. 28,,Panevėžio miestas,Prūsų gatvė,
Aukštaitijos rinkimų apygarda Nr. 28,,Panevėžio miestas,Rambyno gatvė,"13- odd, 16- even"
Aukštaitijos rinkimų apygarda Nr. 28,,Panevėžio miestas,Ramygalos gatvė,"13-95 odd, 97- odd, 110- even"
Aukštaitijos rinkimų apygarda Nr. 28,,Panevėžio miestas,Ryto gatvė,
Aukštaitijos rinkimų apygarda Nr. 28,,Panevėžio miestas,Sirupio gatvė,
Aukštaitijos rinkimų apygarda Nr. 28,,Panevėžio miestas,Spaustuvės gatvė,
Aukštaitijos rinkimų apygarda Nr. 28,,Panevėžio miestas,Staniūnų gatvė,"1-31 odd, 33- odd, 36- even"
Aukštaitijos rinkimų apygarda Nr. 28,,Panevėžio miestas,Sėlių gatvė,
Aukštaitijos rinkimų apygarda Nr. 28,,Panevėžio miestas,Trakų gatvė,
Aukštaitijos rinkimų apygarda Nr. 28,,Panevėžio miestas,V. Montvilos gatvė,
Aukštaitijos rinkimų apygarda Nr. 28,,Panevėžio miestas,Velžio Kelio gatvė,
Aukštaitijos rinkimų apygarda Nr. 28,,Panevėžio miestas,Vilniaus gatvė,"43- odd, 42- even, 4-8 even"
Aukštaitijos rinkimų apygarda Nr. 28,,Panevėžio miestas,Vytauto gatvė,"35- odd, 30- even"
Aukštaitijos rinkimų apygarda Nr. 28,,Panevėžio miestas,Vyčių gatvė,
Aukštaitijos rinkimų apygarda Nr. 28,,Panevėžio miestas,Zanavykų gatvė,
Aukštaitijos rinkimų apygarda Nr. 28,,Panevėžio miestas,Šviesos Tako gatvė,
Aukštaitijos rinkimų apygarda Nr. 28,,Panevėžio miestas,Žagienio gatvė,
Aukštaitijos rinkimų apygarda Nr. 28,,Panevėžio miestas,Žalioji gatvė,
Aukštaitijos rinkimų apygarda Nr. 28,,Panevėžio miestas,Žemaitės gatvė,
Aukštaitijos rinkimų apygarda Nr. 28,,Panevėžio miestas,Žemaičių gatvė,
Aukštaitijos rinkimų apygarda Nr. 28,,Panevėžio miestas,Žiemgalių gatvė,
Nevėžio rinkimų apygarda Nr. 26,,Panevėžio miestas,A. Baranausko gatvė,"1- odd, 2-36 even, 38- even"
Nevėžio rinkimų apygarda Nr. 26,,Panevėžio miestas,A. Gudonio gatvė,
Nevėžio rinkimų apygarda Nr. 26,,Panevėžio miestas,A. Jakšto gatvė,
Nevėžio rinkimų apygarda Nr. 26,,Panevėžio miestas,A. Kisino gatvė,
Nevėžio rinkimų apygarda Nr. 26,,Panevėžio miestas,A. Mackevičiaus gatvė,
Nevėžio rinkimų apygarda Nr. 26,,Panevėžio miestas,A. Smetonos gatvė,"39- odd, 32- even, 1-37 odd, 2-30 even"
Nevėžio rinkimų apygarda Nr. 26,,Panevėžio miestas,A. Strazdo gatvė,
Nevėžio rinkimų apygarda Nr. 26,,Panevėžio miestas,A. Vienuolio gatvė,
Nevėžio rinkimų apygarda Nr. 26,,Panevėžio miestas,Aguonų I skersgatvis,
Nevėžio rinkimų apygarda Nr. 26,,Panevėžio miestas,Aguonų II skersgatvis,
Nevėžio rinkimų apygarda Nr. 26,,Panevėžio miestas,Aguonų gatvė,
Nevėžio rinkimų apygarda Nr. 26,,Panevėžio miestas,Aido gatvė,
Nevėžio rinkimų apygarda Nr. 26,,Panevėžio miestas,Aldonos gatvė,
Nevėžio rinkimų apygarda Nr. 26,,Panevėžio miestas,Algirdo gatvė,"13-61 odd, 30-66 even"
Nevėžio rinkimų apygarda Nr. 26,,Panevėžio miestas,Alksnyno gatvė,
Nevėžio rinkimų apygarda Nr. 26,,Panevėžio miestas,Alyvų gatvė,
Nevėžio rinkimų apygarda Nr. 26,,Panevėžio miestas,Alyvų skersgatvis,
Nevėžio rinkimų apygarda Nr. 26,,Panevėžio miestas,Amerikos gatvė,"1-67 odd, 2-58 even, 69- odd, 60- even"
Nevėžio rinkimų apygarda Nr. 26,,Panevėžio miestas,Anykščių gatvė,
Nevėžio rinkimų apygarda Nr. 26,,Panevėžio miestas,Apynių gatvė,
Nevėžio rinkimų apygarda Nr. 26,,Panevėžio miestas,Artojų gatvė,
Nevėžio rinkimų apygarda Nr. 26,,Panevėžio miestas,Astrų gatvė,
Nevėžio rinkimų apygarda Nr. 26,,Panevėžio miestas,Audėjų gatvė,
Nevėžio rinkimų apygarda Nr. 26,,Panevėžio miestas,Aukštaičių gatvė,13-55 odd
Nevėžio rinkimų apygarda Nr. 26,,Panevėžio miestas,Aušros gatvė,
Nevėžio rinkimų apygarda Nr. 26,,Panevėžio miestas,B. Sruogos gatvė,
Nevėžio rinkimų apygarda Nr. 26,,Panevėžio miestas,Basliupio gatvė,
Nevėžio rinkimų apygarda Nr. 26,,Panevėžio miestas,Berčiūnų gatvė,
Nevėžio rinkimų apygarda Nr. 26,,Panevėžio miestas,Bijūnų gatvė,"1-11 odd, 41- odd, 2-10 even, 13-39 odd, 12- even"
Nevėžio rinkimų apygarda Nr. 26,,Panevėžio miestas,Birutės gatvė,
Nevėžio rinkimų apygarda Nr. 26,,Panevėžio miestas,Bobkalnio gatvė,
Nevėžio rinkimų apygarda Nr. 26,,Panevėžio miestas,Bruknynės gatvė,
Nevėžio rinkimų apygarda Nr. 26,,Panevėžio miestas,D. Poškos gatvė,
Nevėžio rinkimų apygarda Nr. 26,,Panevėžio miestas,Danutės gatvė,"1-27 odd, 2-16 even"
Nevėžio rinkimų apygarda Nr. 26,,Panevėžio miestas,Darbininkų gatvė,
Nevėžio rinkimų apygarda Nr. 26,,Panevėžio miestas,Darbo aikštė,
Nevėžio rinkimų apygarda Nr. 26,,Panevėžio miestas,Dubogirio gatvė,
Nevėžio rinkimų apygarda Nr. 26,,Panevėžio miestas,E. Liutkevičiaus gatvė,
Nevėžio rinkimų apygarda Nr. 26,,Panevėžio miestas,Eglyno gatvė,
Nevėžio rinkimų apygarda Nr. 26,,Panevėžio miestas,Eiguvos gatvė,
Nevėžio rinkimų apygarda Nr. 26,,Panevėžio miestas,Elektronikos gatvė,
Nevėžio rinkimų apygarda Nr. 26,,Panevėžio miestas,Elektros gatvė,
Nevėžio rinkimų apygarda Nr. 26,,Panevėžio miestas,G. Petkevičaitės-Bitės gatvė,"1-33 odd, 39- odd, 2-34 even, 38- even"
