institution,elderate,city,street,numbers
Aukštaitijos rinkimų apygarda Nr. 28,,,Adomavos vs.,
Aukštaitijos rinkimų apygarda Nr. 28,,,Alantos vs.,
Aukštaitijos rinkimų apygarda Nr. 28,,,Anapolio vs.,
Aukštaitijos rinkimų apygarda Nr. 28,,,Apušoto vs.,
Aukštaitijos rinkimų apygarda Nr. 28,,,Aukštadvario vs.,
Aukštaitijos rinkimų apygarda Nr. 28,,,Bajoriūniškio vs.,
Aukštaitijos rinkimų apygarda Nr. 28,,,Bauriškio vs.,
Aukštaitijos rinkimų apygarda Nr. 28,,,Bernatonių vs.,
Aukštaitijos rinkimų apygarda Nr. 28,,,Beržytės vs.,
Aukštaitijos rinkimų apygarda Nr. 28,,,Birentiškio vs.,
Aukštaitijos rinkimų apygarda Nr. 28,,,Butėnų vs.,
Aukštaitijos rinkimų apygarda Nr. 28,,,Datūniškio vs.,
Aukštaitijos rinkimų apygarda Nr. 28,,,Degenių vs.,
Aukštaitijos rinkimų apygarda Nr. 28,,,Domažiškio vs.,
Aukštaitijos rinkimų apygarda Nr. 28,,,Garšvynų vs.,
Aukštaitijos rinkimų apygarda Nr. 28,,,Girelės vs.,
Aukštaitijos rinkimų apygarda Nr. 28,,,Girsteikių vs.,
Aukštaitijos rinkimų apygarda Nr. 28,,,Gristupio vs.,
Aukštaitijos rinkimų apygarda Nr. 28,,,Gustiškio vs.,
Aukštaitijos rinkimų apygarda Nr. 28,,,Jaciniškio vs.,
Aukštaitijos rinkimų apygarda Nr. 28,,,Kalnuotės vs.,
Aukštaitijos rinkimų apygarda Nr. 28,,,Karbonkos vs.,
Aukštaitijos rinkimų apygarda Nr. 28,,,Krekenavos vs.,
Aukštaitijos rinkimų apygarda Nr. 28,,,Lukščių vs.,
Aukštaitijos rinkimų apygarda Nr. 28,,,Maletiškio vs.,
Aukštaitijos rinkimų apygarda Nr. 28,,,Marijonavos vs.,
Aukštaitijos rinkimų apygarda Nr. 28,,,Mieliškių vs.,
Aukštaitijos rinkimų apygarda Nr. 28,,,Miškinių vs.,
Aukštaitijos rinkimų apygarda Nr. 28,,,Mėtytinių vs.,
Aukštaitijos rinkimų apygarda Nr. 28,,,Navapolio vs.,
Aukštaitijos rinkimų apygarda Nr. 28,,,Nendrytės vs.,
Aukštaitijos rinkimų apygarda Nr. 28,,,Paalantės vs.,
Aukštaitijos rinkimų apygarda Nr. 28,,,Paalkupio vs.,
Aukštaitijos rinkimų apygarda Nr. 28,,,Paaptekio vs.,
Aukštaitijos rinkimų apygarda Nr. 28,,,Padubės vs.,
Aukštaitijos rinkimų apygarda Nr. 28,,,Paežerio vs.,
Aukštaitijos rinkimų apygarda Nr. 28,,,Pagirių vs.,
Aukštaitijos rinkimų apygarda Nr. 28,,,Pakarpinės vs.,
Aukštaitijos rinkimų apygarda Nr. 28,,,Pamargės vs.,
Aukštaitijos rinkimų apygarda Nr. 28,,,Papartynės vs.,
Aukštaitijos rinkimų apygarda Nr. 28,,,Pilipuščių vs.,
Aukštaitijos rinkimų apygarda Nr. 28,,,Plakiškių vs.,
Aukštaitijos rinkimų apygarda Nr. 28,,,Raguvos vs.,
Aukštaitijos rinkimų apygarda Nr. 28,,,Raguvėlės gst.,
Aukštaitijos rinkimų apygarda Nr. 28,,,Ramygala,
Aukštaitijos rinkimų apygarda Nr. 28,,,Retynės vs.,
Aukštaitijos rinkimų apygarda Nr. 28,,,Ringio vs.,
Aukštaitijos rinkimų apygarda Nr. 28,,,Simuliškio vs.,
Aukštaitijos rinkimų apygarda Nr. 28,,,Slabados vs.,
Aukštaitijos rinkimų apygarda Nr. 28,,,Smiltynės vs.,
Aukštaitijos rinkimų apygarda Nr. 28,,,Steponiškio vs.,
Aukštaitijos rinkimų apygarda Nr. 28,,,Stetiškių vs.,
Aukštaitijos rinkimų apygarda Nr. 28,,,Taruškų vs.,
Aukštaitijos rinkimų apygarda Nr. 28,,,Uliesio vs.,
Aukštaitijos rinkimų apygarda Nr. 28,,,Uoksų vs.,
Aukštaitijos rinkimų apygarda Nr. 28,,,Užbutėnio vs.,
Aukštaitijos rinkimų apygarda Nr. 28,,,Varyklų vs.,
Aukštaitijos rinkimų apygarda Nr. 28,,,Varčių vs.,
Aukštaitijos rinkimų apygarda Nr. 28,,,Varšaukos vs.,
Aukštaitijos rinkimų apygarda Nr. 28,,,Veliapolio vs.,
Aukštaitijos rinkimų apygarda Nr. 28,,,Vilkiškio vs.,
Aukštaitijos rinkimų apygarda Nr. 28,,,Černiauskynės vs.,
Aukštaitijos rinkimų apygarda Nr. 28,,,Šambalioniškio vs.,
Aukštaitijos rinkimų apygarda Nr. 28,,,Šiekštinių vs.,
Aukštaitijos rinkimų apygarda Nr. 28,,,Šiurpių vs.,
Aukštaitijos rinkimų apygarda Nr. 28,,Akmenytės kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Alančių kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Aleksandravos kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Algirdavos kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Anitavos kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Antanavos kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Apynojų kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Atgailos kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Augustavos kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Aukštadvario kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Auriliškių kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Baibokėlių kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Baibokų kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Baimainių kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Bajoriškių kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Bajoriškėlių kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Barinės kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Barklainių I kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Barklainių II kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Barsiukynės kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Bartašiūnų kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Bartkūnų kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Batrakų kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Bauriškio kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Bedrių kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Berniūnų kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Berčiūnų kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Beržytės kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Biliūnų kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Biručių kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Bobiniškių kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Bokštų kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Briežvalkio kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Budrionių kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Bukaltiškių kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Bulbinavos kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Burvelių kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Butkiškių kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Butkūnų kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Butrimonių kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Bučių kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Dailidiškio kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Daniliškio kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Daniūnų kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Daubarų kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Daugėliškio kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Daukšynės kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Daumėnų kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Debikonių kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Degionių kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Dembavos kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Dementonių kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Dlužniavos kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Dobrovolės kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Drąseikių kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Dubų kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Dumlaukių kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Dvarininkų kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Dūdelėnų kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Dūdonių kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Džiugailių kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Eigirdų kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Erimaičių kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Fermos kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Gabulų kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Garuckų kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Garšvių kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Geležių kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Genėtinių kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Giedraitinės kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Gintautų kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Girelės kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Gitėnų kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Glebauskų kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Glitėnų kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Grigalių kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Gringalių kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Griniūnų kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Grinkų kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Gruzdiškio kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Grąžčių kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Gudeliukų kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Gudelių I kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Gudelių II kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Gudžiūnėlių kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Gustonių kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Gėlainių kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Ibutonių kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Iciūnų kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Išlaužų kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Janapolio kaimas,,
Aukštaitijos rinkimų apygarda Nr. 28,,Janionių kaimas,,
