institution,elderate,city,street,numbers
Pasvalio rajono savivaldybė,,,,
Pasvalio rajono savivaldybė Daujėnų seniūnija,,Baliečių kaimas,,
Pasvalio rajono savivaldybė Daujėnų seniūnija,,Baluškių kaimas,,
Pasvalio rajono savivaldybė Daujėnų seniūnija,,Balčiškių kaimas,,
Pasvalio rajono savivaldybė Daujėnų seniūnija,,Barklainių kaimas,,
Pasvalio rajono savivaldybė Daujėnų seniūnija,,Baukų kaimas,,
Pasvalio rajono savivaldybė Daujėnų seniūnija,,Daujėnų miestelis,Baluškių gatvė,
Pasvalio rajono savivaldybė Daujėnų seniūnija,,Daujėnų miestelis,Daujėnėlių gatvė,
Pasvalio rajono savivaldybė Daujėnų seniūnija,,Daujėnų miestelis,Dirbtuvių gatvė,
Pasvalio rajono savivaldybė Daujėnų seniūnija,,Daujėnų miestelis,Kalno gatvė,
Pasvalio rajono savivaldybė Daujėnų seniūnija,,Daujėnų miestelis,Klevų gatvė,
Pasvalio rajono savivaldybė Daujėnų seniūnija,,Daujėnų miestelis,Liukpetrių gatvė,
Pasvalio rajono savivaldybė Daujėnų seniūnija,,Daujėnų miestelis,Orijos gatvė,
Pasvalio rajono savivaldybė Daujėnų seniūnija,,Daujėnų miestelis,Parko gatvė,
Pasvalio rajono savivaldybė Daujėnų seniūnija,,Daujėnų miestelis,Pasvalio gatvė,
Pasvalio rajono savivaldybė Daujėnų seniūnija,,Daujėnų miestelis,Pirties gatvė,
Pasvalio rajono savivaldybė Daujėnų seniūnija,,Daujėnų miestelis,Porijų gatvė,
Pasvalio rajono savivaldybė Daujėnų seniūnija,,Daujėnų miestelis,Smilgių gatvė,
Pasvalio rajono savivaldybė Daujėnų seniūnija,,Daujėnų miestelis,Stoties gatvė,
Pasvalio rajono savivaldybė Daujėnų seniūnija,,Daujėnų miestelis,Ugniagesių gatvė,
Pasvalio rajono savivaldybė Daujėnų seniūnija,,Dirvoniškio kaimas,,
Pasvalio rajono savivaldybė Daujėnų seniūnija,,Dvareliškių viensėdis,,
Pasvalio rajono savivaldybė Daujėnų seniūnija,,Galinių kaimas,,
Pasvalio rajono savivaldybė Daujėnų seniūnija,,Girsūdų kaimas,Baliečių gatvė,
Pasvalio rajono savivaldybė Daujėnų seniūnija,,Girsūdų kaimas,Karautės gatvė,
Pasvalio rajono savivaldybė Daujėnų seniūnija,,Girsūdų kaimas,Klevų gatvė,
Pasvalio rajono savivaldybė Daujėnų seniūnija,,Girsūdų kaimas,Lauko gatvė,
Pasvalio rajono savivaldybė Daujėnų seniūnija,,Girsūdų kaimas,Liepų gatvė,
Pasvalio rajono savivaldybė Daujėnų seniūnija,,Girsūdų kaimas,Pakrantės gatvė,
Pasvalio rajono savivaldybė Daujėnų seniūnija,,Girsūdų kaimas,Parko gatvė,
Pasvalio rajono savivaldybė Daujėnų seniūnija,,Girsūdų kaimas,Pasvalio gatvė,
Pasvalio rajono savivaldybė Daujėnų seniūnija,,Girsūdų kaimas,Patrakės gatvė,
Pasvalio rajono savivaldybė Daujėnų seniūnija,,Girsūdų kaimas,Topolių gatvė,
Pasvalio rajono savivaldybė Daujėnų seniūnija,,Girsūdų kaimas,Šermukšnių gatvė,
