institution,elderate,city,street,numbers
Plungės rajono savivaldybė,,,,
Plungės rajono savivaldybė Alsėdžių seniūnija,,Aleksių kaimas,Pušyno gatvė,
Plungės rajono savivaldybė Alsėdžių seniūnija,,Alsėdžių miestelis,Aplinkkelio gatvė,
Plungės rajono savivaldybė Alsėdžių seniūnija,,Alsėdžių miestelis,Bažnyčios gatvė,
Plungės rajono savivaldybė Alsėdžių seniūnija,,Alsėdžių miestelis,Draugystės gatvė,
Plungės rajono savivaldybė Alsėdžių seniūnija,,Alsėdžių miestelis,Gadunavo gatvė,
Plungės rajono savivaldybė Alsėdžių seniūnija,,Alsėdžių miestelis,Gegrėnų gatvė,
Plungės rajono savivaldybė Alsėdžių seniūnija,,Alsėdžių miestelis,Jurgaičių gatvė,
Plungės rajono savivaldybė Alsėdžių seniūnija,,Alsėdžių miestelis,Kūbakių gatvė,
Plungės rajono savivaldybė Alsėdžių seniūnija,,Alsėdžių miestelis,Lankos gatvė,
Plungės rajono savivaldybė Alsėdžių seniūnija,,Alsėdžių miestelis,Lieplaukės gatvė,
Plungės rajono savivaldybė Alsėdžių seniūnija,,Alsėdžių miestelis,Liepų gatvė,
Plungės rajono savivaldybė Alsėdžių seniūnija,,Alsėdžių miestelis,Lydimų gatvė,
Plungės rajono savivaldybė Alsėdžių seniūnija,,Alsėdžių miestelis,Makščių gatvė,
Plungės rajono savivaldybė Alsėdžių seniūnija,,Alsėdžių miestelis,Paupio gatvė,
Plungės rajono savivaldybė Alsėdžių seniūnija,,Alsėdžių miestelis,Platelių gatvė,
Plungės rajono savivaldybė Alsėdžių seniūnija,,Alsėdžių miestelis,Pušyno gatvė,
Plungės rajono savivaldybė Alsėdžių seniūnija,,Alsėdžių miestelis,Sruojos gatvė,
Plungės rajono savivaldybė Alsėdžių seniūnija,,Alsėdžių miestelis,Telšių gatvė,
Plungės rajono savivaldybė Alsėdžių seniūnija,,Alsėdžių miestelis,Tylos gatvė,
Plungės rajono savivaldybė Alsėdžių seniūnija,,Alsėdžių miestelis,Varduvos gatvė,
Plungės rajono savivaldybė Alsėdžių seniūnija,,Alsėdžių miestelis,Žalioji gatvė,
Plungės rajono savivaldybė Alsėdžių seniūnija,,Alsėdžių miestelis,Žvirblaičių gatvė,
Plungės rajono savivaldybė Alsėdžių seniūnija,,Dišlių kaimas,Draugystės gatvė,
Plungės rajono savivaldybė Alsėdžių seniūnija,,Dišlių kaimas,Pušyno gatvė,
Plungės rajono savivaldybė Alsėdžių seniūnija,,Dišlių kaimas,Šilo gatvė,
Plungės rajono savivaldybė Alsėdžių seniūnija,,Dišlių kaimas,Žolyno gatvė,
Plungės rajono savivaldybė Alsėdžių seniūnija,,Eivydų kaimas,Atžalyno gatvė,
Plungės rajono savivaldybė Alsėdžių seniūnija,,Eivydų kaimas,Beržų gatvė,
Plungės rajono savivaldybė Alsėdžių seniūnija,,Eivydų kaimas,Daubos gatvė,
Plungės rajono savivaldybė Alsėdžių seniūnija,,Eivydų kaimas,Lieplaukės gatvė,
Plungės rajono savivaldybė Alsėdžių seniūnija,,Eivydų kaimas,Vingio gatvė,
Plungės rajono savivaldybė Alsėdžių seniūnija,,Irkinių kaimas,Beržų gatvė,
Plungės rajono savivaldybė Alsėdžių seniūnija,,Irkinių kaimas,Ežero gatvė,
Plungės rajono savivaldybė Alsėdžių seniūnija,,Irkinių kaimas,Paežerės gatvė,
Plungės rajono savivaldybė Alsėdžių seniūnija,,Irkinių kaimas,Plento gatvė,
Plungės rajono savivaldybė Alsėdžių seniūnija,,Irkinių kaimas,Šiaulių Plento gatvė,
Plungės rajono savivaldybė Alsėdžių seniūnija,,Jurgaičių kaimas,Jurgaitinės gatvė,
Plungės rajono savivaldybė Alsėdžių seniūnija,,Jurgaičių kaimas,Kūbakių gatvė,
Plungės rajono savivaldybė Alsėdžių seniūnija,,Krapštikių kaimas,Gegrėnų gatvė,
Plungės rajono savivaldybė Alsėdžių seniūnija,,Krapštikių kaimas,Karjero gatvė,
Plungės rajono savivaldybė Alsėdžių seniūnija,,Krapštikių kaimas,Krapštikių gatvė,
Plungės rajono savivaldybė Alsėdžių seniūnija,,Krapštikių kaimas,Miško gatvė,
Plungės rajono savivaldybė Alsėdžių seniūnija,,Krapštikių kaimas,Smilgų gatvė,
Plungės rajono savivaldybė Alsėdžių seniūnija,,Makščių kaimas,Aplinkkelio gatvė,
Plungės rajono savivaldybė Alsėdžių seniūnija,,Makščių kaimas,Draugystės gatvė,
Plungės rajono savivaldybė Alsėdžių seniūnija,,Makščių kaimas,Gėlių gatvė,
Plungės rajono savivaldybė Alsėdžių seniūnija,,Makščių kaimas,Kalvos gatvė,
Plungės rajono savivaldybė Alsėdžių seniūnija,,Makščių kaimas,Vienkiemio gatvė,
Plungės rajono savivaldybė Alsėdžių seniūnija,,Makščių kaimas,Šlaito gatvė,
Plungės rajono savivaldybė Alsėdžių seniūnija,,Pelenių kaimas,Gegrėnų gatvė,
Plungės rajono savivaldybė Alsėdžių seniūnija,,Pelenių kaimas,Varduvos gatvė,
Plungės rajono savivaldybė Alsėdžių seniūnija,,Skirpsčių kaimas,Alkupio gatvė,
Plungės rajono savivaldybė Alsėdžių seniūnija,,Skirpsčių kaimas,Gegrėnų gatvė,
Plungės rajono savivaldybė Alsėdžių seniūnija,,Skirpsčių kaimas,Gėlių gatvė,
Plungės rajono savivaldybė Alsėdžių seniūnija,,Skirpsčių kaimas,Karjero gatvė,
Plungės rajono savivaldybė Alsėdžių seniūnija,,Skirpsčių kaimas,Krapštikių gatvė,
Plungės rajono savivaldybė Alsėdžių seniūnija,,Skirpsčių kaimas,Miško gatvė,
Plungės rajono savivaldybė Alsėdžių seniūnija,,Skirpsčių kaimas,Platelių gatvė,
Plungės rajono savivaldybė Alsėdžių seniūnija,,Ylių kaimas,Jurgaitinės gatvė,
Plungės rajono savivaldybė Alsėdžių seniūnija,,Ylių kaimas,Kūbakių gatvė,
Plungės rajono savivaldybė Alsėdžių seniūnija,,Ylių kaimas,Varduvos gatvė,
Plungės rajono savivaldybė Alsėdžių seniūnija,,Šonių kaimas,Aplinkkelio gatvė,
Plungės rajono savivaldybė Alsėdžių seniūnija,,Šonių kaimas,Pievų gatvė,
