institution,elderate,city,street,numbers
Prienų rajono savivaldybė,,,,
Prienų rajono savivaldybė Ašmintos seniūnija,,Alksniakiemio kaimas,,
Prienų rajono savivaldybė Ašmintos seniūnija,,Antakalnio kaimas,,
Prienų rajono savivaldybė Ašmintos seniūnija,,Apušoto kaimas,,
Prienų rajono savivaldybė Ašmintos seniūnija,,Ašmintos kaimas,Dvaro gatvė,
Prienų rajono savivaldybė Ašmintos seniūnija,,Ašmintos kaimas,Parko gatvė,
Prienų rajono savivaldybė Ašmintos seniūnija,,Ašmintos kaimas,Vingio gatvė,
Prienų rajono savivaldybė Ašmintos seniūnija,,Bagrėno kaimas,,
Prienų rajono savivaldybė Ašmintos seniūnija,,Bačkininkų kaimas,,
Prienų rajono savivaldybė Ašmintos seniūnija,,Davaitbalio kaimas,,
Prienų rajono savivaldybė Ašmintos seniūnija,,Giniūnų kaimas,,
Prienų rajono savivaldybė Ašmintos seniūnija,,Ignacavos kaimas,,
Prienų rajono savivaldybė Ašmintos seniūnija,,Kalvių kaimas,,
Prienų rajono savivaldybė Ašmintos seniūnija,,Liepaloto kaimas,,
Prienų rajono savivaldybė Ašmintos seniūnija,,Malinavo kaimas,,
Prienų rajono savivaldybė Ašmintos seniūnija,,Mačiūnų kaimas,,
Prienų rajono savivaldybė Ašmintos seniūnija,,Naujininkų kaimas,,
Prienų rajono savivaldybė Ašmintos seniūnija,,Pabališkių kaimas,,
Prienų rajono savivaldybė Ašmintos seniūnija,,Pagaršvio kaimas,,
Prienų rajono savivaldybė Ašmintos seniūnija,,Patrakiemio kaimas,,
Prienų rajono savivaldybė Ašmintos seniūnija,,Pašventupio kaimas,,
Prienų rajono savivaldybė Ašmintos seniūnija,,Pociūnų kaimas,,
Prienų rajono savivaldybė Ašmintos seniūnija,,Pošvenčio kaimas,,
Prienų rajono savivaldybė Ašmintos seniūnija,,Rūdupio kaimas,,
Prienų rajono savivaldybė Ašmintos seniūnija,,Strielčių kaimas,Alyvų gatvė,
Prienų rajono savivaldybė Ašmintos seniūnija,,Strielčių kaimas,Beržų gatvė,
Prienų rajono savivaldybė Ašmintos seniūnija,,Strielčių kaimas,Darželio gatvė,
Prienų rajono savivaldybė Ašmintos seniūnija,,Strielčių kaimas,Liepų gatvė,
Prienų rajono savivaldybė Ašmintos seniūnija,,Vangų kaimas,,
Prienų rajono savivaldybė Ašmintos seniūnija,,Važatkiemio kaimas,,
Prienų rajono savivaldybė Ašmintos seniūnija,,Šmitiškių kaimas,,
Prienų rajono savivaldybė Ašmintos seniūnija,,Žarijų kaimas,,
Prienų rajono savivaldybė Balbieriškio seniūnija,,Aukštojo Balbieriškio kaimas,,
Prienų rajono savivaldybė Balbieriškio seniūnija,,Balbieriškio miestelis,Jaunimo gatvė,
Prienų rajono savivaldybė Balbieriškio seniūnija,,Balbieriškio miestelis,Kalnų gatvė,
Prienų rajono savivaldybė Balbieriškio seniūnija,,Balbieriškio miestelis,Klevų gatvė,
