institution,elderate,city,street,numbers
Radviliškio rajono savivaldybė,,,,
Radviliškio rajono savivaldybė Aukštelkų seniūnija,,Arimaičių kaimas,Ežero gatvė,
Radviliškio rajono savivaldybė Aukštelkų seniūnija,,Aukštelkų kaimas,Draugystės gatvė,
Radviliškio rajono savivaldybė Aukštelkų seniūnija,,Aukštelkų kaimas,Ežero gatvė,
Radviliškio rajono savivaldybė Aukštelkų seniūnija,,Aukštelkų kaimas,Girininkijos gatvė,
Radviliškio rajono savivaldybė Aukštelkų seniūnija,,Aukštelkų kaimas,Karžygių gatvė,
Radviliškio rajono savivaldybė Aukštelkų seniūnija,,Aukštelkų kaimas,Klevų gatvė,
Radviliškio rajono savivaldybė Aukštelkų seniūnija,,Aukštelkų kaimas,Kriaukenų gatvė,
Radviliškio rajono savivaldybė Aukštelkų seniūnija,,Aukštelkų kaimas,Lauko gatvė,
Radviliškio rajono savivaldybė Aukštelkų seniūnija,,Aukštelkų kaimas,Liaudiškių gatvė,
Radviliškio rajono savivaldybė Aukštelkų seniūnija,,Aukštelkų kaimas,Liepų gatvė,
Radviliškio rajono savivaldybė Aukštelkų seniūnija,,Aukštelkų kaimas,Mažaičių gatvė,
Radviliškio rajono savivaldybė Aukštelkų seniūnija,,Aukštelkų kaimas,Miško gatvė,
Radviliškio rajono savivaldybė Aukštelkų seniūnija,,Aukštelkų kaimas,Naujoji gatvė,
Radviliškio rajono savivaldybė Aukštelkų seniūnija,,Aukštelkų kaimas,Pirties gatvė,
Radviliškio rajono savivaldybė Aukštelkų seniūnija,,Aukštelkų kaimas,Purienų gatvė,
Radviliškio rajono savivaldybė Aukštelkų seniūnija,,Aukštelkų kaimas,Stadiono gatvė,
Radviliškio rajono savivaldybė Aukštelkų seniūnija,,Aukštelkų kaimas,Taikos gatvė,
Radviliškio rajono savivaldybė Aukštelkų seniūnija,,Aukštelkų kaimas,Užuožerių gatvė,
Radviliškio rajono savivaldybė Aukštelkų seniūnija,,Aukštelkų kaimas,Vyšnių gatvė,
Radviliškio rajono savivaldybė Aukštelkų seniūnija,,Aukštelkų kaimas,Vėzgės gatvė,
Radviliškio rajono savivaldybė Aukštelkų seniūnija,,Aukštelkų kaimas,Žalioji gatvė,
Radviliškio rajono savivaldybė Aukštelkų seniūnija,,Avietinės kaimas,,
Radviliškio rajono savivaldybė Aukštelkų seniūnija,,Birjočių kaimas,,
Radviliškio rajono savivaldybė Aukštelkų seniūnija,,Eibariškių kaimas,,
Radviliškio rajono savivaldybė Aukštelkų seniūnija,,Gražionių kaimas,L. Radėno gatvė,
Radviliškio rajono savivaldybė Aukštelkų seniūnija,,Kalnelio Gražionių kaimas,Beržų gatvė,
Radviliškio rajono savivaldybė Aukštelkų seniūnija,,Kalnelio Gražionių kaimas,Kaštonų gatvė,
Radviliškio rajono savivaldybė Aukštelkų seniūnija,,Kalnelio Gražionių kaimas,Liepų gatvė,
Radviliškio rajono savivaldybė Aukštelkų seniūnija,,Kalnelio Gražionių kaimas,Pievų gatvė,
Radviliškio rajono savivaldybė Aukštelkų seniūnija,,Kalnelio Gražionių kaimas,Taikos gatvė,
Radviliškio rajono savivaldybė Aukštelkų seniūnija,,Kalnelio Gražionių kaimas,Tulpių gatvė,
Radviliškio rajono savivaldybė Aukštelkų seniūnija,,Karžygių kaimas,,
Radviliškio rajono savivaldybė Aukštelkų seniūnija,,Kaulinių kaimas,Gedimino gatvė,
Radviliškio rajono savivaldybė Aukštelkų seniūnija,,Kaulinių kaimas,Kaulinių gatvė,
Radviliškio rajono savivaldybė Aukštelkų seniūnija,,Kaulinių kaimas,Mėlidų gatvė,
Radviliškio rajono savivaldybė Aukštelkų seniūnija,,Kriaukėnų kaimas,,
Radviliškio rajono savivaldybė Aukštelkų seniūnija,,Liaudiškių kaimas,Liaudiškių gatvė,
Radviliškio rajono savivaldybė Aukštelkų seniūnija,,Mažaičių kaimas,Dvaro gatvė,
Radviliškio rajono savivaldybė Aukštelkų seniūnija,,Mažaičių kaimas,Mažaičių gatvė,
Radviliškio rajono savivaldybė Aukštelkų seniūnija,,Mažaičių kaimas,Vėzgės gatvė,
Radviliškio rajono savivaldybė Aukštelkų seniūnija,,Mėlidų kaimas,,
Radviliškio rajono savivaldybė Aukštelkų seniūnija,,Paobelių kaimas,,
Radviliškio rajono savivaldybė Aukštelkų seniūnija,,Rukaičių kaimas,,
Radviliškio rajono savivaldybė Aukštelkų seniūnija,,Rupliškio viensėdis,,
Radviliškio rajono savivaldybė Aukštelkų seniūnija,,Sedūnų kaimas,,
Radviliškio rajono savivaldybė Aukštelkų seniūnija,,Žironų kaimas,,
Radviliškio rajono savivaldybė Baisogalos seniūnija,,Andriūnų kaimas,,
Radviliškio rajono savivaldybė Baisogalos seniūnija,,Augmėnų kaimas,Mažoji gatvė,
Radviliškio rajono savivaldybė Baisogalos seniūnija,,Augmėnų kaimas,Tuopų gatvė,
Radviliškio rajono savivaldybė Baisogalos seniūnija,,Augmėnų kaimas,Ąžuolų gatvė,
Radviliškio rajono savivaldybė Baisogalos seniūnija,,Bagdonų kaimas,,
Radviliškio rajono savivaldybė Baisogalos seniūnija,,Baisogalos kaimas,,
Radviliškio rajono savivaldybė Baisogalos seniūnija,,Baisogalos miestelis,A. Vienuolio gatvė,
Radviliškio rajono savivaldybė Baisogalos seniūnija,,Baisogalos miestelis,Alyvų gatvė,
Radviliškio rajono savivaldybė Baisogalos seniūnija,,Baisogalos miestelis,Bažnyčios gatvė,
Radviliškio rajono savivaldybė Baisogalos seniūnija,,Baisogalos miestelis,Beržų gatvė,
Radviliškio rajono savivaldybė Baisogalos seniūnija,,Baisogalos miestelis,Bijūnų gatvė,
Radviliškio rajono savivaldybė Baisogalos seniūnija,,Baisogalos miestelis,Dvaro gatvė,
Radviliškio rajono savivaldybė Baisogalos seniūnija,,Baisogalos miestelis,Grinkiškio gatvė,
Radviliškio rajono savivaldybė Baisogalos seniūnija,,Baisogalos miestelis,J. Biliūno gatvė,
Radviliškio rajono savivaldybė Baisogalos seniūnija,,Baisogalos miestelis,Kapų gatvė,
Radviliškio rajono savivaldybė Baisogalos seniūnija,,Baisogalos miestelis,Laisvės aikštė,
Radviliškio rajono savivaldybė Baisogalos seniūnija,,Baisogalos miestelis,Liepų gatvė,
Radviliškio rajono savivaldybė Baisogalos seniūnija,,Baisogalos miestelis,Maironio gatvė,
Radviliškio rajono savivaldybė Baisogalos seniūnija,,Baisogalos miestelis,Miško gatvė,
Radviliškio rajono savivaldybė Baisogalos seniūnija,,Baisogalos miestelis,Mokyklos gatvė,
Radviliškio rajono savivaldybė Baisogalos seniūnija,,Baisogalos miestelis,R. Žebenkos gatvė,
Radviliškio rajono savivaldybė Baisogalos seniūnija,,Baisogalos miestelis,S. Nėries gatvė,
Radviliškio rajono savivaldybė Baisogalos seniūnija,,Baisogalos miestelis,Sodų gatvė,
Radviliškio rajono savivaldybė Baisogalos seniūnija,,Baisogalos miestelis,Stoties gatvė,
Radviliškio rajono savivaldybė Baisogalos seniūnija,,Baisogalos miestelis,Taikos gatvė,
Radviliškio rajono savivaldybė Baisogalos seniūnija,,Baisogalos miestelis,Tulpių gatvė,
Radviliškio rajono savivaldybė Baisogalos seniūnija,,Baisogalos miestelis,Vyšnių gatvė,
Radviliškio rajono savivaldybė Baisogalos seniūnija,,Baisogalos miestelis,Žemaitės gatvė,
Radviliškio rajono savivaldybė Baisogalos seniūnija,,Biliūnų kaimas,,
Radviliškio rajono savivaldybė Baisogalos seniūnija,,Bučiūnų kaimas,Tiesioji gatvė,
Radviliškio rajono savivaldybė Baisogalos seniūnija,,Dauderių kaimas,Kiršino gatvė,
Radviliškio rajono savivaldybė Baisogalos seniūnija,,Dauderių kaimas,Pušyno gatvė,
Radviliškio rajono savivaldybė Baisogalos seniūnija,,Degėsių kaimas,,
Radviliškio rajono savivaldybė Baisogalos seniūnija,,Dišlių kaimas,,
Radviliškio rajono savivaldybė Baisogalos seniūnija,,Dvarelių kaimas,,
Radviliškio rajono savivaldybė Baisogalos seniūnija,,Fermos kaimas,,
Radviliškio rajono savivaldybė Baisogalos seniūnija,,Gankių kaimas,,
Radviliškio rajono savivaldybė Baisogalos seniūnija,,Jadvimpolio kaimas,,
Radviliškio rajono savivaldybė Baisogalos seniūnija,,Januškonių kaimas,,
Radviliškio rajono savivaldybė Baisogalos seniūnija,,Juodupių kaimas,,
Radviliškio rajono savivaldybė Baisogalos seniūnija,,Kablių kaimas,,
Radviliškio rajono savivaldybė Baisogalos seniūnija,,Kalvelių kaimas,,
Radviliškio rajono savivaldybė Baisogalos seniūnija,,Kemėrų kaimas,,
Radviliškio rajono savivaldybė Baisogalos seniūnija,,Komariškių kaimas,,
Radviliškio rajono savivaldybė Baisogalos seniūnija,,Kubiliūnų kaimas,Karjero gatvė,
Radviliškio rajono savivaldybė Baisogalos seniūnija,,Kubiliūnų kaimas,Vilties gatvė,
Radviliškio rajono savivaldybė Baisogalos seniūnija,,Kubiliūnų kaimas,Vingio gatvė,
Radviliškio rajono savivaldybė Baisogalos seniūnija,,Kubiliūnų kaimas,Šviesos gatvė,
Radviliškio rajono savivaldybė Baisogalos seniūnija,,Liaudiškių kaimas,,
Radviliškio rajono savivaldybė Baisogalos seniūnija,,Lopų kaimas,,
Radviliškio rajono savivaldybė Baisogalos seniūnija,,Mikonių kaimas,,
Radviliškio rajono savivaldybė Baisogalos seniūnija,,Moniūnų kaimas,,
Radviliškio rajono savivaldybė Baisogalos seniūnija,,Moralinės kaimas,,
Radviliškio rajono savivaldybė Baisogalos seniūnija,,Paberžėlių kaimas,,
Radviliškio rajono savivaldybė Baisogalos seniūnija,,Pagojų kaimas,,
Radviliškio rajono savivaldybė Baisogalos seniūnija,,Pakiršinio kaimas,Ateities gatvė,
Radviliškio rajono savivaldybė Baisogalos seniūnija,,Pakiršinio kaimas,Draugystės gatvė,
Radviliškio rajono savivaldybė Baisogalos seniūnija,,Pakiršinio kaimas,Jaunystės gatvė,
Radviliškio rajono savivaldybė Baisogalos seniūnija,,Pakiršinio kaimas,Kaimynų gatvė,
Radviliškio rajono savivaldybė Baisogalos seniūnija,,Pakiršinio kaimas,Parko gatvė,
Radviliškio rajono savivaldybė Baisogalos seniūnija,,Pakiršinio kaimas,Sodų gatvė,
