institution,elderate,city,street,numbers
Plungės-Rietavo rinkimų apygarda Nr. 35,,,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Adomaičių kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Akmenskinės kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Alko kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Aušeliškės kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Avižaičių kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Beržvaičio kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Bubėnų kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Budrikių kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Dalgų kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Daugėdų kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Daugėlalių kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Dausynų kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Drobstų kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Dubosgirio kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Eidininkų kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Gedikėnų kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Gelžyčių kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Giliogirio kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Girdvainių kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Girėnų kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Gomantlaukio kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Grąžčių kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Gudalių kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Jankaičių kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Jaupėnų kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Jucaičių kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Kadagynų kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Kalakutiškės kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Kaupų kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Kentrakalnio kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Kermušės kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Kiliūnėnų kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Kungių kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Kyvaičių kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Labardžių kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Laurynaičių kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Laužų kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Lenkaičių kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Liolių kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Lopaičių kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Lozorių kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Lėgų kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Maldučių kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Medingėnų kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Meinartų kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Meškių kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Motėjų kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Nagurkos kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Narbutiškės kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Norgalvių kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Pajomančio kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Pajūrio kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Palūkalnio kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Paminijų kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Panavadžio kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Pasklindžio kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Patverio kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Patyrio kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Pauškių kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Pašeikio kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Pažėrų kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Pelaičių kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Pečiuliškės kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Pjaulių kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Plauskinių kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Pleinių kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Plunkėnų kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Pribitkos kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Pupšių kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Pupžiubių kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Purvelių kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Pyvorų kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Rešketėnų kaimas,,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Rietavo miestas,Atgimimo gatvė,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Rietavo miestas,Aušros gatvė,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Rietavo miestas,Birutės gatvė,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Rietavo miestas,Dariaus ir Girėno gatvė,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Rietavo miestas,Daržų gatvė,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Rietavo miestas,J. Kontrimo gatvė,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Rietavo miestas,J. Naujalio gatvė,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Rietavo miestas,Jūros gatvė,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Rietavo miestas,Kalno gatvė,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Rietavo miestas,Klaipėdos gatvė,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Rietavo miestas,Kulių gatvė,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Rietavo miestas,Kvėdarnos gatvė,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Rietavo miestas,L. Ivinskio gatvė,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Rietavo miestas,Laisvės aikštė,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Rietavo miestas,Laisvės gatvė,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Rietavo miestas,Lankų gatvė,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Rietavo miestas,Laukuvos gatvė,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Rietavo miestas,Liepų gatvė,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Rietavo miestas,Miškų gatvė,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Rietavo miestas,Naujoji gatvė,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Rietavo miestas,Oginskių gatvė,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Rietavo miestas,Palangos gatvė,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Rietavo miestas,Pamiškės gatvė,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Rietavo miestas,Parko gatvė,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Rietavo miestas,Paupio gatvė,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Rietavo miestas,Pievų gatvė,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Rietavo miestas,Plungės gatvė,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Rietavo miestas,Ramybės gatvė,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Rietavo miestas,S. Nėries gatvė,
Plungės-Rietavo rinkimų apygarda Nr. 35,,Rietavo miestas,Sodų gatvė,
