institution,elderate,city,street,numbers
Rokiškio rajono savivaldybė,,,,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Aleknų kaimas,Jono Šedžio gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Aleknų kaimas,Ramioji gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Aleknų kaimas,Čeičių gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Alksnių kaimas,,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Apūniškio kaimas,Vyžuonos gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Armonių kaimas,,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Baršių kaimas,,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Bryzgių kaimas,,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Butėniškio viensėdis,,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Didsodės kaimas,Ateities gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Didsodės kaimas,Darželio gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Didsodės kaimas,Kaštonų gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Didsodės kaimas,Lingėnų gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Didsodės kaimas,Palaukės gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Didsodės kaimas,Plento gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Didsodės kaimas,Tėviškės gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Dirvonų kaimas,,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Generališkio kaimas,,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Ginotų kaimas,,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Gylių kaimas,,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Ilzenbergo kaimas,,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Juodupės miestelis,Aukštaičių gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Juodupės miestelis,Bevardis skersgatvis,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Juodupės miestelis,J. Biliūno gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Juodupės miestelis,Kalnų gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Juodupės miestelis,Kosmonautų gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Juodupės miestelis,Liepų gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Juodupės miestelis,Maironio gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Juodupės miestelis,Onuškio gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Juodupės miestelis,P. Cvirkos gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Juodupės miestelis,Palangos gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Juodupės miestelis,Pauliaus Širvio gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Juodupės miestelis,Pergalės gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Juodupės miestelis,Pievų gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Juodupės miestelis,Prūdupės gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Juodupės miestelis,Ramybės gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Juodupės miestelis,S. Nėries gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Juodupės miestelis,Skersinė gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Juodupės miestelis,Sodų gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Juodupės miestelis,Stoniškio gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Juodupės miestelis,Taikos gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Juodupės miestelis,Tekstilininkų gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Juodupės miestelis,Žemaitės gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Jutkių kaimas,,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Kiemiškių kaimas,,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Kirmėliškio kaimas,,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Kraštų kaimas,,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Kukių kaimas,,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Laukininkų kaimas,,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Lingėnų kaimas,,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Lukštų kaimas,Juodupės gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Lukštų kaimas,Kaštonų gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Lukštų kaimas,Liepų gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Lukštų kaimas,Lukštų gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Lukštų kaimas,Obelių gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Lukštų kaimas,Pušų gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Lukštų kaimas,Ąžuolų gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Maineivų kaimas,Aušros gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Maineivų kaimas,Lakštenos gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Maineivų kaimas,Mandagiškio gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Naujasodės kaimas,,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Neršionių kaimas,,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Onuškio kaimas,Antano Deksnio gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Onuškio kaimas,Ežero gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Onuškio kaimas,Komarų gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Onuškio kaimas,Kraštų gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Onuškio kaimas,Mokyklos gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Onuškio kaimas,Parko gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Onuškio kaimas,Sidabrinės gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Onuškio kaimas,Sinagogos gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Onuškio kaimas,Tylos gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Paduobio viensėdis,,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Pagrūbio kaimas,,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Pakapinės kaimas,,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Pakapės kaimas,,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Patilčių kaimas,,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Pašilių kaimas,,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Pikietų viensėdis,,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Prūselių kaimas,,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Raišių kaimas,Darbininkų gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Raišių kaimas,Jaunimo gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Raišių kaimas,Kalnų gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Raišių kaimas,Parko gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Raišių kaimas,Tarybų gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Raišių kaimas,Vandenvietės gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Raupių kaimas,,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Remeikių kaimas,,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Ruzgų kaimas,,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Sidabrinės kaimas,,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Skridulių kaimas,,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Skuomantų kaimas,,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Slabados kaimas,,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Sodelių kaimas,Paduobio gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Sodelių kaimas,Vyžuonos gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Sodelių kaimas,Šaltojos gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Stoniškio kaimas,Kalnų gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Stoniškio kaimas,Paduobio gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Stoniškio kaimas,Plento gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Stoniškio kaimas,Stoniškio gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Stoniškio kaimas,Tarybų gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Stoniškio kaimas,Vyžuonos gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Stoniškio kaimas,Šaltojos gatvė,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Teklinės kaimas,,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Trumpiškio kaimas,,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Užubalių kaimas,,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Valiūniškio kaimas,,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Vanagynės kaimas,,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Veduviškio kaimas,,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Vizgynės kaimas,,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Vištagerklio kaimas,,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Vytelinės kaimas,,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Vyžuonėlių kaimas,,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Čeičių kaimas,,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Šikšnių kaimas,,
Rokiškio rajono savivaldybė Juodupės seniūnija,,Žiogiškio kaimas,,
Rokiškio rajono savivaldybė Jūžintų seniūnija,,Anapolio kaimas,,
Rokiškio rajono savivaldybė Jūžintų seniūnija,,Aušrėnų kaimas,,
Rokiškio rajono savivaldybė Jūžintų seniūnija,,Ažubalių kaimas,,
Rokiškio rajono savivaldybė Jūžintų seniūnija,,Bajoriškių kaimas,,
Rokiškio rajono savivaldybė Jūžintų seniūnija,,Beičių kaimas,,
Rokiškio rajono savivaldybė Jūžintų seniūnija,,Bindzeliškių kaimas,,
Rokiškio rajono savivaldybė Jūžintų seniūnija,,Dauliūnų kaimas,,
Rokiškio rajono savivaldybė Jūžintų seniūnija,,Didėjos kaimas,,
Rokiškio rajono savivaldybė Jūžintų seniūnija,,Dumblynės kaimas,,
Rokiškio rajono savivaldybė Jūžintų seniūnija,,Dvirėžių kaimas,,
Rokiškio rajono savivaldybė Jūžintų seniūnija,,Gačionių kaimas,,
Rokiškio rajono savivaldybė Jūžintų seniūnija,,Girelės kaimas,,
