institution,elderate,city,street,numbers
Skuodo rajono savivaldybė,,,,
Skuodo rajono savivaldybė Aleksandrijos seniūnija,,Aleksandrijos kaimas,Alyvų gatvė,
Skuodo rajono savivaldybė Aleksandrijos seniūnija,,Aleksandrijos kaimas,Beržų gatvė,
Skuodo rajono savivaldybė Aleksandrijos seniūnija,,Aleksandrijos kaimas,Bijūnų gatvė,
Skuodo rajono savivaldybė Aleksandrijos seniūnija,,Aleksandrijos kaimas,Kaštonų gatvė,
Skuodo rajono savivaldybė Aleksandrijos seniūnija,,Aleksandrijos kaimas,Klevų gatvė,
Skuodo rajono savivaldybė Aleksandrijos seniūnija,,Aleksandrijos kaimas,Liepų gatvė,
Skuodo rajono savivaldybė Aleksandrijos seniūnija,,Aleksandrijos kaimas,S. Daukanto gatvė,
Skuodo rajono savivaldybė Aleksandrijos seniūnija,,Aleksandrijos kaimas,Skuodo gatvė,
Skuodo rajono savivaldybė Aleksandrijos seniūnija,,Aleksandrijos kaimas,Sodų gatvė,
Skuodo rajono savivaldybė Aleksandrijos seniūnija,,Apuolės kaimas,,
Skuodo rajono savivaldybė Aleksandrijos seniūnija,,Daujotų kaimas,,
Skuodo rajono savivaldybė Aleksandrijos seniūnija,,Detlaukės kaimas,,
Skuodo rajono savivaldybė Aleksandrijos seniūnija,,Dvaralio kaimas,,
Skuodo rajono savivaldybė Aleksandrijos seniūnija,,Gėsalų kaimas,Detlaukės gatvė,
Skuodo rajono savivaldybė Aleksandrijos seniūnija,,Gėsalų kaimas,Kalno gatvė,
Skuodo rajono savivaldybė Aleksandrijos seniūnija,,Gėsalų kaimas,Mokyklos gatvė,
Skuodo rajono savivaldybė Aleksandrijos seniūnija,,Gėsalų kaimas,Veretos gatvė,
Skuodo rajono savivaldybė Aleksandrijos seniūnija,,Gėsalų kaimas,Vingio gatvė,
Skuodo rajono savivaldybė Aleksandrijos seniūnija,,Gėsalų kaimas,Ąžuolų gatvė,
Skuodo rajono savivaldybė Aleksandrijos seniūnija,,Jedžiotų kaimas,,
Skuodo rajono savivaldybė Aleksandrijos seniūnija,,Juknaičių kaimas,,
Skuodo rajono savivaldybė Aleksandrijos seniūnija,,Kalnėnų kaimas,,
Skuodo rajono savivaldybė Aleksandrijos seniūnija,,Kaukolikų kaimas,Jazminų gatvė,
Skuodo rajono savivaldybė Aleksandrijos seniūnija,,Kaukolikų kaimas,Knežės gatvė,
Skuodo rajono savivaldybė Aleksandrijos seniūnija,,Kaukolikų kaimas,M. Gimbutienės gatvė,
Skuodo rajono savivaldybė Aleksandrijos seniūnija,,Kaukolikų kaimas,Mokyklos gatvė,
Skuodo rajono savivaldybė Aleksandrijos seniūnija,,Kaukolikų kaimas,Paupio gatvė,
Skuodo rajono savivaldybė Aleksandrijos seniūnija,,Kaukolikų kaimas,Vingio gatvė,
Skuodo rajono savivaldybė Aleksandrijos seniūnija,,Kervių kaimas,,
Skuodo rajono savivaldybė Aleksandrijos seniūnija,,Kivylių kaimas,,
Skuodo rajono savivaldybė Aleksandrijos seniūnija,,Klaišių kaimas,,
Skuodo rajono savivaldybė Aleksandrijos seniūnija,,Klauseikių kaimas,,
Skuodo rajono savivaldybė Aleksandrijos seniūnija,,Knežės kaimas,,
Skuodo rajono savivaldybė Aleksandrijos seniūnija,,Nuosamų kaimas,,
Skuodo rajono savivaldybė Aleksandrijos seniūnija,,Truikinų kaimas,,
Skuodo rajono savivaldybė Aleksandrijos seniūnija,,Veitelių kaimas,,
Skuodo rajono savivaldybė Aleksandrijos seniūnija,,Viršilų kaimas,,
Skuodo rajono savivaldybė Aleksandrijos seniūnija,,Šarkės kaimas,,
Skuodo rajono savivaldybė Barstyčių seniūnija,,Aubrikių kaimas,,
Skuodo rajono savivaldybė Barstyčių seniūnija,,Barstytalių kaimas,,
Skuodo rajono savivaldybė Barstyčių seniūnija,,Barstyčių miestelis,Alytaus gatvė,
Skuodo rajono savivaldybė Barstyčių seniūnija,,Barstyčių miestelis,Alyvų gatvė,
Skuodo rajono savivaldybė Barstyčių seniūnija,,Barstyčių miestelis,Ežero gatvė,
Skuodo rajono savivaldybė Barstyčių seniūnija,,Barstyčių miestelis,Kalnų gatvė,
Skuodo rajono savivaldybė Barstyčių seniūnija,,Barstyčių miestelis,Laukų gatvė,
Skuodo rajono savivaldybė Barstyčių seniūnija,,Barstyčių miestelis,Miško gatvė,
Skuodo rajono savivaldybė Barstyčių seniūnija,,Barstyčių miestelis,Parko gatvė,
Skuodo rajono savivaldybė Barstyčių seniūnija,,Barstyčių miestelis,Prūdo gatvė,
Skuodo rajono savivaldybė Barstyčių seniūnija,,Barstyčių miestelis,Salantų gatvė,
Skuodo rajono savivaldybė Barstyčių seniūnija,,Barstyčių miestelis,Saulės gatvė,
Skuodo rajono savivaldybė Barstyčių seniūnija,,Barstyčių miestelis,Saulėtekio gatvė,
Skuodo rajono savivaldybė Barstyčių seniūnija,,Barstyčių miestelis,Sedos gatvė,
Skuodo rajono savivaldybė Barstyčių seniūnija,,Barstyčių miestelis,Skuodo gatvė,
Skuodo rajono savivaldybė Barstyčių seniūnija,,Barstyčių miestelis,Stadiono gatvė,
Skuodo rajono savivaldybė Barstyčių seniūnija,,Barstyčių miestelis,Trumpoji gatvė,
Skuodo rajono savivaldybė Barstyčių seniūnija,,Barstyčių miestelis,Ylakių gatvė,
