institution,elderate,city,street,numbers
Jurbarko rinkimų apygarda Nr. 62,,,Beresniškės,
Jurbarko rinkimų apygarda Nr. 62,,Adakavo I kaimas,,
Jurbarko rinkimų apygarda Nr. 62,,Adakavo II kaimas,,
Jurbarko rinkimų apygarda Nr. 62,,Angladegių kaimas,,
Jurbarko rinkimų apygarda Nr. 62,,Barsukynės kaimas,,
Jurbarko rinkimų apygarda Nr. 62,,Beržynės kaimas,,
Jurbarko rinkimų apygarda Nr. 62,,Bokšeinių kaimas,,
Jurbarko rinkimų apygarda Nr. 62,,Brūžaičių kaimas,,
Jurbarko rinkimų apygarda Nr. 62,,Būgų kaimas,,
Jurbarko rinkimų apygarda Nr. 62,,Būtenių kaimas,,
Jurbarko rinkimų apygarda Nr. 62,,Cigelnės kaimas,,
Jurbarko rinkimų apygarda Nr. 62,,Daujotėlių kaimas,,
Jurbarko rinkimų apygarda Nr. 62,,Gedgaudiškės kaimas,,
Jurbarko rinkimų apygarda Nr. 62,,Gilvičių kaimas,,
Jurbarko rinkimų apygarda Nr. 62,,Giržadų kaimas,,
Jurbarko rinkimų apygarda Nr. 62,,Ivangėnų kaimas,,
Jurbarko rinkimų apygarda Nr. 62,,Jakutiškės kaimas,,
Jurbarko rinkimų apygarda Nr. 62,,Jakštų kaimas,,
Jurbarko rinkimų apygarda Nr. 62,,Juškaičių kaimas,,
Jurbarko rinkimų apygarda Nr. 62,,Juškiškės kaimas,,
Jurbarko rinkimų apygarda Nr. 62,,Karšuvos kaimas,,
Jurbarko rinkimų apygarda Nr. 62,,Kavadonių kaimas,,
Jurbarko rinkimų apygarda Nr. 62,,Keterių kaimas,,
Jurbarko rinkimų apygarda Nr. 62,,Kirklių kaimas,,
Jurbarko rinkimų apygarda Nr. 62,,Kuksinės kaimas,,
Jurbarko rinkimų apygarda Nr. 62,,Lauraičių kaimas,,
Jurbarko rinkimų apygarda Nr. 62,,Laurinaičių kaimas,,
Jurbarko rinkimų apygarda Nr. 62,,Leliškės kaimas,,
Jurbarko rinkimų apygarda Nr. 62,,Margynės kaimas,,
Jurbarko rinkimų apygarda Nr. 62,,Mikalaičių kaimas,,
Jurbarko rinkimų apygarda Nr. 62,,Mockaičių kaimas,,
Jurbarko rinkimų apygarda Nr. 62,,Motaičių kaimas,,
Jurbarko rinkimų apygarda Nr. 62,,Nosaičių kaimas,,
Jurbarko rinkimų apygarda Nr. 62,,Očikių kaimas,,
Jurbarko rinkimų apygarda Nr. 62,,Pabambių kaimas,,
Jurbarko rinkimų apygarda Nr. 62,,Paklevio kaimas,,
Jurbarko rinkimų apygarda Nr. 62,,Paplėstiškės kaimas,,
Jurbarko rinkimų apygarda Nr. 62,,Paprūdžių kaimas,,
Jurbarko rinkimų apygarda Nr. 62,,Papušynių kaimas,,
Jurbarko rinkimų apygarda Nr. 62,,Pasuvirkščio kaimas,,
Jurbarko rinkimų apygarda Nr. 62,,Pauliškių kaimas,,
Jurbarko rinkimų apygarda Nr. 62,,Paupynio kaimas,,
Jurbarko rinkimų apygarda Nr. 62,,Pavarčio kaimas,,
Jurbarko rinkimų apygarda Nr. 62,,Paverkalnio kaimas,,
Jurbarko rinkimų apygarda Nr. 62,,Pilsūdų kaimas,,
Jurbarko rinkimų apygarda Nr. 62,,Plingių kaimas,,
Jurbarko rinkimų apygarda Nr. 62,,Puželių kaimas,,
Jurbarko rinkimų apygarda Nr. 62,,Pužų kaimas,,
Jurbarko rinkimų apygarda Nr. 62,,Ruibiškės kaimas,,
Jurbarko rinkimų apygarda Nr. 62,,Rūdijos kaimas,,
Jurbarko rinkimų apygarda Nr. 62,,Sauslaukio kaimas,,
Jurbarko rinkimų apygarda Nr. 62,,Skaudvilės miestas,Ančios gatvė,
Jurbarko rinkimų apygarda Nr. 62,,Skaudvilės miestas,Beržų gatvė,
Jurbarko rinkimų apygarda Nr. 62,,Skaudvilės miestas,Darbininkų gatvė,
Jurbarko rinkimų apygarda Nr. 62,,Skaudvilės miestas,Dariaus ir Girėno gatvė,
Jurbarko rinkimų apygarda Nr. 62,,Skaudvilės miestas,Draugystės gatvė,
Jurbarko rinkimų apygarda Nr. 62,,Skaudvilės miestas,J. Basanavičiaus gatvė,
Jurbarko rinkimų apygarda Nr. 62,,Skaudvilės miestas,J. Janonio gatvė,
Jurbarko rinkimų apygarda Nr. 62,,Skaudvilės miestas,Kalnų gatvė,
Jurbarko rinkimų apygarda Nr. 62,,Skaudvilės miestas,Kelmės gatvė,
Jurbarko rinkimų apygarda Nr. 62,,Skaudvilės miestas,Kranto gatvė,
Jurbarko rinkimų apygarda Nr. 62,,Skaudvilės miestas,Kudročių gatvė,
Jurbarko rinkimų apygarda Nr. 62,,Skaudvilės miestas,Kęstučio gatvė,
Jurbarko rinkimų apygarda Nr. 62,,Skaudvilės miestas,Kęstučio skersgatvis,
Jurbarko rinkimų apygarda Nr. 62,,Skaudvilės miestas,Laisvės gatvė,
Jurbarko rinkimų apygarda Nr. 62,,Skaudvilės miestas,Lauko gatvė,
Jurbarko rinkimų apygarda Nr. 62,,Skaudvilės miestas,Liaudies aikštė,
Jurbarko rinkimų apygarda Nr. 62,,Skaudvilės miestas,Maironio gatvė,
Jurbarko rinkimų apygarda Nr. 62,,Skaudvilės miestas,Maironio skersgatvis,
Jurbarko rinkimų apygarda Nr. 62,,Skaudvilės miestas,Malūno gatvė,
Jurbarko rinkimų apygarda Nr. 62,,Skaudvilės miestas,Mechanizatorių gatvė,
Jurbarko rinkimų apygarda Nr. 62,,Skaudvilės miestas,Mokyklos skersgatvis,
Jurbarko rinkimų apygarda Nr. 62,,Skaudvilės miestas,Norkiškės gatvė,
Jurbarko rinkimų apygarda Nr. 62,,Skaudvilės miestas,Pievų gatvė,
Jurbarko rinkimų apygarda Nr. 62,,Skaudvilės miestas,Poškos gatvė,
Jurbarko rinkimų apygarda Nr. 62,,Skaudvilės miestas,Pušyno gatvė,
Jurbarko rinkimų apygarda Nr. 62,,Skaudvilės miestas,Ramybės gatvė,
Jurbarko rinkimų apygarda Nr. 62,,Skaudvilės miestas,S. Nėries gatvė,
Jurbarko rinkimų apygarda Nr. 62,,Skaudvilės miestas,Sodų gatvė,
Jurbarko rinkimų apygarda Nr. 62,,Skaudvilės miestas,Statybininkų gatvė,
Jurbarko rinkimų apygarda Nr. 62,,Skaudvilės miestas,Taikos gatvė,
Jurbarko rinkimų apygarda Nr. 62,,Skaudvilės miestas,Tauragės gatvė,
Jurbarko rinkimų apygarda Nr. 62,,Skaudvilės miestas,Trumpoji gatvė,
Jurbarko rinkimų apygarda Nr. 62,,Skaudvilės miestas,Upynos gatvė,
Jurbarko rinkimų apygarda Nr. 62,,Skaudvilės miestas,Vilniaus gatvė,
Jurbarko rinkimų apygarda Nr. 62,,Skaudvilės miestas,Žalgirio gatvė,
Jurbarko rinkimų apygarda Nr. 62,,Skaudvilės miestas,Žemaitės gatvė,
Jurbarko rinkimų apygarda Nr. 62,,Sniegomiškės II kaimas,,
Jurbarko rinkimų apygarda Nr. 62,,Sniegoniškės I kaimas,,
Jurbarko rinkimų apygarda Nr. 62,,Trepų kaimas,,
Jurbarko rinkimų apygarda Nr. 62,,Užkalnių kaimas,,
Jurbarko rinkimų apygarda Nr. 62,,Vaidatonių kaimas,,
Jurbarko rinkimų apygarda Nr. 62,,Vilnalių kaimas,,
Jurbarko rinkimų apygarda Nr. 62,,Vėluikių kaimas,,
Jurbarko rinkimų apygarda Nr. 62,,Zakarkiškės kaimas,,
Jurbarko rinkimų apygarda Nr. 62,,Šidagių kaimas,,
