institution,elderate,city,street,numbers
Telšių rajono savivaldybė,,,,
Telšių rajono savivaldybė Degaičių seniūnija,,Birikų kaimas,Kantrimų gatvė,
Telšių rajono savivaldybė Degaičių seniūnija,,Degaičių kaimas,Anulėnų gatvė,
Telšių rajono savivaldybė Degaičių seniūnija,,Degaičių kaimas,Degaičių gatvė,
Telšių rajono savivaldybė Degaičių seniūnija,,Degaičių kaimas,Dimaičių gatvė,
Telšių rajono savivaldybė Degaičių seniūnija,,Degaičių kaimas,Ežero gatvė,
Telšių rajono savivaldybė Degaičių seniūnija,,Degaičių kaimas,Gintaučių gatvė,
Telšių rajono savivaldybė Degaičių seniūnija,,Degaičių kaimas,Gėlių gatvė,
Telšių rajono savivaldybė Degaičių seniūnija,,Degaičių kaimas,Kalno gatvė,
Telšių rajono savivaldybė Degaičių seniūnija,,Degaičių kaimas,Mokyklos gatvė,
Telšių rajono savivaldybė Degaičių seniūnija,,Degaičių kaimas,Parko gatvė,
Telšių rajono savivaldybė Degaičių seniūnija,,Degaičių kaimas,Tryškių gatvė,
Telšių rajono savivaldybė Degaičių seniūnija,,Degaičių kaimas,Užupės gatvė,
Telšių rajono savivaldybė Degaičių seniūnija,,Degaičių kaimas,Žalgirio gatvė,
Telšių rajono savivaldybė Degaičių seniūnija,,Dimaičių kaimas,Kuršėnų gatvė,
Telšių rajono savivaldybė Degaičių seniūnija,,Dimaičių kaimas,Tryškių gatvė,
Telšių rajono savivaldybė Degaičių seniūnija,,Duobgirės kaimas,,
Telšių rajono savivaldybė Degaičių seniūnija,,Eigirdžių kaimas,,
Telšių rajono savivaldybė Degaičių seniūnija,,Eigirdžių miestelis,Alytaus gatvė,
Telšių rajono savivaldybė Degaičių seniūnija,,Eigirdžių miestelis,Alyvų gatvė,
Telšių rajono savivaldybė Degaičių seniūnija,,Eigirdžių miestelis,Beržų gatvė,
Telšių rajono savivaldybė Degaičių seniūnija,,Eigirdžių miestelis,Gedimino gatvė,
Telšių rajono savivaldybė Degaičių seniūnija,,Eigirdžių miestelis,Grybų gatvė,
Telšių rajono savivaldybė Degaičių seniūnija,,Eigirdžių miestelis,Jonaičių gatvė,
Telšių rajono savivaldybė Degaičių seniūnija,,Eigirdžių miestelis,Kalno gatvė,
Telšių rajono savivaldybė Degaičių seniūnija,,Eigirdžių miestelis,Liepų gatvė,
Telšių rajono savivaldybė Degaičių seniūnija,,Eigirdžių miestelis,Medinių gatvė,
Telšių rajono savivaldybė Degaičių seniūnija,,Eigirdžių miestelis,Miško gatvė,
Telšių rajono savivaldybė Degaičių seniūnija,,Eigirdžių miestelis,Rožių gatvė,
Telšių rajono savivaldybė Degaičių seniūnija,,Eigirdžių miestelis,Saulės gatvė,
Telšių rajono savivaldybė Degaičių seniūnija,,Eigirdžių miestelis,Vytauto gatvė,
Telšių rajono savivaldybė Degaičių seniūnija,,Eigirdžių miestelis,Šašaičių gatvė,
Telšių rajono savivaldybė Degaičių seniūnija,,Eigirdžių miestelis,Šviesos gatvė,
Telšių rajono savivaldybė Degaičių seniūnija,,Galaičių kaimas,,
Telšių rajono savivaldybė Degaičių seniūnija,,Gaudikaičių kaimas,Notariškės gatvė,
Telšių rajono savivaldybė Degaičių seniūnija,,Gaudikaičių kaimas,Šiaulių plentas,
Telšių rajono savivaldybė Degaičių seniūnija,,Gerulių kaimas,Judros gatvė,
Telšių rajono savivaldybė Degaičių seniūnija,,Gintalų kaimas,,
Telšių rajono savivaldybė Degaičių seniūnija,,Gintaučių kaimas,,
Telšių rajono savivaldybė Degaičių seniūnija,,Jonaičių kaimas,,
Telšių rajono savivaldybė Degaičių seniūnija,,Jonauskių kaimas,,
Telšių rajono savivaldybė Degaičių seniūnija,,Juodinkių kaimas,,
Telšių rajono savivaldybė Degaičių seniūnija,,Juodsodės kaimas,,
Telšių rajono savivaldybė Degaičių seniūnija,,Kumpikų kaimas,,
Telšių rajono savivaldybė Degaičių seniūnija,,Laukstėnų kaimas,,
Telšių rajono savivaldybė Degaičių seniūnija,,Medinių kaimas,,
Telšių rajono savivaldybė Degaičių seniūnija,,Micaičių kaimas,Micaičių gatvė,
Telšių rajono savivaldybė Degaičių seniūnija,,Namgaudžių kaimas,,
Telšių rajono savivaldybė Degaičių seniūnija,,Norvydų kaimas,,
Telšių rajono savivaldybė Degaičių seniūnija,,Pasvaigės kaimas,Micaičių gatvė,
Telšių rajono savivaldybė Degaičių seniūnija,,Patausalės kaimas,Jonauskių gatvė,
Telšių rajono savivaldybė Degaičių seniūnija,,Patausalės kaimas,Tausalo gatvė,
Telšių rajono savivaldybė Degaičių seniūnija,,Pielių kaimas,Pievėnų gatvė,
Telšių rajono savivaldybė Degaičių seniūnija,,Skurvydiškės kaimas,,
Telšių rajono savivaldybė Degaičių seniūnija,,Užupės kaimas,,
Telšių rajono savivaldybė Degaičių seniūnija,,Šašaičių kaimas,,
Telšių rajono savivaldybė Gadūnavo seniūnija,,Anulyno kaimas,Dygulio gatvė,
Telšių rajono savivaldybė Gadūnavo seniūnija,,Anulyno kaimas,Subedžio gatvė,
Telšių rajono savivaldybė Gadūnavo seniūnija,,Brėvikių kaimas,,
Telšių rajono savivaldybė Gadūnavo seniūnija,,Buožėnų kaimas,Buožėnų gatvė,
Telšių rajono savivaldybė Gadūnavo seniūnija,,Buožėnų kaimas,Džiugo gatvė,
Telšių rajono savivaldybė Gadūnavo seniūnija,,Buožėnų kaimas,Medžiotojų gatvė,
Telšių rajono savivaldybė Gadūnavo seniūnija,,Buožėnų kaimas,Mokyklos gatvė,
Telšių rajono savivaldybė Gadūnavo seniūnija,,Buožėnų kaimas,Pirties gatvė,
Telšių rajono savivaldybė Gadūnavo seniūnija,,Buožėnų kaimas,Sodų gatvė,
Telšių rajono savivaldybė Gadūnavo seniūnija,,Buožėnų kaimas,Vigantiškių gatvė,
Telšių rajono savivaldybė Gadūnavo seniūnija,,Buožėnų kaimas,Žibučių gatvė,
Telšių rajono savivaldybė Gadūnavo seniūnija,,Domėnų kaimas,,
Telšių rajono savivaldybė Gadūnavo seniūnija,,Džiuginėnų kaimas,Durbinio gatvė,
Telšių rajono savivaldybė Gadūnavo seniūnija,,Džiuginėnų kaimas,Dvaro gatvė,
Telšių rajono savivaldybė Gadūnavo seniūnija,,Džiuginėnų kaimas,Džiugo Sodų 1-oji gatvė,
Telšių rajono savivaldybė Gadūnavo seniūnija,,Džiuginėnų kaimas,Džiugo Sodų 10-oji gatvė,
Telšių rajono savivaldybė Gadūnavo seniūnija,,Džiuginėnų kaimas,Džiugo Sodų 2-oji gatvė,
Telšių rajono savivaldybė Gadūnavo seniūnija,,Džiuginėnų kaimas,Džiugo Sodų 3-oji gatvė,
Telšių rajono savivaldybė Gadūnavo seniūnija,,Džiuginėnų kaimas,Džiugo Sodų 4-oji gatvė,
Telšių rajono savivaldybė Gadūnavo seniūnija,,Džiuginėnų kaimas,Džiugo Sodų 5-oji gatvė,
Telšių rajono savivaldybė Gadūnavo seniūnija,,Džiuginėnų kaimas,Džiugo Sodų 6-oji gatvė,
Telšių rajono savivaldybė Gadūnavo seniūnija,,Džiuginėnų kaimas,Džiugo Sodų 7-oji gatvė,
Telšių rajono savivaldybė Gadūnavo seniūnija,,Džiuginėnų kaimas,Džiugo Sodų 8-oji gatvė,
Telšių rajono savivaldybė Gadūnavo seniūnija,,Džiuginėnų kaimas,Džiugo Sodų 9-oji gatvė,
Telšių rajono savivaldybė Gadūnavo seniūnija,,Džiuginėnų kaimas,Ilgio gatvė,
Telšių rajono savivaldybė Gadūnavo seniūnija,,Džiuginėnų kaimas,Margiukų gatvė,
Telšių rajono savivaldybė Gadūnavo seniūnija,,Džiuginėnų kaimas,Plungės gatvė,
Telšių rajono savivaldybė Gadūnavo seniūnija,,Eidintaičių kaimas,,
Telšių rajono savivaldybė Gadūnavo seniūnija,,Gadūnavo kaimas,,
Telšių rajono savivaldybė Gadūnavo seniūnija,,Gadūnavo miestelis,Bažnyčios gatvė,
Telšių rajono savivaldybė Gadūnavo seniūnija,,Gailiškių kaimas,,
Telšių rajono savivaldybė Gadūnavo seniūnija,,Gedrimų kaimas,Brėvikių gatvė,
Telšių rajono savivaldybė Gadūnavo seniūnija,,Gedrimų kaimas,Sruojos gatvė,
Telšių rajono savivaldybė Gadūnavo seniūnija,,Gedrimų kaimas,Šermukšnių gatvė,
Telšių rajono savivaldybė Gadūnavo seniūnija,,Juodėnų kaimas,,
Telšių rajono savivaldybė Gadūnavo seniūnija,,Kalnėnų kaimas,Dygulio gatvė,
Telšių rajono savivaldybė Gadūnavo seniūnija,,Kalnėnų kaimas,Džiugo gatvė,
Telšių rajono savivaldybė Gadūnavo seniūnija,,Kalnėnų kaimas,Palangos plentas,
Telšių rajono savivaldybė Gadūnavo seniūnija,,Kalnėnų kaimas,Pirties gatvė,
Telšių rajono savivaldybė Gadūnavo seniūnija,,Kalnėnų kaimas,Subedžio gatvė,
Telšių rajono savivaldybė Gadūnavo seniūnija,,Kalnėnų kaimas,Vigantiškių gatvė,
Telšių rajono savivaldybė Gadūnavo seniūnija,,Kęstaičių kaimas,,
Telšių rajono savivaldybė Gadūnavo seniūnija,,Pagermančio kaimas,,
Telšių rajono savivaldybė Gadūnavo seniūnija,,Pagudonės kaimas,,
Telšių rajono savivaldybė Gadūnavo seniūnija,,Pamarkijos kaimas,,
Telšių rajono savivaldybė Gadūnavo seniūnija,,Paplinkšės kaimas,,
Telšių rajono savivaldybė Gadūnavo seniūnija,,Paragų kaimas,,
Telšių rajono savivaldybė Gadūnavo seniūnija,,Pasruojės kaimas,,
Telšių rajono savivaldybė Gadūnavo seniūnija,,Sarakų I kaimas,,
Telšių rajono savivaldybė Gadūnavo seniūnija,,Sarakų II kaimas,Sarakų gatvė,
Telšių rajono savivaldybė Gadūnavo seniūnija,,Siraičių kaimas,Aitvaro Sodų 1-oji gatvė,
Telšių rajono savivaldybė Gadūnavo seniūnija,,Siraičių kaimas,Aitvaro Sodų 2-oji gatvė,
Telšių rajono savivaldybė Gadūnavo seniūnija,,Siraičių kaimas,Aitvaro Sodų 3-oji gatvė,
Telšių rajono savivaldybė Gadūnavo seniūnija,,Siraičių kaimas,Aitvaro Sodų 4-oji gatvė,
Telšių rajono savivaldybė Gadūnavo seniūnija,,Slėdų kaimas,,
Telšių rajono savivaldybė Gadūnavo seniūnija,,Taučių kaimas,,
Telšių rajono savivaldybė Gadūnavo seniūnija,,Uikių kaimas,,
Telšių rajono savivaldybė Gadūnavo seniūnija,,Užgirių kaimas,,
Telšių rajono savivaldybė Gadūnavo seniūnija,,Užmarkijos kaimas,,
Telšių rajono savivaldybė Gadūnavo seniūnija,,Vigantiškių kaimas,Palangos plentas,
Telšių rajono savivaldybė Gadūnavo seniūnija,,Vigantiškių kaimas,Vigantiškių gatvė,
Telšių rajono savivaldybė Gadūnavo seniūnija,,Čėsnių kaimas,,
