institution,elderate,city,street,numbers
Trakų rajono savivaldybė,,,,
Trakų rajono savivaldybė Aukštadvario seniūnija,,Adincavos kaimas,,
Trakų rajono savivaldybė Aukštadvario seniūnija,,Akmenių kaimas,,
Trakų rajono savivaldybė Aukštadvario seniūnija,,Albinavos kaimas,,
Trakų rajono savivaldybė Aukštadvario seniūnija,,Andrijanavos viensėdis,,
Trakų rajono savivaldybė Aukštadvario seniūnija,,Aukštadvario miestelis,A. Mickevičiaus gatvė,
Trakų rajono savivaldybė Aukštadvario seniūnija,,Aukštadvario miestelis,Alytaus gatvė,
Trakų rajono savivaldybė Aukštadvario seniūnija,,Aukštadvario miestelis,Aušros gatvė,
Trakų rajono savivaldybė Aukštadvario seniūnija,,Aukštadvario miestelis,Dariaus ir Girėno gatvė,
Trakų rajono savivaldybė Aukštadvario seniūnija,,Aukštadvario miestelis,Draugystės gatvė,
Trakų rajono savivaldybė Aukštadvario seniūnija,,Aukštadvario miestelis,Kranto gatvė,
Trakų rajono savivaldybė Aukštadvario seniūnija,,Aukštadvario miestelis,Liepų gatvė,
Trakų rajono savivaldybė Aukštadvario seniūnija,,Aukštadvario miestelis,Naujoji gatvė,
Trakų rajono savivaldybė Aukštadvario seniūnija,,Aukštadvario miestelis,Navos gatvė,
Trakų rajono savivaldybė Aukštadvario seniūnija,,Aukštadvario miestelis,Pušyno gatvė,
Trakų rajono savivaldybė Aukštadvario seniūnija,,Aukštadvario miestelis,Skrebės gatvė,
Trakų rajono savivaldybė Aukštadvario seniūnija,,Aukštadvario miestelis,Sodų gatvė,
Trakų rajono savivaldybė Aukštadvario seniūnija,,Aukštadvario miestelis,Technikumo gatvė,
Trakų rajono savivaldybė Aukštadvario seniūnija,,Aukštadvario miestelis,Verknės gatvė,
Trakų rajono savivaldybė Aukštadvario seniūnija,,Aukštadvario miestelis,Vievio gatvė,
Trakų rajono savivaldybė Aukštadvario seniūnija,,Aukštadvario miestelis,Vilniaus gatvė,
Trakų rajono savivaldybė Aukštadvario seniūnija,,Aukštadvario miestelis,Šilo gatvė,
Trakų rajono savivaldybė Aukštadvario seniūnija,,Aukštadvario miestelis,Žvejų gatvė,
Trakų rajono savivaldybė Aukštadvario seniūnija,,Babromiškių kaimas,,
Trakų rajono savivaldybė Aukštadvario seniūnija,,Barboriškių kaimas,,
Trakų rajono savivaldybė Aukštadvario seniūnija,,Barišiavos kaimas,,
Trakų rajono savivaldybė Aukštadvario seniūnija,,Belvos kaimas,,
Trakų rajono savivaldybė Aukštadvario seniūnija,,Bijūnų kaimas,Alyvų gatvė,
Trakų rajono savivaldybė Aukštadvario seniūnija,,Bijūnų kaimas,Gėlių gatvė,
Trakų rajono savivaldybė Aukštadvario seniūnija,,Bijūnų kaimas,Laumenos gatvė,
Trakų rajono savivaldybė Aukštadvario seniūnija,,Bijūnų kaimas,Liepų gatvė,
Trakų rajono savivaldybė Aukštadvario seniūnija,,Bijūnų kaimas,Miško gatvė,
Trakų rajono savivaldybė Aukštadvario seniūnija,,Bijūnų kaimas,Mokyklos gatvė,
Trakų rajono savivaldybė Aukštadvario seniūnija,,Bijūnų kaimas,Saulės gatvė,
Trakų rajono savivaldybė Aukštadvario seniūnija,,Bijūnų kaimas,Sodų gatvė,
Trakų rajono savivaldybė Aukštadvario seniūnija,,Būdos kaimas,,
Trakų rajono savivaldybė Aukštadvario seniūnija,,Dailyduko I kaimas,,
