institution,elderate,city,street,numbers
Ukmergės rajono savivaldybė,,,,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Aleksandravos kaimas,,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Antariškių kaimas,,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Atikonių kaimas,,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Atkočių kaimas,Ateities gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Atkočių kaimas,Jaunimo gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Atkočių kaimas,Keturvėjų gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Atkočių kaimas,Vilties gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Atkočių kaimas,Vyturių gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Atkočių kaimas,Šviesos gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Baraučiznos kaimas,,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Bardiškių kaimas,,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Bardiškėlių kaimas,,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Bartkuškių kaimas,Laukų gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Bernotiškių kaimas,,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Dainavos kaimas,Algirdų aikštė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Dainavos kaimas,Kalvelių gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Dainavos kaimas,Pakalnės gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Dainavos kaimas,Parko gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Dainavos kaimas,Žiedo gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Deltuvos miestelis,Aleksandravos gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Deltuvos miestelis,Armonos gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Deltuvos miestelis,Draugystės gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Deltuvos miestelis,Gintarų gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Deltuvos miestelis,Gėlių gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Deltuvos miestelis,Kaštonų gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Deltuvos miestelis,Paliepės gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Deltuvos miestelis,Tvenkinio gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Deltuvos miestelis,Vytauto gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Deltuvos miestelis,Šviesos gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Deltuvos miestelis,Žalgirio gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Diržių kaimas,,
