institution,elderate,city,street,numbers
Utenos rajono savivaldybė,,,,
Utenos rajono savivaldybė Daugailių seniūnija,,Antandrajos kaimas,,
Utenos rajono savivaldybė Daugailių seniūnija,,Antilgės kaimas,,
Utenos rajono savivaldybė Daugailių seniūnija,,Aukštuolių viensėdis,,
Utenos rajono savivaldybė Daugailių seniūnija,,Bajoriškių kaimas,,
Utenos rajono savivaldybė Daugailių seniūnija,,Bernotiškių kaimas,,
Utenos rajono savivaldybė Daugailių seniūnija,,Blusiškių kaimas,,
Utenos rajono savivaldybė Daugailių seniūnija,,Brinkliškių kaimas,,
Utenos rajono savivaldybė Daugailių seniūnija,,Daržinių kaimas,,
Utenos rajono savivaldybė Daugailių seniūnija,,Daugailių kaimas,,
Utenos rajono savivaldybė Daugailių seniūnija,,Daugailių miestelis,Bažnyčios gatvė,
Utenos rajono savivaldybė Daugailių seniūnija,,Daugailių miestelis,Didžioji gatvė,
Utenos rajono savivaldybė Daugailių seniūnija,,Daugailių miestelis,Ežero gatvė,
Utenos rajono savivaldybė Daugailių seniūnija,,Daugailių miestelis,Gandrų gatvė,
Utenos rajono savivaldybė Daugailių seniūnija,,Daugailių miestelis,Indrajos gatvė,
Utenos rajono savivaldybė Daugailių seniūnija,,Daugailių miestelis,Mokyklos gatvė,
Utenos rajono savivaldybė Daugailių seniūnija,,Daugailių miestelis,Plento gatvė,
Utenos rajono savivaldybė Daugailių seniūnija,,Daugailių miestelis,Slyvų gatvė,
Utenos rajono savivaldybė Daugailių seniūnija,,Daugailių miestelis,Sodų gatvė,
Utenos rajono savivaldybė Daugailių seniūnija,,Daugailių miestelis,Vilties gatvė,
Utenos rajono savivaldybė Daugailių seniūnija,,Daugailių miestelis,Vingio gatvė,
Utenos rajono savivaldybė Daugailių seniūnija,,Daugailių miestelis,Vyturių gatvė,
Utenos rajono savivaldybė Daugailių seniūnija,,Degsnelės kaimas,,
Utenos rajono savivaldybė Daugailių seniūnija,,Degsnio kaimas,,
Utenos rajono savivaldybė Daugailių seniūnija,,Drąsėnų kaimas,,
Utenos rajono savivaldybė Daugailių seniūnija,,Dubnų kaimas,,
Utenos rajono savivaldybė Daugailių seniūnija,,Duobių kaimas,,
Utenos rajono savivaldybė Daugailių seniūnija,,Garnių kaimas,,
Utenos rajono savivaldybė Daugailių seniūnija,,Gatelių kaimas,,
Utenos rajono savivaldybė Daugailių seniūnija,,Gojaus kaimas,,
Utenos rajono savivaldybė Daugailių seniūnija,,Janapolio kaimas,,
Utenos rajono savivaldybė Daugailių seniūnija,,Juknėnų kaimas,,
Utenos rajono savivaldybė Daugailių seniūnija,,Kubilių kaimas,,
Utenos rajono savivaldybė Daugailių seniūnija,,Kuosiškių kaimas,,
Utenos rajono savivaldybė Daugailių seniūnija,,Latviškių kaimas,,
Utenos rajono savivaldybė Daugailių seniūnija,,Maneičių kaimas,,
Utenos rajono savivaldybė Daugailių seniūnija,,Mediniškių kaimas,,
Utenos rajono savivaldybė Daugailių seniūnija,,Mikolojūnų kaimas,,
Utenos rajono savivaldybė Daugailių seniūnija,,Moniškio kaimas,,
Utenos rajono savivaldybė Daugailių seniūnija,,Narutiškio viensėdis,,
Utenos rajono savivaldybė Daugailių seniūnija,,Narvydžių kaimas,,
Utenos rajono savivaldybė Daugailių seniūnija,,Naujakiemio viensėdis,,
Utenos rajono savivaldybė Daugailių seniūnija,,Nečėnų kaimas,,
Utenos rajono savivaldybė Daugailių seniūnija,,Noliškio kaimas,,
Utenos rajono savivaldybė Daugailių seniūnija,,Nuodėgulių kaimas,,
Utenos rajono savivaldybė Daugailių seniūnija,,Paberžės kaimas,,
Utenos rajono savivaldybė Daugailių seniūnija,,Pakryžės kaimas,,
Utenos rajono savivaldybė Daugailių seniūnija,,Papelėkės kaimas,,
Utenos rajono savivaldybė Daugailių seniūnija,,Pikčiūnų kaimas,,
Utenos rajono savivaldybė Daugailių seniūnija,,Pliupų kaimas,,
Utenos rajono savivaldybė Daugailių seniūnija,,Polekniškio kaimas,,
Utenos rajono savivaldybė Daugailių seniūnija,,Purviniškio kaimas,,
Utenos rajono savivaldybė Daugailių seniūnija,,Radeikių kaimas,Draugystės gatvė,
Utenos rajono savivaldybė Daugailių seniūnija,,Radeikių kaimas,Eglių gatvė,
Utenos rajono savivaldybė Daugailių seniūnija,,Radeikių kaimas,Lakštingalų gatvė,
Utenos rajono savivaldybė Daugailių seniūnija,,Radeikių kaimas,Liepų gatvė,
Utenos rajono savivaldybė Daugailių seniūnija,,Radeikių kaimas,Noliškio gatvė,
Utenos rajono savivaldybė Daugailių seniūnija,,Radeikių kaimas,Pakalnės gatvė,
Utenos rajono savivaldybė Daugailių seniūnija,,Radeikių kaimas,Plento gatvė,
Utenos rajono savivaldybė Daugailių seniūnija,,Radeikių kaimas,Tvenkinio gatvė,
Utenos rajono savivaldybė Daugailių seniūnija,,Ruklių kaimas,,
Utenos rajono savivaldybė Daugailių seniūnija,,Salų viensėdis,,
Utenos rajono savivaldybė Daugailių seniūnija,,Staškūniškio kaimas,,
Utenos rajono savivaldybė Daugailių seniūnija,,Stumbrės viensėdis,,
Utenos rajono savivaldybė Daugailių seniūnija,,Taukelių kaimas,,
Utenos rajono savivaldybė Daugailių seniūnija,,Vajasiškio kaimas,,
Utenos rajono savivaldybė Daugailių seniūnija,,Voliškio kaimas,,
Utenos rajono savivaldybė Daugailių seniūnija,,Vėriškių viensėdis,,
Utenos rajono savivaldybė Daugailių seniūnija,,Zabalinos kaimas,,
Utenos rajono savivaldybė Daugailių seniūnija,,Zastrono kaimas,,
Utenos rajono savivaldybė Daugailių seniūnija,,Šikšnių kaimas,,
Utenos rajono savivaldybė Daugailių seniūnija,,Šiožinių kaimas,,
Utenos rajono savivaldybė Daugailių seniūnija,,Šlaitų viensėdis,,
Utenos rajono savivaldybė Daugailių seniūnija,,Šlekiškių kaimas,,
Utenos rajono savivaldybė Daugailių seniūnija,,Šlepečių kaimas,,
Utenos rajono savivaldybė Daugailių seniūnija,,Šėšėlių viensėdis,,
Utenos rajono savivaldybė Daugailių seniūnija,,Žadavainių kaimas,,
Utenos rajono savivaldybė Kuktiškių seniūnija,,Asmalų kaimas,,
Utenos rajono savivaldybė Kuktiškių seniūnija,,Aukštakalnio kaimas,,
Utenos rajono savivaldybė Kuktiškių seniūnija,,Aviniškio kaimas,,
Utenos rajono savivaldybė Kuktiškių seniūnija,,Bareišių kaimas,,
Utenos rajono savivaldybė Kuktiškių seniūnija,,Bikelių kaimas,,
Utenos rajono savivaldybė Kuktiškių seniūnija,,Buitūnų kaimas,,
Utenos rajono savivaldybė Kuktiškių seniūnija,,Gimžiškių kaimas,,
Utenos rajono savivaldybė Kuktiškių seniūnija,,Griniškio viensėdis,,
Utenos rajono savivaldybė Kuktiškių seniūnija,,Gudėniškių viensėdis,,
Utenos rajono savivaldybė Kuktiškių seniūnija,,Ignotiškio kaimas,,
Utenos rajono savivaldybė Kuktiškių seniūnija,,Kačiūnų kaimas,,
Utenos rajono savivaldybė Kuktiškių seniūnija,,Kiauliupio kaimas,,
Utenos rajono savivaldybė Kuktiškių seniūnija,,Kuktiškių kaimas,,
Utenos rajono savivaldybė Kuktiškių seniūnija,,Kuktiškių miestelis,Aukštaičių gatvė,
