institution,elderate,city,street,numbers
Varėnos rajono savivaldybė,,,,
Varėnos rajono savivaldybė Jakėnų seniūnija,,Akmenio kaimas,,
Varėnos rajono savivaldybė Jakėnų seniūnija,,Aukštakalnio kaimas,,
Varėnos rajono savivaldybė Jakėnų seniūnija,,Bartelių kaimas,Merkio gatvė,
Varėnos rajono savivaldybė Jakėnų seniūnija,,Burbonių kaimas,,
Varėnos rajono savivaldybė Jakėnų seniūnija,,Bytautonių kaimas,,
Varėnos rajono savivaldybė Jakėnų seniūnija,,Damononių kaimas,,
Varėnos rajono savivaldybė Jakėnų seniūnija,,Ginakiemio kaimas,,
Varėnos rajono savivaldybė Jakėnų seniūnija,,Gruožninkėlių kaimas,,
Varėnos rajono savivaldybė Jakėnų seniūnija,,Jakėnų kaimas,,
Varėnos rajono savivaldybė Jakėnų seniūnija,,Kalėnų kaimas,,
Varėnos rajono savivaldybė Jakėnų seniūnija,,Kaniūkų kaimas,Beržų gatvė,
Varėnos rajono savivaldybė Jakėnų seniūnija,,Kaniūkų kaimas,Ežero gatvė,
Varėnos rajono savivaldybė Jakėnų seniūnija,,Kaniūkų kaimas,Liepų gatvė,
Varėnos rajono savivaldybė Jakėnų seniūnija,,Kareivonių kaimas,Dvaro gatvė,
Varėnos rajono savivaldybė Jakėnų seniūnija,,Kareivonių kaimas,Liepų gatvė,
Varėnos rajono savivaldybė Jakėnų seniūnija,,Kareivonių kaimas,Miško gatvė,
Varėnos rajono savivaldybė Jakėnų seniūnija,,Kareivonių kaimas,Pievų gatvė,
Varėnos rajono savivaldybė Jakėnų seniūnija,,Kareivonių kaimas,Ąžuolyno gatvė,
Varėnos rajono savivaldybė Jakėnų seniūnija,,Karpiškių kaimas,,
Varėnos rajono savivaldybė Jakėnų seniūnija,,Kuklių kaimas,,
Varėnos rajono savivaldybė Jakėnų seniūnija,,Laukiapušio kaimas,,
Varėnos rajono savivaldybė Jakėnų seniūnija,,Maskaukos kaimas,,
Varėnos rajono savivaldybė Jakėnų seniūnija,,Miletonių kaimas,,
Varėnos rajono savivaldybė Jakėnų seniūnija,,Norvydiškių kaimas,,
Varėnos rajono savivaldybė Jakėnų seniūnija,,Paakmenės kaimas,,
Varėnos rajono savivaldybė Jakėnų seniūnija,,Pabezninkų kaimas,,
Varėnos rajono savivaldybė Jakėnų seniūnija,,Pajuodikio kaimas,,
Varėnos rajono savivaldybė Jakėnų seniūnija,,Palielukio kaimas,,
Varėnos rajono savivaldybė Jakėnų seniūnija,,Paručių kaimas,,
