institution,elderate,city,street,numbers
Vilkaviškio rajono savivaldybė,,,,
Vilkaviškio rajono savivaldybė Bartninkų seniūnija,,Akelaičių kaimas,,
Vilkaviškio rajono savivaldybė Bartninkų seniūnija,,Ančlaukio kaimas,,
Vilkaviškio rajono savivaldybė Bartninkų seniūnija,,Aruodiškių kaimas,,
Vilkaviškio rajono savivaldybė Bartninkų seniūnija,,Auksėnų kaimas,,
Vilkaviškio rajono savivaldybė Bartninkų seniūnija,,Bajorų kaimas,,
Vilkaviškio rajono savivaldybė Bartninkų seniūnija,,Bartninkų miestelis,Aistos gatvė,
Vilkaviškio rajono savivaldybė Bartninkų seniūnija,,Bartninkų miestelis,Beržų gatvė,
Vilkaviškio rajono savivaldybė Bartninkų seniūnija,,Bartninkų miestelis,J. Basanavičiaus gatvė,
Vilkaviškio rajono savivaldybė Bartninkų seniūnija,,Bartninkų miestelis,Lauko gatvė,
Vilkaviškio rajono savivaldybė Bartninkų seniūnija,,Bartninkų miestelis,Pakalnės gatvė,
Vilkaviškio rajono savivaldybė Bartninkų seniūnija,,Bartninkų miestelis,Paupio gatvė,
Vilkaviškio rajono savivaldybė Bartninkų seniūnija,,Bartninkų miestelis,Skardžio gatvė,
Vilkaviškio rajono savivaldybė Bartninkų seniūnija,,Bartninkų miestelis,Suvalkiečių gatvė,
Vilkaviškio rajono savivaldybė Bartninkų seniūnija,,Bartninkų miestelis,Ąžuolyno gatvė,
Vilkaviškio rajono savivaldybė Bartninkų seniūnija,,Bartninkų miestelis,Žalumynų gatvė,
Vilkaviškio rajono savivaldybė Bartninkų seniūnija,,Dalgėnų kaimas,J. Basanavičiaus gatvė,
Vilkaviškio rajono savivaldybė Bartninkų seniūnija,,Dambaukos kaimas,,
Vilkaviškio rajono savivaldybė Bartninkų seniūnija,,Daukšaičių kaimas,,
Vilkaviškio rajono savivaldybė Bartninkų seniūnija,,Galioriškių kaimas,,
Vilkaviškio rajono savivaldybė Bartninkų seniūnija,,Geisteriškių kaimas,,
Vilkaviškio rajono savivaldybė Bartninkų seniūnija,,Grajauskų kaimas,,
Vilkaviškio rajono savivaldybė Bartninkų seniūnija,,Kunigiškių kaimas,Aistos gatvė,
Vilkaviškio rajono savivaldybė Bartninkų seniūnija,,Kuosių kaimas,,
Vilkaviškio rajono savivaldybė Bartninkų seniūnija,,Kuosėnų kaimas,,
Vilkaviškio rajono savivaldybė Bartninkų seniūnija,,Lakštučių kaimas,,
Vilkaviškio rajono savivaldybė Bartninkų seniūnija,,Margų kaimas,,
Vilkaviškio rajono savivaldybė Bartninkų seniūnija,,Mockabūdžių kaimas,,
Vilkaviškio rajono savivaldybė Bartninkų seniūnija,,Moliniškių kaimas,,
Vilkaviškio rajono savivaldybė Bartninkų seniūnija,,Norvydų kaimas,,
Vilkaviškio rajono savivaldybė Bartninkų seniūnija,,Ožkabalių I kaimas,,
Vilkaviškio rajono savivaldybė Bartninkų seniūnija,,Ožkabalių II kaimas,,
Vilkaviškio rajono savivaldybė Bartninkų seniūnija,,Padvarių kaimas,,
